Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1985.0,11.0,1712,HOU,Houston Rockets,Allen Leavell,27.0,5.0,0.0,3.2,0.4,1.2,0.33,0.0,0.4,0.0,0.4,0.8,0.5,0.33,0.4,0.4,1.0,0.2,0.4,0.6,0.6,0.0,0.0,0.2,0.4,1.2
1985.0,11.0,838,HOU,Houston Rockets,Craig Ehlo,23.0,3.0,0.0,2.0,0.3,0.3,1.0,0.0,0.0,,0.3,0.3,1.0,1.0,0.7,0.7,1.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,1.0,1.3
1985.0,11.0,2198,HOU,Houston Rockets,Hakeem Olajuwon,22.0,5.0,5.0,37.4,8.4,17.6,0.48,0.0,0.0,,8.4,17.6,0.48,0.48,4.4,9.2,0.48,6.6,6.4,13.0,1.4,1.4,2.6,2.2,4.4,21.2
,,1925,,,Hank McDowell,,,,,,,,,,,,,,,,,,,,,,,,,,
1985.0,11.0,2293,HOU,Houston Rockets,Jim Petersen,22.0,3.0,0.0,2.7,0.3,0.3,1.0,0.0,0.0,,0.3,0.3,1.0,1.0,0.0,0.0,,0.3,0.3,0.7,0.3,0.0,0.0,0.3,0.7,0.7
1985.0,11.0,1783,HOU,Houston Rockets,John Lucas,31.0,5.0,4.0,30.4,5.2,16.0,0.32,0.4,2.8,0.14,4.8,13.2,0.36,0.34,2.8,4.4,0.64,1.4,2.8,4.2,5.4,1.2,0.0,1.4,2.8,13.6
1985.0,11.0,1977,HOU,Houston Rockets,Larry Micheaux,24.0,5.0,0.0,11.4,1.2,3.8,0.32,0.0,0.2,0.0,1.2,3.6,0.33,0.32,0.8,2.0,0.4,2.4,1.8,4.2,0.0,0.0,0.4,0.6,1.6,3.2
1985.0,11.0,1760,HOU,Houston Rockets,Lewis Lloyd,25.0,5.0,5.0,34.8,7.6,15.4,0.49,0.0,0.0,,7.6,15.4,0.49,0.49,2.0,2.8,0.71,3.0,2.8,5.8,5.0,1.4,1.6,2.0,2.4,17.2
1985.0,11.0,1312,HOU,Houston Rockets,Lionel Hollins,31.0,5.0,1.0,18.8,1.6,5.2,0.31,0.0,0.0,,1.6,5.2,0.31,0.31,0.2,0.2,1.0,0.2,1.6,1.8,3.6,0.8,0.0,1.4,3.2,3.4
1985.0,11.0,3109,HOU,Houston Rockets,Mitchell Wiggins,25.0,5.0,0.0,9.0,1.8,3.6,0.5,0.0,0.0,,1.8,3.6,0.5,0.5,0.0,0.0,,0.6,0.2,0.8,0.2,0.8,0.0,0.6,1.2,3.6
,,936,,,Phil Ford,,,,,,,,,,,,,,,,,,,,,,,,,,
1985.0,11.0,2549,HOU,Houston Rockets,Ralph Sampson,24.0,5.0,5.0,38.6,8.6,20.0,0.43,0.2,0.2,1.0,8.4,19.8,0.42,0.44,3.8,7.4,0.51,5.0,11.6,16.6,1.4,0.4,1.6,3.4,4.6,21.2
1985.0,11.0,2423,HOU,Houston Rockets,Robert Reid,29.0,5.0,0.0,17.4,3.8,9.0,0.42,0.0,0.8,0.0,3.8,8.2,0.46,0.42,0.0,0.0,,0.6,2.8,3.4,1.0,0.8,0.4,1.2,4.4,7.6
1985.0,11.0,1911,HOU,Houston Rockets,Rodney McCray,23.0,5.0,5.0,36.2,3.8,6.8,0.56,0.0,0.0,,3.8,6.8,0.56,0.56,3.0,4.6,0.65,1.8,4.2,6.0,2.2,1.2,0.2,2.6,3.4,10.6
