Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1985,8,863,DEN,Denver Nuggets,Alex English,31,14,14,536,163,304,0.54,0,1,0.0,163,303,0.54,0.54,97,109,0.89,36,56,92,63,17,5,30,40,423
1985,8,1177,DEN,Denver Nuggets,Bill Hanzlik,27,15,0,310,45,92,0.49,0,1,0.0,45,91,0.5,0.49,30,41,0.73,24,22,46,33,14,6,22,57,120
1985,8,2115,DEN,Denver Nuggets,Calvin Natt,28,15,15,508,131,238,0.55,0,0,,131,238,0.55,0.55,72,89,0.81,31,68,99,57,8,5,31,35,334
1985,8,1388,DEN,Denver Nuggets,Dan Issel,36,15,4,325,73,159,0.46,1,1,1.0,72,158,0.46,0.46,39,48,0.81,14,40,54,27,12,5,13,36,186
1985,8,2568,DEN,Denver Nuggets,Danny Schayes,25,9,0,118,11,26,0.42,0,0,,11,26,0.42,0.42,14,20,0.7,8,22,30,12,3,4,5,22,36
1985,8,2923,DEN,Denver Nuggets,Elston Turner,25,15,4,358,50,102,0.49,2,2,1.0,48,100,0.48,0.5,12,19,0.63,30,43,73,46,17,1,26,42,114
1985,8,1740,DEN,Denver Nuggets,Fat Lever,24,11,8,342,49,122,0.4,0,2,0.0,49,120,0.41,0.4,48,63,0.76,23,48,71,93,26,2,34,33,146
1985,8,1646,DEN,Denver Nuggets,Joe Kopicki,24,7,0,32,6,16,0.38,0,0,,6,16,0.38,0.38,9,17,0.53,2,11,13,3,1,1,1,5,21
1985,8,879,DEN,Denver Nuggets,Mike Evans,29,15,0,281,62,143,0.43,17,51,0.33,45,92,0.49,0.49,14,17,0.82,3,29,32,46,13,3,36,39,155
1985,8,804,DEN,Denver Nuggets,T.R. Dunn,29,15,15,371,27,65,0.42,0,0,,27,65,0.42,0.42,14,19,0.74,27,33,60,34,24,3,10,45,68
1985,8,604,DEN,Denver Nuggets,Wayne Cooper,28,15,12,321,67,143,0.47,0,0,,67,143,0.47,0.47,30,40,0.75,34,59,93,20,8,36,19,52,164
1985,8,3098,DEN,Denver Nuggets,Willie White,22,10,3,123,27,57,0.47,2,3,0.67,25,54,0.46,0.49,7,12,0.58,9,8,17,17,5,0,16,6,63
