Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1987,7,254,DAL,Dallas Mavericks,Rolando Blackman,27,4,4,153,36,73,0.49,0,1,0.0,36,72,0.5,0.49,22,24,0.92,4,10,14,17,2,0,8,7,94
1987,7,2284,DAL,Dallas Mavericks,Sam Perkins,25,4,4,133,26,52,0.5,0,4,0.0,26,48,0.54,0.5,16,23,0.7,12,22,34,5,4,1,9,16,68
1987,7,24,DAL,Dallas Mavericks,Mark Aguirre,27,4,4,130,31,62,0.5,0,4,0.0,31,58,0.53,0.5,23,30,0.77,11,13,24,8,8,0,9,15,85
1987,7,1187,DAL,Dallas Mavericks,Derek Harper,25,4,4,123,20,40,0.5,2,9,0.22,18,31,0.58,0.52,24,30,0.8,2,10,12,27,7,0,5,7,66
1987,7,2803,DAL,Dallas Mavericks,Roy Tarpley,22,4,1,114,24,48,0.5,0,0,,24,48,0.5,0.5,5,7,0.71,18,24,42,1,1,7,7,18,53
1987,7,2575,DAL,Dallas Mavericks,Detlef Schrempf,24,4,0,97,13,35,0.37,0,3,0.0,13,32,0.41,0.37,5,11,0.46,4,8,12,6,3,2,6,13,31
1987,7,680,DAL,Dallas Mavericks,Brad Davis,31,4,0,75,13,23,0.56,0,2,0.0,13,21,0.62,0.56,7,9,0.78,2,7,9,17,0,0,6,4,33
1987,7,756,DAL,Dallas Mavericks,James Donaldson,29,3,3,68,4,5,0.8,0,0,,4,5,0.8,0.8,8,9,0.89,2,15,17,2,1,3,2,6,16
1987,7,3067,DAL,Dallas Mavericks,Bill Wennington,23,4,0,47,6,12,0.5,0,0,,6,12,0.5,0.5,3,5,0.6,4,6,10,4,0,3,3,9,15
1987,7,251,DAL,Dallas Mavericks,Uwe Blab,24,1,0,10,1,1,1.0,0,0,,1,1,1.0,1.0,1,4,0.25,1,2,3,0,1,1,2,4,3
1987,7,2166,DAL,Dallas Mavericks,Dennis Nutt,23,1,0,10,1,5,0.2,0,2,0.0,1,3,0.33,0.2,0,0,,1,1,2,1,0,0,1,0,2
