Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1989.0,21.0,1755,SEA,Seattle Supersonics,Alton Lister,30.0,8.0,8.0,160.0,17.0,39.0,0.44,0.0,0.0,,17.0,39.0,0.44,0.44,22.0,26.0,0.85,13.0,25.0,38.0,2.0,2.0,21.0,9.0,28.0,56.0
1989.0,21.0,1466,SEA,Seattle Supersonics,Avery Johnson,23.0,6.0,0.0,31.0,5.0,12.0,0.42,0.0,4.0,0.0,5.0,8.0,0.62,0.42,1.0,2.0,0.5,2.0,2.0,4.0,5.0,4.0,0.0,0.0,1.0,11.0
1989.0,21.0,849,SEA,Seattle Supersonics,Dale Ellis,28.0,8.0,8.0,304.0,72.0,160.0,0.45,15.0,37.0,0.4,57.0,123.0,0.46,0.5,24.0,33.0,0.73,14.0,18.0,32.0,10.0,11.0,1.0,21.0,19.0,183.0
1989.0,21.0,1941,SEA,Seattle Supersonics,Derrick McKey,22.0,8.0,8.0,286.0,44.0,89.0,0.49,1.0,9.0,0.11,43.0,80.0,0.54,0.5,17.0,21.0,0.81,21.0,31.0,52.0,18.0,6.0,15.0,23.0,33.0,106.0
,,154,,,Greg Ballard,,,,,,,,,,,,,,,,,,,,,,,,,,
1989.0,21.0,2432,SEA,Seattle Supersonics,Jerry Reynolds,26.0,4.0,0.0,40.0,7.0,22.0,0.32,1.0,4.0,0.25,6.0,18.0,0.33,0.34,7.0,10.0,0.7,1.0,4.0,5.0,1.0,2.0,6.0,4.0,6.0,22.0
1989.0,21.0,1783,SEA,Seattle Supersonics,John Lucas,35.0,4.0,0.0,37.0,5.0,17.0,0.29,0.0,3.0,0.0,5.0,14.0,0.36,0.29,1.0,2.0,0.5,0.0,1.0,1.0,8.0,0.0,0.0,2.0,5.0,11.0
1989.0,21.0,451,SEA,Seattle Supersonics,Michael Cage,27.0,8.0,0.0,175.0,24.0,40.0,0.6,0.0,1.0,0.0,24.0,39.0,0.62,0.6,9.0,22.0,0.41,22.0,24.0,46.0,5.0,7.0,3.0,8.0,14.0,57.0
,,513,,,Mike Champion,,,,,,,,,,,,,,,,,,,,,,,,,,
1989.0,21.0,1951,SEA,Seattle Supersonics,Nate McMillan,24.0,8.0,7.0,200.0,19.0,40.0,0.48,0.0,2.0,0.0,19.0,38.0,0.5,0.48,16.0,25.0,0.64,9.0,16.0,25.0,63.0,10.0,5.0,19.0,21.0,54.0
1989.0,21.0,2328,SEA,Seattle Supersonics,Olden Polynice,24.0,8.0,0.0,162.0,25.0,41.0,0.61,0.0,0.0,,25.0,41.0,0.61,0.61,7.0,13.0,0.54,27.0,35.0,62.0,1.0,6.0,4.0,5.0,32.0,57.0
1989.0,21.0,2573,SEA,Seattle Supersonics,Russ Schoene,28.0,3.0,0.0,43.0,4.0,17.0,0.24,0.0,7.0,0.0,4.0,10.0,0.4,0.24,5.0,6.0,0.83,3.0,2.0,5.0,2.0,2.0,0.0,0.0,7.0,13.0
1989.0,21.0,2882,SEA,Seattle Supersonics,Sedale Threatt,27.0,8.0,1.0,201.0,39.0,82.0,0.48,1.0,4.0,0.25,38.0,78.0,0.49,0.48,17.0,20.0,0.85,3.0,10.0,13.0,49.0,17.0,0.0,11.0,22.0,96.0
1989.0,21.0,1917,SEA,Seattle Supersonics,Xavier McDaniel,25.0,8.0,8.0,281.0,58.0,144.0,0.4,3.0,9.0,0.33,55.0,135.0,0.41,0.41,31.0,41.0,0.76,24.0,43.0,67.0,22.0,2.0,5.0,22.0,30.0,150.0
