Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1990.0,24.0,1690,PHO,Phoenix Suns,Andrew Lang,23.0,12.0,0.0,93.0,6.0,9.0,0.67,0.0,0.0,,6.0,9.0,0.67,0.67,4.0,7.0,0.57,4.0,16.0,20.0,2.0,3.0,10.0,5.0,17.0,16.0
,,1038,,,Armen Gilliam,,,,,,,,,,,,,,,,,,,,,,,,,,
1990.0,24.0,1817,PHO,Phoenix Suns,Dan Majerle,24.0,16.0,0.0,479.0,73.0,150.0,0.49,4.0,12.0,0.33,69.0,138.0,0.5,0.5,51.0,65.0,0.78,30.0,51.0,81.0,34.0,20.0,2.0,18.0,34.0,201.0
1990.0,24.0,1484,PHO,Phoenix Suns,Eddie Johnson,30.0,16.0,0.0,337.0,72.0,160.0,0.45,15.0,38.0,0.4,57.0,122.0,0.47,0.5,37.0,47.0,0.79,15.0,42.0,57.0,17.0,10.0,4.0,20.0,40.0,196.0
1990.0,24.0,1081,PHO,Phoenix Suns,Greg Grant,23.0,7.0,0.0,47.0,9.0,20.0,0.45,1.0,3.0,0.33,8.0,17.0,0.47,0.48,0.0,0.0,,2.0,4.0,6.0,10.0,2.0,0.0,5.0,2.0,19.0
1990.0,24.0,1327,PHO,Phoenix Suns,Jeff Hornacek,26.0,16.0,16.0,583.0,112.0,219.0,0.51,6.0,24.0,0.25,106.0,195.0,0.54,0.52,68.0,73.0,0.93,13.0,49.0,62.0,73.0,24.0,0.0,34.0,43.0,298.0
1990.0,24.0,191,PHO,Phoenix Suns,Kenny Battle,25.0,8.0,0.0,34.0,4.0,13.0,0.31,0.0,0.0,,4.0,13.0,0.31,0.31,1.0,1.0,1.0,1.0,4.0,5.0,0.0,0.0,0.0,2.0,5.0,9.0
1990.0,24.0,1499,PHO,Phoenix Suns,Kevin Johnson,23.0,16.0,16.0,582.0,123.0,257.0,0.48,2.0,11.0,0.18,121.0,246.0,0.49,0.48,92.0,112.0,0.82,9.0,44.0,53.0,170.0,25.0,0.0,62.0,28.0,340.0
1990.0,24.0,2387,PHO,Phoenix Suns,Kurt Rambis,31.0,16.0,16.0,385.0,24.0,54.0,0.44,0.0,1.0,0.0,24.0,53.0,0.45,0.44,19.0,28.0,0.68,39.0,84.0,123.0,22.0,8.0,8.0,17.0,51.0,67.0
1990.0,24.0,3075,PHO,Phoenix Suns,Mark West,29.0,16.0,16.0,544.0,75.0,130.0,0.58,0.0,0.0,,75.0,130.0,0.58,0.58,27.0,50.0,0.54,53.0,111.0,164.0,5.0,4.0,41.0,26.0,73.0,177.0
,,3162,,,Micheal Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
1990.0,24.0,1931,PHO,Phoenix Suns,Mike McGee,30.0,10.0,0.0,44.0,7.0,20.0,0.35,3.0,7.0,0.43,4.0,13.0,0.31,0.42,1.0,4.0,0.25,1.0,3.0,4.0,2.0,1.0,1.0,2.0,6.0,18.0
,,2058,,,Mike Morrison,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1728,,,Tim Legler,,,,,,,,,,,,,,,,,,,,,,,,,,
1990.0,24.0,2289,PHO,Phoenix Suns,Tim Perry,24.0,11.0,0.0,100.0,13.0,25.0,0.52,0.0,0.0,,13.0,25.0,0.52,0.52,8.0,18.0,0.44,10.0,11.0,21.0,2.0,3.0,6.0,5.0,19.0,34.0
1990.0,24.0,512,PHO,Phoenix Suns,Tom Chambers,30.0,16.0,16.0,612.0,117.0,275.0,0.42,5.0,19.0,0.26,112.0,256.0,0.44,0.44,116.0,132.0,0.88,20.0,87.0,107.0,31.0,7.0,7.0,49.0,54.0,355.0
