Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1995.0,24.0,1098,PHO,Phoenix Suns,A.C. Green,31.0,10.0,10.0,368.0,3.5,7.6,0.46,0.1,1.2,0.08,3.4,6.5,0.53,5.4,6.2,0.87,3.7,8.0,11.7,1.3,0.6,0.2,1.0,2.2,12.5
1995.0,24.0,165,PHO,Phoenix Suns,Charles Barkley,31.0,10.0,10.0,390.0,8.4,16.8,0.5,0.8,3.2,0.26,7.6,13.6,0.56,6.1,8.3,0.73,3.6,8.8,12.4,3.0,1.2,1.0,2.3,2.6,23.7
1995.0,24.0,1817,PHO,Phoenix Suns,Dan Majerle,29.0,10.0,0.0,307.0,3.2,8.6,0.37,1.9,5.2,0.36,1.3,3.4,0.38,1.4,2.0,0.71,0.9,2.7,3.6,2.0,1.6,0.4,1.1,2.8,9.6
1995.0,24.0,26,PHO,Phoenix Suns,Danny Ainge,35.0,10.0,0.0,137.0,5.0,10.0,0.5,3.2,6.8,0.46,1.8,3.2,0.58,2.6,2.9,0.91,0.5,2.1,2.6,2.6,1.3,0.0,1.6,3.9,15.8
1995.0,24.0,2568,PHO,Phoenix Suns,Danny Schayes,35.0,10.0,0.0,146.0,2.7,7.2,0.38,0.0,0.2,0.0,2.7,6.9,0.39,1.7,2.0,0.88,1.0,3.9,4.9,2.0,0.7,0.7,2.0,9.4,7.2
1995.0,24.0,2287,PHO,Phoenix Suns,Elliot Perry,25.0,9.0,0.0,106.0,6.8,14.3,0.48,0.7,1.7,0.4,6.1,12.6,0.49,6.8,8.5,0.8,1.0,2.4,3.4,4.1,1.7,0.0,3.1,2.7,21.1
1995.0,24.0,1632,PHO,Phoenix Suns,Joe Kleine,33.0,10.0,10.0,167.0,6.7,11.6,0.57,0.2,0.4,0.5,6.5,11.2,0.58,0.0,0.0,,1.7,5.0,6.7,1.7,1.1,0.6,1.3,7.5,13.6
1995.0,24.0,1499,PHO,Phoenix Suns,Kevin Johnson,28.0,10.0,10.0,371.0,8.3,14.6,0.57,0.5,1.0,0.5,7.9,13.6,0.58,6.9,8.2,0.84,0.7,3.3,4.0,9.0,0.9,0.4,3.3,2.4,24.1
1995.0,24.0,798,PHO,Phoenix Suns,Richard Dumas,25.0,3.0,0.0,5.0,7.2,28.8,0.25,0.0,0.0,,7.2,28.8,0.25,0.0,0.0,,7.2,0.0,7.2,0.0,0.0,0.0,7.2,0.0,14.4
1995.0,24.0,2527,PHO,Phoenix Suns,Trevor Ruffin,24.0,5.0,0.0,11.0,13.1,26.2,0.5,3.3,13.1,0.25,9.8,13.1,0.75,3.3,16.4,0.2,0.0,9.8,9.8,6.5,3.3,0.0,0.0,0.0,32.7
1995.0,24.0,2887,PHO,Phoenix Suns,Wayman Tisdale,30.0,10.0,0.0,170.0,6.8,15.0,0.45,0.0,0.2,0.0,6.8,14.8,0.46,1.9,3.0,0.64,1.3,5.1,6.4,2.3,0.0,0.8,1.3,6.8,15.5
1995.0,24.0,2291,PHO,Phoenix Suns,Wesley Person,23.0,10.0,10.0,247.0,5.0,12.1,0.41,2.5,6.6,0.38,2.5,5.5,0.45,1.6,1.7,0.92,1.3,1.7,3.1,1.6,0.4,0.3,1.3,2.8,14.0
