Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Ortg,Drtg
1997,1,ATL,Atlanta Hawks,Mookie Blaylock,29,10,10,441,7.9,19.9,0.4,3.6,11.0,0.33,4.3,8.9,0.48,1.8,2.7,0.67,1.5,7.5,9.0,8.4,2.7,0.3,4.5,1.9,21.2,102,106,266
1997,1,ATL,Atlanta Hawks,Steve Smith,27,10,10,421,7.4,18.8,0.4,2.4,7.4,0.33,5.0,11.3,0.44,8.2,10.0,0.82,1.6,3.6,5.3,2.3,0.5,0.1,3.8,5.1,25.5,107,114,2703
1997,1,ATL,Atlanta Hawks,Dikembe Mutombo,30,10,10,415,7.4,11.8,0.63,0.0,0.0,,7.4,11.8,0.63,6.3,8.8,0.72,5.1,11.8,16.9,1.8,0.1,3.6,2.7,4.1,21.1,128,105,2097
1997,1,ATL,Atlanta Hawks,Christian Laettner,27,10,10,403,8.7,21.6,0.4,0.6,3.0,0.19,8.2,18.6,0.44,6.8,7.9,0.86,2.7,7.5,10.2,3.7,1.4,1.1,4.4,4.5,24.8,100,108,1676
1997,1,ATL,Atlanta Hawks,Tyrone Corbin,34,10,10,364,6.6,14.4,0.46,2.0,5.8,0.35,4.5,8.6,0.53,1.4,1.4,1.0,1.9,4.8,6.7,3.1,0.6,0.3,2.2,4.5,16.6,111,112,609
1997,1,ATL,Atlanta Hawks,Alan Henderson,24,10,0,136,7.9,14.2,0.56,0.0,0.0,,7.9,14.2,0.56,8.4,10.9,0.77,4.6,9.2,13.8,0.0,0.4,1.3,2.9,10.9,24.3,122,108,1247
1997,1,ATL,Atlanta Hawks,Eldridge Recasner,29,10,0,121,5.2,12.2,0.42,1.9,5.2,0.36,3.3,7.1,0.47,2.4,3.8,0.62,1.4,3.8,5.2,4.2,0.9,0.0,3.3,4.2,14.6,100,113,2408
1997,1,ATL,Atlanta Hawks,Henry James,31,8,0,45,3.8,16.4,0.23,2.5,7.6,0.33,1.3,8.8,0.14,0.0,0.0,,1.3,0.0,1.3,2.5,1.3,0.0,5.1,15.2,10.1,60,114,1425
1997,1,ATL,Atlanta Hawks,Darrin Hancock,25,6,0,33,3.4,8.6,0.4,0.0,1.7,0.0,3.4,6.9,0.5,0.0,5.2,0.0,3.4,5.2,8.6,1.7,1.7,1.7,1.7,8.6,6.9,75,108,1169
1997,1,ATL,Atlanta Hawks,Jon Barry,27,2,0,9,0.0,19.0,0.0,0.0,19.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,118,176
1997,1,ATL,Atlanta Hawks,Priest Lauderdale,23,3,0,7,0.0,24.4,0.0,0.0,0.0,,0.0,24.4,0.0,0.0,0.0,,8.1,8.1,16.2,0.0,0.0,0.0,24.4,8.1,0.0,11,111,1701
1997,1,ATL,Atlanta Hawks,Ivano Newbill,26,3,0,5,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,11.4,11.4,11.4,0.0,0.0,11.4,22.8,0.0,41,108,2133
