Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Ortg,Drtg
1998.0,3.0,873,NJN,New Jersey Nets,Brian Evans,24.0,3.0,0.0,4.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,,114.0
1998.0,3.0,1009,NJN,New Jersey Nets,Chris Gatling,30.0,3.0,1.0,81.0,13.2,26.3,0.5,0.0,0.0,,13.2,26.3,0.5,5.5,8.3,0.67,4.2,2.8,6.9,1.4,1.4,1.4,2.1,6.2,31.9,114.0,118.0
1998.0,3.0,2962,NJN,New Jersey Nets,David Vaughn,24.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,56.1,0.0,0.0,0.0,,80.0
1998.0,3.0,3147,NJN,New Jersey Nets,Jayson Williams,29.0,3.0,2.0,116.0,4.4,10.2,0.43,0.0,0.0,,4.4,10.2,0.43,1.5,2.9,0.5,9.7,10.6,20.3,2.4,1.0,1.5,1.0,3.9,10.2,121.0,113.0
1998.0,3.0,2950,NJN,New Jersey Nets,Keith Van Horn,22.0,3.0,3.0,77.0,9.5,21.1,0.45,0.0,1.5,0.0,9.5,19.7,0.48,8.7,10.9,0.8,1.5,5.1,6.6,0.7,0.0,0.0,1.5,5.1,27.7,116.0,120.0
1998.0,3.0,1036,NJN,New Jersey Nets,Kendall Gill,29.0,3.0,3.0,100.0,10.1,22.4,0.45,0.0,0.0,,10.1,22.4,0.45,3.9,4.5,0.88,1.7,5.6,7.3,1.7,2.2,0.6,2.2,8.4,24.1,105.0,114.0
1998.0,3.0,1630,NJN,New Jersey Nets,Kerry Kittles,23.0,3.0,3.0,126.0,7.6,17.8,0.42,2.2,5.8,0.38,5.3,12.0,0.44,4.5,4.9,0.91,0.0,6.7,6.7,3.6,1.8,0.9,3.1,5.3,21.8,108.0,114.0
1998.0,3.0,1204,NJN,New Jersey Nets,Lucious Harris,27.0,3.0,0.0,52.0,2.2,6.5,0.33,0.0,2.2,0.0,2.2,4.3,0.5,5.4,6.5,0.83,1.1,7.6,8.6,1.1,2.2,0.0,2.2,11.9,9.7,101.0,113.0
1998.0,3.0,2591,NJN,New Jersey Nets,Rony Seikaly,32.0,3.0,0.0,37.0,10.6,13.7,0.78,0.0,0.0,,10.6,13.7,0.78,6.1,9.1,0.67,4.6,9.1,13.7,0.0,1.5,0.0,6.1,6.1,27.3,116.0,114.0
1998.0,3.0,497,NJN,New Jersey Nets,Sam Cassell,28.0,3.0,1.0,26.0,6.5,19.4,0.33,0.0,0.0,,6.5,19.4,0.33,0.0,0.0,,2.2,4.3,6.5,10.8,0.0,2.2,4.3,15.1,13.0,83.0,118.0
1998.0,3.0,771,NJN,New Jersey Nets,Sherman Douglas,31.0,3.0,2.0,125.0,10.3,19.8,0.52,0.9,2.2,0.4,9.4,17.5,0.54,3.1,4.5,0.7,0.4,3.1,3.6,11.2,2.7,0.0,5.8,2.2,24.7,107.0,116.0
