Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Ortg,Drtg
1998.0,25.0,1755,POR,Portland Trail Blazers,Alton Lister,39.0,2.0,0.0,11.0,4.8,14.4,0.33,0.0,0.0,,4.8,14.4,0.33,0.0,0.0,,4.8,4.8,9.6,0.0,0.0,4.8,9.6,23.9,9.6,50.0,112.0
,,3127,,,Alvin Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998.0,25.0,2537,POR,Portland Trail Blazers,Arvydas Sabonis,33.0,4.0,4.0,107.0,8.9,19.7,0.45,0.5,1.0,0.5,8.4,18.7,0.45,5.9,6.9,0.86,3.4,11.8,15.3,3.0,3.4,1.5,4.9,9.3,24.1,100.0,106.0
1998.0,25.0,1079,POR,Portland Trail Blazers,Brian Grant,25.0,4.0,4.0,135.0,7.4,14.0,0.53,0.0,0.0,,7.4,14.0,0.53,5.8,7.0,0.83,7.0,9.7,16.8,2.3,1.6,1.2,1.9,7.8,20.7,129.0,112.0
,,2497,,,Carlos Rogers,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998.0,25.0,2768,POR,Portland Trail Blazers,Damon Stoudamire,24.0,4.0,4.0,166.0,7.9,20.0,0.4,2.5,7.0,0.36,5.4,13.0,0.42,4.1,4.1,1.0,1.9,3.5,5.4,12.1,1.6,0.3,5.1,4.1,22.5,107.0,117.0
,,3205,,,Dontonio Wingfield,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998.0,25.0,1080,POR,Portland Trail Blazers,Gary Grant,32.0,4.0,0.0,27.0,3.9,13.6,0.29,1.9,7.8,0.25,1.9,5.8,0.33,0.0,0.0,,3.9,5.8,9.7,13.6,1.9,1.9,3.9,3.9,9.7,98.0,113.0
,,2906,,,Gary Trent,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998.0,25.0,2448,POR,Portland Trail Blazers,Isaiah Rider,26.0,4.0,4.0,166.0,8.9,21.3,0.42,0.3,3.5,0.09,8.6,17.8,0.48,6.3,8.2,0.77,2.2,4.1,6.3,5.4,1.6,0.0,5.1,3.5,24.4,97.0,117.0
1998.0,25.0,2176,POR,Portland Trail Blazers,Jermaine O'Neal,19.0,1.0,0.0,3.0,0.0,52.7,0.0,0.0,17.6,0.0,0.0,35.1,0.0,0.0,0.0,,17.6,0.0,17.6,0.0,0.0,35.1,0.0,17.6,0.0,26.0,82.0
,,639,,,John Crotty,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998.0,25.0,501,POR,Portland Trail Blazers,Kelvin Cato,23.0,4.0,0.0,58.0,8.2,15.4,0.53,0.0,0.9,0.0,8.2,14.5,0.56,7.3,10.0,0.73,2.7,8.2,10.9,0.9,0.9,6.4,3.6,10.9,23.6,109.0,108.0
,,77,,,Kenny Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998.0,25.0,3011,POR,Portland Trail Blazers,Rasheed Wallace,23.0,4.0,4.0,157.0,7.7,15.8,0.49,1.3,1.7,0.8,6.4,14.1,0.45,2.7,5.4,0.5,2.3,4.0,6.4,3.7,0.7,0.7,1.7,5.4,19.5,113.0,118.0
,,405,,,Rick Brunson,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1282,,,Sean Higgins,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998.0,25.0,118,POR,Portland Trail Blazers,Stacey Augmon,29.0,4.0,0.0,28.0,3.8,7.5,0.5,0.0,0.0,,3.8,7.5,0.5,1.9,3.8,0.5,1.9,3.8,5.6,1.9,3.8,1.9,3.8,3.8,9.4,83.0,110.0
,,115,,,Vincent Askew,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998.0,25.0,3184,POR,Portland Trail Blazers,Walt Williams,27.0,4.0,0.0,102.0,8.8,16.0,0.55,4.1,7.7,0.53,4.6,8.3,0.56,5.7,7.2,0.79,1.5,5.7,7.2,4.6,0.5,0.0,0.5,9.3,27.4,152.0,117.0
