Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1999.0,12.0,677,IND,Indiana Pacers,Antonio Davis,30.0,13.0,0.0,326.0,31.0,75.0,0.41,0.0,0.0,,31.0,75.0,0.41,0.41,41.0,62.0,0.66,23.0,69.0,92.0,8.0,5.0,14.0,20.0,39.0,103.0
1999.0,12.0,636,IND,Indiana Pacers,Austin Croshere,23.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
1999.0,12.0,2075,IND,Indiana Pacers,Chris Mullin,35.0,13.0,13.0,283.0,41.0,100.0,0.41,22.0,55.0,0.4,19.0,45.0,0.42,0.52,20.0,23.0,0.87,2.0,18.0,20.0,15.0,10.0,3.0,20.0,21.0,124.0
1999.0,12.0,683,IND,Indiana Pacers,Dale Davis,29.0,13.0,13.0,394.0,45.0,77.0,0.58,0.0,0.0,,45.0,77.0,0.58,0.58,28.0,50.0,0.56,45.0,87.0,132.0,11.0,10.0,18.0,21.0,42.0,118.0
1999.0,12.0,1941,IND,Indiana Pacers,Derrick McKey,32.0,13.0,0.0,245.0,15.0,40.0,0.38,0.0,4.0,0.0,15.0,36.0,0.42,0.38,17.0,26.0,0.65,17.0,26.0,43.0,19.0,12.0,4.0,11.0,39.0,47.0
1999.0,12.0,1305,IND,Indiana Pacers,Fred Hoiberg,26.0,4.0,0.0,20.0,2.0,4.0,0.5,0.0,0.0,,2.0,4.0,0.5,0.5,0.0,0.0,,0.0,3.0,3.0,2.0,3.0,0.0,0.0,1.0,4.0
1999.0,12.0,2506,IND,Indiana Pacers,Jalen Rose,26.0,13.0,0.0,355.0,61.0,138.0,0.44,8.0,23.0,0.35,53.0,115.0,0.46,0.47,28.0,34.0,0.82,11.0,20.0,31.0,32.0,13.0,5.0,25.0,39.0,158.0
1999.0,12.0,1408,IND,Indiana Pacers,Mark Jackson,33.0,13.0,13.0,451.0,51.0,103.0,0.5,14.0,34.0,0.41,37.0,69.0,0.54,0.56,30.0,42.0,0.71,14.0,45.0,59.0,112.0,14.0,1.0,35.0,32.0,146.0
1999.0,12.0,1997,IND,Indiana Pacers,Reggie Miller,33.0,13.0,13.0,481.0,79.0,199.0,0.4,28.0,84.0,0.33,51.0,115.0,0.44,0.47,77.0,86.0,0.9,13.0,38.0,51.0,34.0,9.0,3.0,21.0,26.0,263.0
1999.0,12.0,2710,IND,Indiana Pacers,Rik Smits,32.0,13.0,13.0,293.0,67.0,147.0,0.46,0.0,0.0,,67.0,147.0,0.46,0.46,19.0,20.0,0.95,16.0,49.0,65.0,9.0,6.0,15.0,25.0,51.0,153.0
1999.0,12.0,2284,IND,Indiana Pacers,Sam Perkins,37.0,13.0,0.0,146.0,18.0,35.0,0.51,11.0,24.0,0.46,7.0,11.0,0.64,0.67,6.0,9.0,0.67,2.0,23.0,25.0,6.0,0.0,3.0,7.0,13.0,53.0
1999.0,12.0,234,IND,Indiana Pacers,Travis Best,26.0,11.0,0.0,150.0,16.0,46.0,0.35,2.0,10.0,0.2,14.0,36.0,0.39,0.37,12.0,13.0,0.92,7.0,10.0,17.0,21.0,4.0,1.0,14.0,34.0,46.0
