Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2000.0,17.0,1828,MIL,Milwaukee Bucks,Danny Manning,33.0,1.0,5.0,-5.2,0.0,0.0,0.0,0.0,21.5,11.3,0.0,0.0,0.0,0.0,9.2,0.0,0.0,0.0,-0.18,-7.2,-4.3,-11.5,0.0
2000.0,17.0,1155,MIL,Milwaukee Bucks,Darvin Ham,26.0,5.0,144.0,10.8,0.6,0.06,0.53,14.2,9.0,11.4,6.8,0.4,4.1,25.0,9.0,0.2,0.1,0.2,0.08,-1.0,0.2,-0.8,0.0
2000.0,17.0,1486,MIL,Milwaukee Bucks,Ervin Johnson,32.0,5.0,155.0,14.2,0.56,0.0,0.9,10.8,24.3,17.9,1.8,2.1,2.8,9.7,9.2,0.3,0.2,0.5,0.16,-0.1,1.0,0.9,0.1
2000.0,17.0,2475,MIL,Milwaukee Bucks,Glenn Robinson,27.0,5.0,174.0,11.2,0.45,0.09,0.16,0.0,13.0,6.8,12.4,2.5,1.7,15.0,26.4,-0.3,0.2,-0.1,-0.02,-2.2,-0.3,-2.6,0.0
2000.0,17.0,2920,MIL,Milwaukee Bucks,Mirsad Turkcan,23.0,2.0,10.0,-12.6,0.34,0.2,0.4,0.0,21.5,11.3,0.0,0.0,0.0,33.8,41.0,-0.1,0.0,-0.1,-0.53,-20.2,-7.5,-27.6,-0.1
2000.0,17.0,60,MIL,Milwaukee Bucks,Rafer Alston,23.0,4.0,16.0,-11.6,0.0,0.33,0.67,0.0,0.0,0.0,7.9,0.0,0.0,20.5,14.1,-0.1,0.0,-0.1,-0.37,-11.3,-6.9,-18.3,-0.1
2000.0,17.0,54,MIL,Milwaukee Bucks,Ray Allen,24.0,5.0,186.0,22.7,0.55,0.29,0.24,6.5,13.3,10.1,12.2,2.3,0.0,8.3,26.9,0.5,0.2,0.7,0.18,6.0,-0.2,5.8,0.4
2000.0,17.0,2905,MIL,Milwaukee Bucks,Robert Traylor,22.0,1.0,4.0,14.5,0.0,0.0,0.0,30.0,26.9,28.4,31.7,0.0,18.3,0.0,11.5,0.0,0.0,0.0,0.09,-6.7,8.7,1.9,0.0
2000.0,17.0,497,MIL,Milwaukee Bucks,Sam Cassell,30.0,5.0,178.0,18.5,0.49,0.07,0.29,0.0,10.3,5.4,40.8,1.2,0.0,10.0,23.4,0.4,0.1,0.5,0.13,2.2,-1.0,1.2,0.1
2000.0,17.0,3175,MIL,Milwaukee Bucks,Scott Williams,31.0,5.0,93.0,25.8,0.66,0.0,0.17,11.6,22.0,17.1,4.0,1.2,3.9,9.4,21.1,0.4,0.1,0.5,0.25,2.4,1.3,3.7,0.1
2000.0,17.0,2858,MIL,Milwaukee Bucks,Tim Thomas,22.0,5.0,142.0,22.6,0.58,0.25,0.29,5.1,13.6,9.6,12.1,0.4,2.1,1.5,21.9,0.6,0.1,0.7,0.23,5.4,0.1,5.6,0.3
2000.0,17.0,721,MIL,Milwaukee Bucks,Vinny Del Negro,33.0,5.0,93.0,9.7,0.43,0.07,0.0,0.0,9.3,4.9,14.9,1.7,0.0,9.1,16.4,0.0,0.0,0.0,0.01,-2.6,-0.9,-3.5,0.0
