Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2000,24,PHO,Phoenix Suns,Anfernee Hardaway,28,9,386,18.3,0.53,0.13,0.43,3.8,8.3,6.0,25.3,1.9,1.7,12.7,22.8,0.7,0.5,1.1,0.14,3.6,2.0,5.6,0.7,1179
2000,24,PHO,Phoenix Suns,Clifford Robinson,33,9,333,14.3,0.48,0.28,0.31,5.7,11.5,8.6,10.8,1.8,1.6,9.8,24.5,0.2,0.4,0.6,0.09,1.5,0.4,1.8,0.3,2470
2000,24,PHO,Phoenix Suns,Shawn Marion,21,9,281,13.8,0.45,0.07,0.13,7.8,22.0,14.9,4.4,1.1,3.7,7.2,15.5,0.1,0.5,0.6,0.1,0.3,0.7,1.0,0.2,1837
2000,24,PHO,Phoenix Suns,Rodney Rogers,28,9,263,16.9,0.49,0.31,0.27,6.4,18.3,12.3,10.4,2.0,2.8,10.4,24.4,0.2,0.5,0.6,0.12,1.9,1.7,3.6,0.4,2499
2000,24,PHO,Phoenix Suns,Jason Kidd,26,6,229,14.3,0.5,0.4,0.16,3.7,14.9,9.2,38.5,2.5,0.3,28.1,16.0,0.0,0.4,0.4,0.08,1.5,1.8,3.3,0.3,1604
2000,24,PHO,Phoenix Suns,Corie Blount,31,9,162,13.0,0.56,0.0,0.58,16.2,20.4,18.3,3.1,2.0,2.7,25.0,14.3,0.1,0.3,0.4,0.11,-3.0,2.1,-1.0,0.0,270
2000,24,PHO,Phoenix Suns,Luc Longley,31,9,162,3.8,0.36,0.0,0.06,7.8,11.9,9.8,8.4,1.3,1.8,16.0,17.2,-0.3,0.2,-0.1,-0.03,-6.8,0.2,-6.6,-0.2,1772
2000,24,PHO,Phoenix Suns,Kevin Johnson,33,9,129,4.9,0.37,0.08,0.16,0.0,10.7,5.3,29.5,1.2,0.6,24.7,18.2,-0.3,0.1,-0.2,-0.07,-4.7,-0.9,-5.6,-0.1,1499
2000,24,PHO,Phoenix Suns,Todd Day,30,9,100,11.6,0.53,0.46,0.29,6.3,4.3,5.3,7.5,2.1,0.7,9.2,19.4,0.1,0.1,0.2,0.11,-1.0,1.0,0.1,0.1,710
2000,24,PHO,Phoenix Suns,Randy Livingston,24,7,63,0.5,0.26,0.22,0.0,3.3,8.5,5.9,10.6,3.4,1.2,12.9,22.0,-0.3,0.1,-0.2,-0.15,-6.2,0.6,-5.7,-0.1,1757
2000,24,PHO,Phoenix Suns,Oliver Miller,29,7,37,-0.3,0.28,0.33,0.44,5.7,17.3,11.4,4.2,0.0,4.0,15.7,15.4,-0.1,0.1,-0.1,-0.08,-9.5,-0.9,-10.4,-0.1,1995
2000,24,PHO,Phoenix Suns,Toby Bailey,24,5,15,9.1,0.35,0.0,1.0,7.0,7.1,7.1,21.2,0.0,0.0,0.0,17.1,0.0,0.0,0.0,0.04,0.6,-0.6,0.0,0.0,143
