Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2001.0,28.0,3127,TOR,Toronto Raptors,Alvin Williams,26.0,12.0,12.0,486.0,69.0,160.0,0.43,10.0,28.0,0.36,59.0,132.0,0.45,0.46,17.0,25.0,0.68,6.0,29.0,35.0,50.0,15.0,8.0,16.0,34.0,165.0
2001.0,28.0,677,TOR,Toronto Raptors,Antonio Davis,32.0,12.0,12.0,485.0,77.0,154.0,0.5,0.0,0.0,,77.0,154.0,0.5,0.5,43.0,53.0,0.81,41.0,92.0,133.0,23.0,10.0,22.0,21.0,35.0,197.0
2001.0,28.0,2181,TOR,Toronto Raptors,Charles Oakley,37.0,12.0,12.0,391.0,47.0,108.0,0.44,3.0,8.0,0.38,44.0,100.0,0.44,0.45,14.0,17.0,0.82,20.0,56.0,76.0,21.0,12.0,7.0,22.0,29.0,111.0
2001.0,28.0,529,TOR,Toronto Raptors,Chris Childs,33.0,12.0,9.0,380.0,37.0,90.0,0.41,15.0,36.0,0.42,22.0,54.0,0.41,0.49,20.0,23.0,0.87,2.0,36.0,38.0,78.0,12.0,3.0,35.0,48.0,109.0
,,3186,,,Corliss Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,
2001.0,28.0,652,TOR,Toronto Raptors,Dell Curry,36.0,12.0,0.0,182.0,27.0,64.0,0.42,14.0,37.0,0.38,13.0,27.0,0.48,0.53,10.0,12.0,0.83,2.0,12.0,14.0,10.0,6.0,1.0,11.0,10.0,78.0
2001.0,28.0,2032,TOR,Toronto Raptors,Eric Montross,29.0,5.0,0.0,31.0,2.0,5.0,0.4,0.0,0.0,,2.0,5.0,0.4,0.4,0.0,0.0,,5.0,5.0,10.0,1.0,0.0,3.0,2.0,6.0,4.0
,,1572,,,Garth Joseph,,,,,,,,,,,,,,,,,,,,,,,,,,
2001.0,28.0,3148,TOR,Toronto Raptors,Jerome Williams,27.0,11.0,0.0,164.0,12.0,24.0,0.5,0.0,0.0,,12.0,24.0,0.5,0.5,11.0,22.0,0.5,20.0,25.0,45.0,9.0,10.0,6.0,6.0,23.0,35.0
2001.0,28.0,543,TOR,Toronto Raptors,Keon Clark,25.0,11.0,0.0,103.0,11.0,30.0,0.37,0.0,0.0,,11.0,30.0,0.37,0.37,13.0,20.0,0.65,7.0,16.0,23.0,6.0,2.0,3.0,4.0,16.0,35.0
,,3189,,,Kevin Willis,,,,,,,,,,,,,,,,,,,,,,,,,,
,,673,,,Kornel David,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2103,,,Mamadou N'Diaye,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1408,,,Mark Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
2001.0,28.0,2754,TOR,Toronto Raptors,Michael Stewart,25.0,2.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2001.0,28.0,2294,TOR,Toronto Raptors,Morris Peterson,23.0,8.0,3.0,110.0,18.0,35.0,0.51,4.0,9.0,0.44,14.0,26.0,0.54,0.57,3.0,4.0,0.75,2.0,10.0,12.0,15.0,6.0,0.0,6.0,10.0,43.0
,,278,,,Muggsy Bogues,,,,,,,,,,,,,,,,,,,,,,,,,,
2001.0,28.0,2092,TOR,Toronto Raptors,Tracy Murray,29.0,2.0,0.0,5.0,1.0,3.0,0.33,0.0,2.0,0.0,1.0,1.0,1.0,0.33,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0
,,609,,,Tyrone Corbin,,,,,,,,,,,,,,,,,,,,,,,,,,
2001.0,28.0,492,TOR,Toronto Raptors,Vince Carter,24.0,12.0,12.0,539.0,122.0,280.0,0.44,25.0,61.0,0.41,97.0,219.0,0.44,0.48,58.0,74.0,0.78,37.0,41.0,78.0,56.0,20.0,20.0,27.0,45.0,327.0
