Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2004,9,1160,DET,Detroit Pistons,Richard Hamilton,25,23,23,924,7.1,15.8,0.45,0.6,1.5,0.38,6.5,14.3,0.45,4.6,5.4,0.85,1.2,2.9,4.1,3.8,1.1,0.0,2.8,2.8,19.2
2004,9,3008,DET,Detroit Pistons,Ben Wallace,29,23,23,924,3.6,8.0,0.45,0.0,0.1,0.0,3.6,7.9,0.46,1.9,4.6,0.43,3.7,9.1,12.8,1.7,1.7,2.2,1.4,2.3,9.2
2004,9,242,DET,Detroit Pistons,Chauncey Billups,27,23,23,881,4.5,11.7,0.38,1.5,4.4,0.35,3.0,7.3,0.41,4.9,5.6,0.89,0.6,2.3,2.9,5.6,1.3,0.1,2.5,2.3,15.4
2004,9,3011,DET,Detroit Pistons,Rasheed Wallace,29,23,23,803,5.3,12.8,0.41,0.8,3.1,0.24,4.5,9.7,0.47,2.1,2.7,0.77,2.1,5.9,8.0,1.7,0.6,2.0,1.9,3.5,13.4
2004,9,2365,DET,Detroit Pistons,Tayshaun Prince,23,23,23,795,3.9,9.6,0.41,0.6,2.2,0.26,3.4,7.4,0.45,1.9,2.5,0.74,1.9,4.3,6.2,2.4,1.1,1.4,0.9,2.8,10.3
2004,9,3186,DET,Detroit Pistons,Corliss Williamson,30,22,0,327,4.8,13.3,0.36,0.0,0.1,0.0,4.8,13.2,0.37,4.2,5.2,0.81,2.2,3.2,5.4,1.7,0.7,0.3,2.6,6.5,13.9
2004,9,1366,DET,Detroit Pistons,Lindsey Hunter,33,23,0,273,2.5,8.6,0.29,0.9,4.0,0.23,1.6,4.6,0.34,1.5,1.6,0.92,0.7,3.7,4.4,2.8,2.4,0.5,1.7,5.5,7.4
2004,9,2196,DET,Detroit Pistons,Mehmet Okur,24,22,0,252,4.4,9.4,0.47,0.3,0.7,0.4,4.1,8.7,0.48,2.6,3.7,0.69,2.3,6.4,8.7,1.1,0.7,1.3,2.1,2.9,11.7
2004,9,1430,DET,Detroit Pistons,Mike James,28,22,0,195,3.9,9.8,0.4,1.1,2.6,0.43,2.8,7.2,0.38,1.7,3.0,0.56,1.3,3.5,4.8,4.4,0.9,0.0,2.8,4.2,10.5
2004,9,463,DET,Detroit Pistons,Elden Campbell,35,14,0,124,2.9,10.2,0.29,0.0,0.0,,2.9,10.2,0.29,2.9,5.2,0.56,2.9,4.4,7.3,2.9,1.7,2.6,2.6,8.1,8.7
2004,9,1155,DET,Detroit Pistons,Darvin Ham,30,22,0,108,2.7,5.3,0.5,0.0,0.3,0.0,2.7,5.0,0.53,0.0,0.0,,2.7,2.0,4.7,0.3,1.0,1.3,2.7,6.3,5.3
2004,9,1986,DET,Detroit Pistons,Darko Milicic,18,8,0,14,0.0,10.3,0.0,0.0,0.0,,0.0,10.3,0.0,2.6,10.3,0.25,2.6,5.1,7.7,2.6,2.6,0.0,7.7,2.6,2.6
