Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Ortg,Drtg
,,1124,,,Adrian Griffin,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,933,,,Alton Ford,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004.0,11.0,2105,HOU,Houston Rockets,Bostjan Nachbar,23.0,5.0,0.0,41.0,5.3,12.0,0.44,1.3,4.0,0.33,4.0,8.0,0.5,6.7,6.7,1.0,1.3,6.7,8.0,2.7,1.3,0.0,2.7,12.0,18.7,117.0,101.0
,,2181,,,Charles Oakley,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004.0,11.0,3047,HOU,Houston Rockets,Clarence Weatherspoon,33.0,2.0,0.0,22.0,5.0,12.4,0.4,0.0,0.0,,5.0,12.4,0.4,7.5,14.9,0.5,5.0,5.0,10.0,0.0,0.0,0.0,0.0,7.5,17.4,108.0,105.0
2004.0,11.0,2018,HOU,Houston Rockets,Cuttino Mobley,28.0,5.0,5.0,210.0,7.6,19.5,0.39,1.6,5.5,0.29,6.0,14.1,0.43,2.1,2.6,0.8,1.3,5.0,6.3,3.6,0.8,0.8,4.7,3.6,18.8,83.0,103.0
2004.0,11.0,2303,HOU,Houston Rockets,Eric Piatkowski,33.0,1.0,0.0,4.0,0.0,13.7,0.0,0.0,0.0,,0.0,13.7,0.0,0.0,0.0,,0.0,13.7,13.7,0.0,0.0,0.0,0.0,13.7,0.0,0.0,99.0
2004.0,11.0,1403,HOU,Houston Rockets,Jim Jackson,33.0,5.0,5.0,221.0,7.2,18.1,0.4,2.0,7.2,0.28,5.2,10.9,0.48,2.0,3.0,0.67,0.7,12.1,12.9,2.5,1.2,0.2,2.2,2.2,18.3,93.0,99.0
2004.0,11.0,501,HOU,Houston Rockets,Kelvin Cato,29.0,5.0,5.0,148.0,4.8,8.1,0.59,0.0,0.0,,4.8,8.1,0.59,1.1,2.6,0.43,5.2,7.4,12.6,0.7,1.8,1.5,1.8,6.7,10.7,111.0,98.0
2004.0,11.0,1408,HOU,Houston Rockets,Mark Jackson,38.0,5.0,0.0,38.0,1.4,8.6,0.17,0.0,4.3,0.0,1.4,4.3,0.33,0.0,0.0,,0.0,4.3,4.3,7.2,2.9,0.0,2.9,1.4,2.9,54.0,100.0
2004.0,11.0,2818,HOU,Houston Rockets,Maurice Taylor,27.0,5.0,0.0,115.0,8.6,18.1,0.47,0.0,0.0,,8.6,18.1,0.47,6.2,8.1,0.76,2.4,5.2,7.6,2.4,0.0,0.5,3.3,9.5,23.3,102.0,104.0
2004.0,11.0,3124,HOU,Houston Rockets,Mike Wilks,24.0,2.0,0.0,5.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,10.9,0.0,0.0,10.9,0.0,0.0,38.0,109.0
,,2156,,,Moochie Norris,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004.0,11.0,2234,HOU,Houston Rockets,Scott Padgett,27.0,4.0,0.0,14.0,7.8,19.5,0.4,3.9,11.7,0.33,3.9,7.8,0.5,0.0,0.0,,3.9,7.8,11.7,0.0,3.9,3.9,3.9,3.9,19.5,88.0,91.0
2004.0,11.0,955,HOU,Houston Rockets,Steve Francis,26.0,5.0,5.0,222.0,7.4,17.3,0.43,1.7,4.2,0.41,5.7,13.1,0.43,7.2,9.9,0.72,1.5,8.9,10.4,9.4,1.7,0.2,5.2,4.4,23.7,104.0,99.0
,,330,,,Torraye Braggs,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004.0,11.0,2005,HOU,Houston Rockets,Yao Ming,23.0,5.0,5.0,185.0,9.2,20.1,0.46,0.0,0.0,,9.2,20.1,0.46,3.8,5.0,0.76,3.3,7.7,10.9,2.7,0.6,2.1,3.8,5.9,22.2,95.0,100.0
