Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2005.0,5.0,1124,CHI,Chicago Bulls,Adrian Griffin,30.0,5.0,0.0,86.0,6.3,12.1,0.52,0.0,0.0,,6.3,12.1,0.52,1.7,2.1,0.8,2.1,6.3,8.4,3.8,2.1,0.0,1.3,5.9,14.2
2005.0,5.0,2149,CHI,Chicago Bulls,Andres Nocioni,25.0,6.0,6.0,202.0,4.8,11.9,0.4,1.1,3.0,0.35,3.7,8.9,0.42,3.0,4.1,0.74,1.4,7.3,8.7,2.5,0.2,1.1,2.0,3.6,13.7
2005.0,5.0,677,CHI,Chicago Bulls,Antonio Davis,36.0,6.0,6.0,175.0,4.1,9.5,0.44,0.0,0.0,,4.1,9.5,0.44,3.5,4.7,0.74,3.5,4.9,8.4,2.3,0.8,0.8,1.9,5.1,11.7
2005.0,5.0,1061,CHI,Chicago Bulls,Ben Gordon,21.0,6.0,1.0,153.0,7.1,17.4,0.4,1.6,5.2,0.32,5.4,12.2,0.44,4.7,5.9,0.8,1.4,2.4,3.8,3.5,1.2,0.5,3.1,4.2,20.5
2005.0,5.0,795,CHI,Chicago Bulls,Chris Duhon,22.0,6.0,5.0,159.0,2.5,8.4,0.3,1.4,5.0,0.27,1.1,3.4,0.33,2.0,2.5,0.82,1.4,4.5,5.9,4.8,0.5,0.0,2.7,1.4,8.4
,,653,,,Eddy Curry,,,,,,,,,,,,,,,,,,,,,,,,,
2005.0,5.0,2303,CHI,Chicago Bulls,Eric Piatkowski,34.0,5.0,0.0,66.0,3.3,10.4,0.32,2.7,7.1,0.38,0.5,3.3,0.17,3.3,3.8,0.86,0.5,4.4,4.9,1.6,2.2,0.5,0.5,1.6,12.5
,,3137,,,Frank Williams,,,,,,,,,,,,,,,,,,,,,,,,,
2005.0,5.0,2241,CHI,Chicago Bulls,Jannero Pargo,25.0,5.0,0.0,76.0,8.5,24.2,0.35,6.2,15.2,0.41,2.4,9.0,0.26,1.4,2.4,0.6,0.5,1.9,2.4,4.7,1.4,0.0,3.8,6.6,24.6
2005.0,5.0,2425,CHI,Chicago Bulls,Jared Reiner,22.0,3.0,0.0,7.0,0.0,5.1,0.0,0.0,0.0,,0.0,5.1,0.0,0.0,0.0,,10.3,5.1,15.4,0.0,0.0,0.0,5.1,15.4,0.0
2005.0,5.0,1296,CHI,Chicago Bulls,Kirk Hinrich,24.0,6.0,6.0,213.0,7.6,16.9,0.45,2.9,5.6,0.52,4.7,11.3,0.42,3.4,4.9,0.69,0.7,3.0,3.7,5.9,2.0,0.7,2.4,3.0,21.5
2005.0,5.0,972,CHI,Chicago Bulls,Lawrence Funderburke,34.0,5.0,0.0,28.0,1.3,2.6,0.5,0.0,0.0,,1.3,2.6,0.5,1.3,2.6,0.5,0.0,3.9,3.9,1.3,0.0,0.0,0.0,10.3,3.9
,,731,,,Luol Deng,,,,,,,,,,,,,,,,,,,,,,,,,
2005.0,5.0,1198,CHI,Chicago Bulls,Othella Harrington,31.0,6.0,6.0,103.0,7.3,14.7,0.5,0.0,0.0,,7.3,14.7,0.5,2.1,3.8,0.55,2.1,3.1,5.2,1.0,0.3,0.0,2.8,6.6,16.8
2005.0,5.0,514,CHI,Chicago Bulls,Tyson Chandler,22.0,6.0,0.0,172.0,4.0,8.4,0.48,0.0,0.0,,4.0,8.4,0.48,6.7,9.6,0.7,6.1,6.1,12.1,1.7,0.2,2.7,1.7,5.7,14.7
