Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2006,12,1464,IND,Indiana Pacers,Anthony Johnson,31,6,242,19.6,0.59,0.23,0.38,4.4,11.0,7.9,27.6,1.4,0.0,12.1,23.4,0.6,0.2,0.8,0.15,4.0,0.1,4.1,0.4
2006,12,1417,IND,Indiana Pacers,Stephen Jackson,27,6,227,7.7,0.44,0.32,0.22,2.9,11.8,7.6,17.0,1.0,0.4,14.3,22.6,-0.3,0.2,-0.1,-0.03,-2.5,-1.6,-4.1,-0.1
2006,12,2176,IND,Indiana Pacers,Jermaine O'Neal,27,6,216,18.6,0.59,0.02,0.63,5.6,20.3,13.2,10.4,0.8,5.3,19.5,30.2,0.0,0.3,0.3,0.07,-0.7,1.1,0.4,0.1
2006,12,636,IND,Indiana Pacers,Austin Croshere,30,6,175,9.9,0.53,0.6,0.47,3.8,11.8,8.0,6.9,1.6,0.0,11.6,14.5,0.1,0.2,0.3,0.08,0.5,-0.8,-0.3,0.1
2006,12,1544,IND,Indiana Pacers,Fred Jones,26,6,167,11.8,0.57,0.44,0.33,1.6,13.1,7.6,16.1,2.0,0.5,16.2,14.4,0.1,0.2,0.3,0.09,0.2,1.5,1.8,0.2
2006,12,1077,IND,Indiana Pacers,Danny Granger,22,6,162,15.4,0.68,0.47,0.12,5.8,18.0,12.2,11.5,1.4,3.5,16.4,12.9,0.3,0.2,0.5,0.15,2.6,2.7,5.3,0.3
2006,12,945,IND,Indiana Pacers,Jeff Foster,29,4,80,13.8,0.43,0.0,0.36,18.3,19.7,19.1,6.3,2.8,1.0,0.0,7.8,0.1,0.1,0.3,0.16,2.1,0.6,2.7,0.1
2006,12,1435,IND,Indiana Pacers,Sarunas Jasikevicius,29,6,66,3.5,0.43,0.47,0.1,2.0,9.2,5.8,16.7,0.0,1.2,20.1,18.4,-0.1,0.0,-0.1,-0.08,-4.2,-3.3,-7.5,-0.1
2006,12,2761,IND,Indiana Pacers,Peja Stojakovic,28,2,51,16.7,0.52,0.17,0.39,0.0,21.4,11.2,15.9,1.1,1.6,4.5,21.2,0.1,0.1,0.1,0.13,2.1,0.3,2.5,0.1
2006,12,1213,IND,Indiana Pacers,David Harrison,23,6,31,0.8,0.46,0.0,1.33,4.3,15.7,10.3,0.0,1.8,2.6,21.9,28.8,-0.1,0.0,-0.1,-0.12,-13.8,-0.6,-14.4,-0.1
2006,12,2327,IND,Indiana Pacers,Scot Pollard,30,4,15,-2.2,0.0,0.0,0.0,8.9,32.4,21.2,0.0,3.7,0.0,50.0,6.5,0.0,0.0,0.0,-0.04,-10.6,2.0,-8.6,0.0
2006,12,2886,IND,Indiana Pacers,Jamaal Tinsley,27,1,7,3.5,0.33,0.67,0.0,0.0,0.0,0.0,28.2,7.9,0.0,25.0,28.0,0.0,0.0,0.0,-0.2,-7.3,3.6,-3.7,0.0
2006,12,1035,IND,Indiana Pacers,Eddie Gill,27,2,1,-59.5,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,48.9,0.0,0.0,0.0,-1.57,-27.7,-16.2,-43.9,0.0
