Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010,21,OKC,Oklahoma City Thunder,Kevin Durant,21,6,6,231,6.7,19.2,0.35,1.6,5.5,0.29,5.1,13.7,0.38,8.4,9.7,0.87,1.2,5.9,7.2,2.2,0.5,1.2,3.4,2.6,23.4
2010,21,OKC,Oklahoma City Thunder,Jeff Green,23,6,6,224,3.7,11.3,0.33,1.3,4.3,0.3,2.4,6.9,0.35,2.7,3.2,0.85,1.0,3.5,4.5,1.6,0.6,0.5,1.0,2.6,11.4
2010,21,OKC,Oklahoma City Thunder,Russell Westbrook,21,6,6,212,7.3,15.5,0.47,0.8,2.0,0.42,6.5,13.4,0.48,5.4,6.5,0.84,1.7,4.4,6.1,6.1,1.7,0.2,2.4,2.2,20.9
2010,21,OKC,Oklahoma City Thunder,Serge Ibaka,20,6,0,153,4.7,8.2,0.57,0.0,0.0,,4.7,8.2,0.57,1.6,2.4,0.7,3.1,6.1,9.2,0.5,0.5,2.8,1.4,4.5,11.1
2010,21,OKC,Oklahoma City Thunder,Nick Collison,29,6,0,129,2.2,6.7,0.33,0.0,0.3,0.0,2.2,6.4,0.35,0.8,2.0,0.43,3.3,4.5,7.8,0.6,1.4,0.3,1.1,5.6,5.3
2010,21,OKC,Oklahoma City Thunder,Nenad Krstic,26,6,6,129,4.2,10.3,0.4,0.0,0.0,,4.2,10.3,0.4,3.6,3.9,0.93,4.2,5.6,9.8,1.1,0.8,1.1,1.4,4.2,12.0
2010,21,OKC,Oklahoma City Thunder,Thabo Sefolosha,25,6,6,127,2.3,7.7,0.3,0.9,3.7,0.23,1.4,4.0,0.36,2.3,2.6,0.89,0.9,4.3,5.1,2.0,1.4,1.7,0.6,4.3,7.7
2010,21,OKC,Oklahoma City Thunder,James Harden,20,6,0,120,3.6,9.3,0.39,1.8,4.8,0.38,1.8,4.5,0.4,4.8,5.7,0.84,0.3,4.2,4.5,3.3,1.8,0.3,0.9,4.2,13.8
2010,21,OKC,Oklahoma City Thunder,Eric Maynor,22,6,0,76,2.8,9.5,0.3,0.5,2.8,0.17,2.4,6.6,0.36,4.3,5.2,0.82,0.5,3.8,4.3,4.3,0.5,0.5,2.4,2.4,10.4
2010,21,OKC,Oklahoma City Thunder,Etan Thomas,31,2,0,17,10.6,12.7,0.83,0.0,0.0,,10.6,12.7,0.83,4.2,4.2,1.0,2.1,6.4,8.5,0.0,0.0,0.0,2.1,2.1,25.4
2010,21,OKC,Oklahoma City Thunder,Kyle Weaver,23,1,0,12,3.0,12.0,0.25,0.0,3.0,0.0,3.0,9.0,0.33,0.0,0.0,,0.0,6.0,6.0,6.0,0.0,0.0,0.0,6.0,6.0
2010,21,OKC,Oklahoma City Thunder,Kevin Ollie,37,1,0,5,0.0,7.2,0.0,0.0,0.0,,0.0,7.2,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,21,OKC,Oklahoma City Thunder,Byron Mullens,20,1,0,4,0.0,18.0,0.0,0.0,0.0,,0.0,18.0,0.0,9.0,18.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
