Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2013,15,MEM,Memphis Grizzlies,Marc Gasol,28,15,15,40.6,6.2,13.7,0.45,0.0,0.0,,6.2,13.7,0.45,0.45,4.8,6.0,0.8,1.7,6.8,8.5,3.2,0.9,2.2,1.2,3.5,17.2,1007
2013,15,MEM,Memphis Grizzlies,Mike Conley,25,15,15,38.3,5.5,14.4,0.38,1.2,4.3,0.28,4.3,10.1,0.43,0.43,4.7,6.2,0.76,0.8,3.9,4.7,7.1,1.7,0.3,2.3,2.3,17.0,585
2013,15,MEM,Memphis Grizzlies,Zach Randolph,31,15,15,36.9,6.6,14.3,0.46,0.0,0.1,0.0,6.6,14.3,0.46,0.46,4.2,6.3,0.67,3.9,6.1,10.0,1.6,0.7,0.5,2.1,3.5,17.4,2395
2013,15,MEM,Memphis Grizzlies,Tayshaun Prince,32,15,15,30.3,2.9,8.1,0.36,0.3,1.3,0.26,2.5,6.8,0.37,0.38,0.9,1.5,0.61,0.8,3.0,3.8,1.9,0.5,0.3,0.7,1.2,7.0,2365
2013,15,MEM,Memphis Grizzlies,Tony Allen,31,15,15,28.1,3.6,8.3,0.43,0.1,0.5,0.25,3.5,7.8,0.44,0.44,2.9,3.9,0.76,2.5,3.6,6.1,1.8,2.0,0.3,1.3,3.2,10.3,55
2013,15,MEM,Memphis Grizzlies,Quincy Pondexter,24,15,0,23.8,3.1,6.3,0.49,1.6,3.5,0.45,1.5,2.7,0.54,0.62,1.1,1.9,0.61,0.6,1.9,2.5,0.7,0.7,0.1,0.6,2.1,8.9,2329
2013,15,MEM,Memphis Grizzlies,Jerryd Bayless,24,15,0,21.3,3.3,9.1,0.36,1.2,3.9,0.3,2.1,5.2,0.4,0.42,1.5,1.7,0.88,0.1,1.9,2.0,2.1,0.5,0.3,1.1,2.3,9.3,195
2013,15,MEM,Memphis Grizzlies,Darrell Arthur,24,15,0,11.7,1.7,3.5,0.47,0.0,0.1,0.0,1.7,3.4,0.49,0.47,0.5,0.6,0.89,0.9,1.6,2.5,0.4,0.1,0.3,0.5,2.4,3.9,112
2013,15,MEM,Memphis Grizzlies,Keyon Dooling,32,14,0,8.1,0.6,1.7,0.33,0.4,0.9,0.38,0.2,0.8,0.27,0.44,0.4,0.4,1.0,0.0,0.4,0.4,0.3,0.1,0.0,0.2,1.0,1.9,759
2013,15,MEM,Memphis Grizzlies,Ed Davis,23,8,0,6.0,0.6,1.5,0.42,0.0,0.0,,0.6,1.5,0.42,0.42,0.4,0.5,0.75,0.5,0.9,1.4,0.0,0.0,0.1,0.3,0.9,1.6,685
2013,15,MEM,Memphis Grizzlies,Austin Daye,24,4,0,5.0,0.8,2.0,0.38,0.0,0.3,0.0,0.8,1.8,0.43,0.38,0.3,0.3,1.0,0.0,0.3,0.3,0.0,0.0,0.3,0.3,0.5,1.8,711
2013,15,MEM,Memphis Grizzlies,Tony Wroten,19,6,0,2.8,0.3,1.8,0.18,0.0,0.3,0.0,0.3,1.5,0.22,0.18,0.7,0.7,1.0,0.2,0.5,0.7,0.3,0.2,0.0,0.3,0.2,1.3,3249
2013,15,MEM,Memphis Grizzlies,Jon Leuer,23,5,0,2.2,0.2,0.4,0.5,0.0,0.0,,0.2,0.4,0.5,0.5,0.0,0.0,,0.4,0.2,0.6,0.0,0.2,0.2,0.0,0.2,0.4,1739
