Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2014,4,CHA,Charlotte Bobcats,Josh McRoberts,26,4,4,38.5,3.8,8.3,0.46,2.0,4.3,0.47,1.8,4.0,0.44,0.58,2.0,2.5,0.8,0.3,6.5,6.8,3.8,1.0,0.3,1.5,3.3,11.5,1959
2014,4,CHA,Charlotte Bobcats,Kemba Walker,23,4,4,38.3,6.5,13.8,0.47,3.0,6.0,0.5,3.5,7.8,0.45,0.58,3.5,4.5,0.78,0.3,3.5,3.8,6.0,2.0,0.8,3.8,1.5,19.5,3002
2014,4,CHA,Charlotte Bobcats,Al Jefferson,29,3,3,35.3,8.7,17.7,0.49,0.0,0.0,,8.7,17.7,0.49,0.49,1.3,1.7,0.8,2.0,7.3,9.3,0.7,0.3,1.7,0.3,2.3,18.7,1440
2014,4,CHA,Charlotte Bobcats,Gerald Henderson,26,4,4,29.8,3.5,9.3,0.38,0.0,2.3,0.0,3.5,7.0,0.5,0.38,2.8,4.3,0.65,0.3,3.8,4.0,2.3,1.0,0.3,1.5,3.0,9.8,1252
2014,4,CHA,Charlotte Bobcats,Gary Neal,29,4,0,26.0,4.5,12.8,0.35,1.0,4.5,0.22,3.5,8.3,0.42,0.39,1.3,1.8,0.71,0.8,1.3,2.0,1.0,0.0,0.0,2.0,2.3,11.3,2120
2014,4,CHA,Charlotte Bobcats,Michael Kidd-Gilchrist,20,4,4,22.8,3.5,6.8,0.52,0.0,0.3,0.0,3.5,6.5,0.54,0.52,1.5,2.5,0.6,2.0,4.5,6.5,1.5,0.0,0.5,2.0,3.3,8.5,1607
2014,4,CHA,Charlotte Bobcats,Chris Douglas-Roberts,27,4,0,17.5,2.8,4.0,0.69,1.0,2.0,0.5,1.8,2.0,0.88,0.81,3.0,3.5,0.86,0.5,1.5,2.0,0.5,0.0,0.0,1.0,2.8,9.5,773
2014,4,CHA,Charlotte Bobcats,Bismack Biyombo,21,3,1,16.0,1.0,1.7,0.6,0.0,0.0,,1.0,1.7,0.6,0.6,0.7,2.0,0.33,1.7,2.0,3.7,0.3,0.0,0.7,0.0,1.3,2.7,249
2014,4,CHA,Charlotte Bobcats,Cody Zeller,21,4,0,13.3,0.8,2.3,0.33,0.0,0.0,,0.8,2.3,0.33,0.33,0.5,1.0,0.5,1.3,1.0,2.3,0.5,0.0,0.8,0.5,0.8,2.0,3266
2014,4,CHA,Charlotte Bobcats,Luke Ridnour,32,4,0,9.0,1.0,3.3,0.31,0.5,1.5,0.33,0.5,1.8,0.29,0.38,0.0,0.0,,0.0,1.0,1.0,3.0,0.0,0.3,1.0,0.3,2.5,2449
2014,4,CHA,Charlotte Bobcats,Anthony Tolliver,28,4,0,5.3,0.3,0.5,0.5,0.3,0.5,0.5,0.0,0.0,,0.75,0.8,0.8,1.0,0.3,0.8,1.0,0.3,0.0,0.0,0.0,0.5,1.5,2891
2014,4,CHA,Charlotte Bobcats,Jannero Pargo,34,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2241
2014,4,CHA,Charlotte Bobcats,D.J. White,27,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,3085
