Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
,,1090,,,Aaron Gray,,,,,,,,,,,,,,,,,,,,,,,,,
2014.0,28.0,1463,TOR,Toronto Raptors,Amir Johnson,26.0,7.0,7.0,191.0,6.4,9.8,0.65,0.0,0.4,0.0,6.4,9.4,0.68,1.7,2.3,0.75,3.0,4.9,7.9,1.3,0.6,0.8,2.3,5.5,14.5
,,711,,,Austin Daye,,,,,,,,,,,,,,,,,,,,,,,,,
2014.0,28.0,1231,TOR,Toronto Raptors,Chuck Hayes,30.0,5.0,0.0,38.0,1.9,7.6,0.25,0.0,0.0,,1.9,7.6,0.25,1.9,1.9,1.0,3.8,3.8,7.6,1.9,2.8,0.0,0.9,4.7,5.7
,,119,,,D.J. Augustin,,,,,,,,,,,,,,,,,,,,,,,,,
2014.0,28.0,715,TOR,Toronto Raptors,DeMar DeRozan,24.0,7.0,7.0,282.0,5.7,14.9,0.38,0.8,2.3,0.33,5.0,12.6,0.39,9.1,10.1,0.9,0.4,3.3,3.7,3.2,1.0,0.3,2.3,2.9,21.3
,,442,,,Dwight Buycks,,,,,,,,,,,,,,,,,,,,,,,,,
2014.0,28.0,2960,TOR,Toronto Raptors,Greivis Vasquez,27.0,7.0,0.0,190.0,5.1,12.1,0.42,1.9,5.1,0.37,3.2,7.0,0.46,1.3,1.7,0.78,0.6,4.4,4.9,6.8,0.8,0.2,1.9,4.2,13.5
2014.0,28.0,2541,TOR,Toronto Raptors,John Salmons,34.0,6.0,0.0,77.0,2.3,7.9,0.29,0.9,5.6,0.17,1.4,2.3,0.6,0.5,0.5,1.0,0.0,2.8,2.8,2.3,0.9,0.0,0.5,4.2,6.1
2014.0,28.0,2945,TOR,Toronto Raptors,Jonas Valanciunas,21.0,7.0,7.0,200.0,5.6,8.8,0.63,0.0,0.0,,5.6,8.8,0.63,2.5,4.0,0.64,3.4,8.8,12.2,0.4,0.0,1.3,3.4,4.0,13.7
,,2766,,,Julyan Stone,,,,,,,,,,,,,,,,,,,,,,,,,
2014.0,28.0,1781,TOR,Toronto Raptors,Kyle Lowry,27.0,7.0,7.0,271.0,5.8,14.5,0.4,2.3,5.7,0.4,3.6,8.8,0.41,5.7,6.5,0.88,1.2,3.2,4.4,4.4,0.8,0.0,2.7,3.6,19.7
2014.0,28.0,915,TOR,Toronto Raptors,Landry Fields,25.0,3.0,0.0,26.0,0.0,2.8,0.0,0.0,0.0,,0.0,2.8,0.0,0.0,0.0,,2.8,6.9,9.7,1.4,5.5,1.4,1.4,2.8,0.0
2014.0,28.0,713,TOR,Toronto Raptors,Nando De Colo,26.0,1.0,0.0,4.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,9.0,9.0,0.0,0.0,0.0,0.0,18.0,0.0
2014.0,28.0,2257,TOR,Toronto Raptors,Patrick Patterson,24.0,7.0,0.0,199.0,4.7,8.7,0.54,1.3,3.3,0.39,3.4,5.4,0.63,2.5,3.3,0.78,2.2,6.3,8.5,1.6,0.5,0.5,1.1,2.4,13.2
,,11,,,Quincy Acy,,,,,,,,,,,,,,,,,,,,,,,,,
,,1011,,,Rudy Gay,,,,,,,,,,,,,,,,,,,,,,,,,
2014.0,28.0,2159,TOR,Toronto Raptors,Steve Novak,30.0,4.0,0.0,15.0,0.0,7.2,0.0,0.0,7.2,0.0,0.0,0.0,,0.0,0.0,,0.0,12.0,12.0,2.4,0.0,0.0,0.0,0.0,0.0
2014.0,28.0,2510,TOR,Toronto Raptors,Terrence Ross,22.0,7.0,7.0,158.0,3.2,10.7,0.3,0.9,5.5,0.17,2.3,5.2,0.44,0.7,1.1,0.6,0.2,3.0,3.2,0.5,1.4,0.7,1.8,4.3,8.0
2014.0,28.0,1173,TOR,Toronto Raptors,Tyler Hansbrough,28.0,3.0,0.0,29.0,1.2,3.7,0.33,0.0,0.0,,1.2,3.7,0.33,6.2,7.4,0.83,2.5,5.0,7.4,1.2,0.0,0.0,2.5,9.9,8.7
