Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2016,9,DET,Detroit Pistons,Kentavious Caldwell-Pope,22,4,4,40.3,5.5,12.5,0.44,3.0,6.8,0.44,2.5,5.8,0.44,0.56,1.3,1.8,0.71,0.5,3.8,4.3,2.8,1.8,0.3,0.5,1.8,15.3
2016,9,DET,Detroit Pistons,Tobias Harris,23,4,4,39.0,5.3,11.5,0.46,1.0,3.0,0.33,4.3,8.5,0.5,0.5,3.0,3.3,0.92,1.5,8.0,9.5,3.0,0.8,0.8,1.5,2.8,14.5
2016,9,DET,Detroit Pistons,Reggie Jackson,25,4,4,36.8,6.3,13.8,0.46,0.8,4.5,0.17,5.5,9.3,0.6,0.48,1.0,1.0,1.0,0.5,2.8,3.3,9.3,1.5,0.5,2.5,2.5,14.3
2016,9,DET,Detroit Pistons,Marcus Morris,26,4,4,36.0,5.5,11.8,0.47,1.8,4.5,0.39,3.8,7.3,0.52,0.54,5.0,5.8,0.87,0.5,2.8,3.3,2.5,0.5,0.0,1.3,4.3,17.8
2016,9,DET,Detroit Pistons,Andre Drummond,22,4,4,32.8,7.0,13.5,0.52,0.0,0.3,0.0,7.0,13.3,0.53,0.52,2.8,8.5,0.32,3.0,6.0,9.0,0.0,0.3,1.5,1.0,2.0,16.8
2016,9,DET,Detroit Pistons,Stanley Johnson,19,4,0,20.3,3.0,5.8,0.52,1.5,2.5,0.6,1.5,3.3,0.46,0.65,0.5,0.5,1.0,0.0,4.0,4.0,0.0,0.3,0.0,0.8,2.5,8.0
2016,9,DET,Detroit Pistons,Aron Baynes,29,4,0,11.0,1.0,2.3,0.44,0.0,0.0,,1.0,2.3,0.44,0.44,0.5,0.8,0.67,0.8,1.3,2.0,0.5,0.0,0.0,0.8,1.0,2.5
2016,9,DET,Detroit Pistons,Reggie Bullock,24,2,0,11.0,2.5,3.0,0.83,1.0,1.5,0.67,1.5,1.5,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,1.5,0.5,0.0,0.0,1.0,6.0
2016,9,DET,Detroit Pistons,Steve Blake,35,4,0,10.8,0.3,1.3,0.2,0.3,0.5,0.5,0.0,0.8,0.0,0.3,0.3,0.5,0.5,0.0,1.0,1.0,2.5,0.0,0.0,1.3,1.8,1.0
2016,9,DET,Detroit Pistons,Anthony Tolliver,30,3,0,8.7,0.7,1.3,0.5,0.0,0.7,0.0,0.7,0.7,1.0,0.5,0.0,0.0,,0.3,1.0,1.3,0.3,0.0,0.3,0.0,0.0,1.3
2016,9,DET,Detroit Pistons,Spencer Dinwiddie,22,1,0,2.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
2016,9,DET,Detroit Pistons,Jodie Meeks,28,1,0,2.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
