Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2016,27,SAS,San Antonio Spurs,Kawhi Leonard,24,10,10,339,83,166,0.5,17,39,0.44,66,127,0.52,0.55,42,51,0.82,14,49,63,28,26,14,16,21,225
2016,27,SAS,San Antonio Spurs,LaMarcus Aldridge,30,10,10,337,88,169,0.52,2,2,1.0,86,167,0.52,0.53,41,46,0.89,22,61,83,10,4,14,11,18,219
2016,27,SAS,San Antonio Spurs,Danny Green,28,10,10,267,30,65,0.46,24,48,0.5,6,17,0.35,0.65,2,3,0.67,0,31,31,7,21,8,6,20,86
2016,27,SAS,San Antonio Spurs,Tony Parker,33,10,10,264,44,98,0.45,4,16,0.25,40,82,0.49,0.47,12,14,0.86,1,21,22,53,6,2,18,15,104
2016,27,SAS,San Antonio Spurs,Tim Duncan,39,10,10,218,22,52,0.42,0,0,,22,52,0.42,0.42,15,21,0.71,10,38,48,14,2,13,10,18,59
2016,27,SAS,San Antonio Spurs,Manu Ginobili,38,10,0,192,20,47,0.43,9,21,0.43,11,26,0.42,0.52,18,23,0.78,6,21,27,25,8,3,7,25,67
2016,27,SAS,San Antonio Spurs,David West,35,10,0,176,25,55,0.46,3,6,0.5,22,49,0.45,0.48,5,9,0.56,13,24,37,13,6,7,7,19,58
2016,27,SAS,San Antonio Spurs,Patty Mills,27,10,0,167,23,53,0.43,13,36,0.36,10,17,0.59,0.56,7,11,0.64,0,14,14,20,7,0,8,3,66
2016,27,SAS,San Antonio Spurs,Boris Diaw,33,9,0,159,21,46,0.46,2,6,0.33,19,40,0.48,0.48,3,4,0.75,2,17,19,21,2,4,6,9,47
2016,27,SAS,San Antonio Spurs,Kyle Anderson,22,10,0,129,8,25,0.32,1,3,0.33,7,22,0.32,0.34,6,7,0.86,2,22,24,7,6,3,4,11,23
2016,27,SAS,San Antonio Spurs,Kevin Martin,32,5,0,49,8,20,0.4,4,8,0.5,4,12,0.33,0.5,2,3,0.67,0,4,4,3,1,0,6,5,22
2016,27,SAS,San Antonio Spurs,Boban Marjanovic,27,7,0,42,8,12,0.67,0,0,,8,12,0.67,0.67,8,9,0.89,4,10,14,3,0,2,3,10,24
2016,27,SAS,San Antonio Spurs,Andre Miller,39,5,0,35,3,7,0.43,1,3,0.33,2,4,0.5,0.5,2,2,1.0,2,3,5,7,0,0,0,4,9
2016,27,SAS,San Antonio Spurs,Jonathon Simmons,26,3,0,26,4,10,0.4,2,3,0.67,2,7,0.29,0.5,1,2,0.5,3,1,4,2,2,0,1,4,11
