SEASON,TEAM ID,TEAM,PLAYER,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2017,5,CHI,Jimmy Butler,27,6,239,19.4,0.53,0.21,0.44,4.3,16.2,10.3,19.3,2.2,2.2,10.4,27.1,0.3,0.3,0.6,0.12,2.7,0.6,3.3,0.3
2017,5,CHI,Dwyane Wade,35,6,190,15.5,0.47,0.2,0.24,3.6,13.9,8.8,21.5,1.4,4.3,9.5,25.0,0.1,0.2,0.2,0.06,1.0,0.0,1.0,0.1
2017,5,CHI,Robin Lopez,28,6,162,23.4,0.68,0.0,0.15,19.7,10.2,14.9,5.6,1.0,3.8,12.6,17.7,0.5,0.1,0.7,0.2,3.0,-0.4,2.6,0.2
2017,5,CHI,Nikola Mirotic,25,6,162,9.5,0.48,0.7,0.2,2.8,17.7,10.4,8.5,1.3,1.9,6.8,16.2,0.0,0.2,0.2,0.06,-1.7,-0.2,-1.9,0.0
2017,5,CHI,Paul Zipser,22,6,136,8.5,0.6,0.48,0.24,2.5,14.6,8.7,3.4,0.4,0.8,16.1,14.4,0.1,0.1,0.1,0.05,-2.9,-0.7,-3.6,-0.1
2017,5,CHI,Bobby Portis,21,6,121,14.1,0.61,0.39,0.0,4.7,28.3,16.7,9.4,1.3,2.6,15.4,14.5,0.1,0.2,0.3,0.1,0.1,1.5,1.6,0.1
2017,5,CHI,Isaiah Canaan,25,3,95,9.7,0.61,0.54,0.23,0.0,4.6,2.4,6.8,1.6,0.0,14.9,16.0,0.1,0.0,0.1,0.05,-1.7,0.0,-1.7,0.0
2017,5,CHI,Cristiano Felicio,24,6,82,8.9,0.6,0.0,0.13,9.7,25.6,17.8,3.8,1.9,2.5,30.6,12.6,-0.1,0.1,0.1,0.03,-6.6,0.7,-5.9,-0.1
2017,5,CHI,Rajon Rondo,30,2,67,22.9,0.43,0.23,0.08,11.9,16.5,14.2,50.4,5.4,1.5,13.0,20.8,0.1,0.1,0.2,0.15,1.8,4.8,6.6,0.1
2017,5,CHI,Michael Carter-Williams,25,5,53,3.4,0.42,0.07,0.27,2.1,6.2,4.2,17.6,2.0,1.9,26.4,19.3,-0.2,0.0,-0.1,-0.11,-6.9,-0.4,-7.3,-0.1
2017,5,CHI,Jerian Grant,24,5,52,-2.5,0.33,0.39,0.13,0.0,8.5,4.3,15.0,2.0,0.0,22.3,27.1,-0.3,0.0,-0.3,-0.25,-10.2,-3.7,-13.9,-0.2
2017,5,CHI,Anthony Morrow,31,3,29,14.5,0.61,0.0,0.22,0.0,11.4,5.8,11.8,0.0,0.0,0.0,15.3,0.1,0.0,0.1,0.14,-1.3,-0.7,-2.0,0.0
2017,5,CHI,Joffrey Lauvergne,25,3,26,24.1,0.51,0.18,0.55,21.9,17.0,19.4,31.9,0.0,0.0,12.8,27.1,0.1,0.0,0.1,0.16,6.2,-0.1,6.1,0.1
2017,5,CHI,Denzel Valentine,23,4,22,6.2,0.42,0.67,0.0,0.0,40.1,20.4,13.6,0.0,4.7,25.0,16.4,-0.1,0.0,0.0,-0.05,-4.5,1.4,-3.2,0.0
2017,5,CHI,Cameron Payne,22,1,4,12.8,0.75,0.5,0.0,0.0,27.6,14.0,0.0,0.0,0.0,33.3,33.8,0.0,0.0,0.0,-0.13,2.8,-2.1,0.7,0.0
