Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2017.0,2.0,1325,BOS,Boston Celtics,Al Horford,30.0,18.0,18.0,33.9,6.2,10.6,0.58,1.5,2.9,0.52,4.7,7.7,0.61,0.66,1.2,1.6,0.76,1.7,4.8,6.6,5.4,0.8,0.8,1.8,1.8,15.1
2017.0,2.0,1463,BOS,Boston Celtics,Amir Johnson,29.0,14.0,9.0,10.1,1.1,2.1,0.5,0.1,0.2,0.33,1.0,1.9,0.52,0.52,0.4,0.6,0.62,1.2,0.9,2.1,0.2,0.3,0.4,0.4,1.7,2.6
2017.0,2.0,322,BOS,Boston Celtics,Avery Bradley,26.0,18.0,18.0,35.8,6.7,15.1,0.44,2.2,6.3,0.35,4.4,8.8,0.51,0.52,1.2,1.5,0.78,1.0,2.9,3.9,2.3,1.3,0.2,1.7,2.2,16.7
2017.0,2.0,1103,BOS,Boston Celtics,Gerald Green,31.0,13.0,7.0,14.8,2.6,5.5,0.47,1.6,3.5,0.47,1.0,2.1,0.48,0.62,0.6,0.7,0.89,0.2,1.4,1.5,0.7,0.2,0.1,0.5,1.6,7.5
2017.0,2.0,2846,BOS,Boston Celtics,Isaiah Thomas,27.0,15.0,15.0,34.7,7.4,17.4,0.42,2.4,7.2,0.33,5.0,10.2,0.49,0.49,6.1,7.4,0.82,0.3,2.8,3.1,6.7,0.9,0.1,3.3,2.3,23.3
2017.0,2.0,641,BOS,Boston Celtics,Jae Crowder,26.0,18.0,18.0,33.1,4.8,11.1,0.44,1.7,4.9,0.35,3.1,6.2,0.5,0.51,2.2,2.7,0.83,1.1,5.3,6.4,2.7,1.1,0.3,0.7,2.9,13.6
2017.0,2.0,3255,BOS,Boston Celtics,James Young,21.0,10.0,0.0,3.9,0.5,1.5,0.33,0.5,1.4,0.36,0.0,0.1,0.0,0.5,0.0,0.0,,0.1,0.6,0.7,0.3,0.0,0.0,0.1,0.2,1.5
2017.0,2.0,382,BOS,Boston Celtics,Jaylen Brown,20.0,17.0,0.0,12.6,2.0,4.2,0.48,0.3,1.4,0.22,1.7,2.8,0.6,0.51,0.7,1.1,0.67,0.7,1.4,2.1,0.8,0.4,0.1,0.8,1.5,5.0
2017.0,2.0,1454,BOS,Boston Celtics,Jonas Jerebko,29.0,12.0,0.0,10.7,1.3,2.6,0.48,0.4,1.3,0.33,0.8,1.3,0.62,0.56,0.7,0.7,1.0,0.6,1.8,2.4,1.0,0.4,0.3,0.5,1.1,3.6
2017.0,2.0,1978,BOS,Boston Celtics,Jordan Mickey,22.0,2.0,0.0,9.0,1.0,2.5,0.4,0.0,0.0,,1.0,2.5,0.4,0.4,0.0,0.0,,0.0,2.5,2.5,0.0,0.0,0.5,0.5,1.5,2.0
2017.0,2.0,2207,BOS,Boston Celtics,Kelly Olynyk,25.0,18.0,2.0,19.2,3.6,6.9,0.51,0.8,2.6,0.32,2.7,4.3,0.63,0.57,1.2,1.7,0.73,0.8,2.4,3.2,1.9,0.7,0.8,1.2,2.6,9.2
2017.0,2.0,2664,BOS,Boston Celtics,Marcus Smart,22.0,18.0,3.0,29.9,2.6,7.4,0.35,1.6,4.1,0.4,1.0,3.4,0.3,0.46,1.8,2.8,0.64,1.3,3.4,4.7,4.7,1.5,0.9,2.1,2.8,8.6
2017.0,2.0,2521,BOS,Boston Celtics,Terry Rozier,22.0,17.0,0.0,16.3,1.9,4.8,0.4,0.8,2.2,0.37,1.1,2.6,0.43,0.49,0.9,1.2,0.8,0.7,1.9,2.6,1.9,0.6,0.2,0.6,1.2,5.6
2017.0,2.0,3268,BOS,Boston Celtics,Tyler Zeller,27.0,11.0,0.0,7.1,1.2,2.3,0.52,0.0,0.0,,1.2,2.3,0.52,0.52,0.5,0.7,0.75,0.7,1.0,1.7,0.7,0.0,0.2,0.4,0.6,2.9
