Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2017.0,6.0,967,CLE,Cleveland Cavaliers,Channing Frye,33.0,12.0,0.0,154.0,7.2,14.0,0.52,4.7,9.1,0.51,2.6,4.9,0.52,1.4,1.6,0.86,0.0,5.1,5.1,3.0,0.7,0.9,0.5,2.6,20.6
2017.0,6.0,1532,CLE,Cleveland Cavaliers,Dahntay Jones,36.0,10.0,0.0,33.0,5.5,10.9,0.5,1.1,2.2,0.5,4.4,8.7,0.5,5.5,5.5,1.0,1.1,6.5,7.6,1.1,0.0,1.1,1.1,7.6,17.5
2017.0,6.0,3132,CLE,Cleveland Cavaliers,Deron Williams,32.0,18.0,0.0,262.0,3.8,8.8,0.44,1.6,4.3,0.39,2.2,4.5,0.48,1.4,1.5,0.91,0.4,2.7,3.2,5.2,1.4,0.1,2.3,4.0,10.7
2017.0,6.0,3133,CLE,Cleveland Cavaliers,Derrick Williams,25.0,8.0,0.0,38.0,7.6,14.2,0.53,2.8,4.7,0.6,4.7,9.5,0.5,1.9,1.9,1.0,0.9,1.9,2.8,3.8,0.0,0.9,2.8,0.0,19.9
2017.0,6.0,2620,CLE,Cleveland Cavaliers,Iman Shumpert,26.0,17.0,0.0,275.0,3.3,7.9,0.42,1.3,3.4,0.38,2.0,4.5,0.44,1.8,2.2,0.82,0.8,5.4,6.2,2.1,1.3,0.4,0.8,4.2,9.7
2017.0,6.0,2679,CLE,Cleveland Cavaliers,J.R. Smith,31.0,18.0,18.0,487.0,3.7,7.3,0.5,3.0,5.9,0.5,0.7,1.4,0.53,0.4,0.8,0.46,0.4,2.7,3.1,1.0,1.0,0.4,0.9,3.0,10.7
2017.0,6.0,1547,CLE,Cleveland Cavaliers,James Jones,36.0,8.0,0.0,30.0,1.2,6.0,0.2,0.0,3.6,0.0,1.2,2.4,0.5,0.0,0.0,,1.2,3.6,4.8,0.0,0.0,0.0,2.4,3.6,2.4
2017.0,6.0,1779,CLE,Cleveland Cavaliers,Kevin Love,28.0,18.0,18.0,578.0,5.9,13.6,0.44,3.1,6.9,0.45,2.8,6.7,0.42,3.9,4.7,0.84,2.2,9.7,11.9,1.9,1.3,1.0,1.9,2.9,18.9
2017.0,6.0,1651,CLE,Cleveland Cavaliers,Kyle Korver,35.0,18.0,0.0,326.0,3.8,8.8,0.42,3.0,7.6,0.39,0.8,1.2,0.64,1.1,1.1,1.0,0.2,3.1,3.3,1.4,0.8,0.6,0.8,2.4,11.6
2017.0,6.0,1386,CLE,Cleveland Cavaliers,Kyrie Irving,24.0,18.0,18.0,653.0,9.5,20.4,0.47,2.4,6.5,0.37,7.1,13.9,0.51,4.2,4.6,0.9,0.7,2.1,2.8,5.2,1.3,0.4,2.6,2.1,25.7
2017.0,6.0,1428,CLE,Cleveland Cavaliers,LeBron James,32.0,18.0,18.0,744.0,10.5,18.6,0.56,2.1,5.2,0.41,8.4,13.4,0.62,5.5,7.8,0.7,0.9,7.0,7.9,6.8,1.7,1.1,3.5,2.1,28.6
2017.0,6.0,1444,CLE,Cleveland Cavaliers,Richard Jefferson,36.0,14.0,0.0,179.0,3.2,7.6,0.42,1.0,3.8,0.26,2.2,3.8,0.58,3.6,5.6,0.64,2.0,3.0,5.0,1.4,0.4,0.6,1.6,6.0,11.1
2017.0,6.0,2876,CLE,Cleveland Cavaliers,Tristan Thompson,25.0,18.0,18.0,562.0,3.5,5.9,0.59,0.0,0.0,,3.5,5.9,0.59,2.6,3.8,0.67,4.4,5.2,9.6,1.7,0.6,0.8,1.3,2.3,9.5
