Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2019.0,27.0,0,SAS,San Antonio Spurs,Bryn Forbes,25.0,7.0,7.0,212.0,27.0,56.0,0.48,15.0,31.0,0.48,12.0,25.0,0.48,0.62,6.0,9.0,0.67,1.0,24.0,25.0,7.0,1.0,1.0,3.0,14.0,75.0
,,0,,,Chimezie Metu,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.0,27.0,0,SAS,San Antonio Spurs,Dante Cunningham,31.0,5.0,0.0,13.0,2.0,3.0,0.67,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,,2.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0
2019.0,27.0,0,SAS,San Antonio Spurs,Davis Bertans,26.0,5.0,0.0,79.0,5.0,15.0,0.33,3.0,11.0,0.27,2.0,4.0,0.5,0.43,3.0,5.0,0.6,0.0,8.0,8.0,5.0,0.0,1.0,1.0,10.0,16.0
2019.0,27.0,0,SAS,San Antonio Spurs,DeMar DeRozan,29.0,7.0,7.0,251.0,58.0,119.0,0.49,0.0,1.0,0.0,58.0,118.0,0.49,0.49,38.0,44.0,0.86,10.0,37.0,47.0,32.0,8.0,1.0,12.0,16.0,154.0
2019.0,27.0,0,SAS,San Antonio Spurs,Derrick White,24.0,7.0,7.0,191.0,41.0,75.0,0.55,5.0,17.0,0.29,36.0,58.0,0.62,0.58,19.0,26.0,0.73,1.0,20.0,21.0,21.0,5.0,5.0,15.0,17.0,106.0
2019.0,27.0,0,SAS,San Antonio Spurs,Donatas Motiejunas,28.0,5.0,0.0,19.0,6.0,10.0,0.6,0.0,1.0,0.0,6.0,9.0,0.67,0.6,1.0,2.0,0.5,3.0,4.0,7.0,2.0,0.0,0.0,0.0,1.0,13.0
,,0,,,Drew Eubanks,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.0,27.0,0,SAS,San Antonio Spurs,Jakob Poeltl,23.0,7.0,7.0,177.0,23.0,36.0,0.64,0.0,1.0,0.0,23.0,35.0,0.66,0.64,5.0,9.0,0.56,25.0,29.0,54.0,12.0,2.0,5.0,3.0,26.0,51.0
2019.0,27.0,0,SAS,San Antonio Spurs,LaMarcus Aldridge,33.0,7.0,7.0,244.0,55.0,121.0,0.46,3.0,11.0,0.27,52.0,110.0,0.47,0.47,27.0,33.0,0.82,19.0,48.0,67.0,19.0,5.0,7.0,7.0,21.0,140.0
2019.0,27.0,0,SAS,San Antonio Spurs,Lonnie Walker,20.0,6.0,0.0,21.0,3.0,8.0,0.38,0.0,1.0,0.0,3.0,7.0,0.43,0.38,0.0,0.0,,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,6.0
2019.0,27.0,0,SAS,San Antonio Spurs,Marco Belinelli,32.0,7.0,0.0,131.0,14.0,38.0,0.37,8.0,21.0,0.38,6.0,17.0,0.35,0.47,5.0,6.0,0.83,0.0,13.0,13.0,8.0,0.0,2.0,2.0,7.0,41.0
2019.0,27.0,0,SAS,San Antonio Spurs,Patty Mills,30.0,7.0,0.0,152.0,14.0,43.0,0.33,3.0,22.0,0.14,11.0,21.0,0.52,0.36,6.0,10.0,0.6,1.0,14.0,15.0,25.0,7.0,1.0,3.0,9.0,37.0
,,0,,,Pau Gasol,,,,,,,,,,,,,,,,,,,,,,,,,,
2019.0,27.0,0,SAS,San Antonio Spurs,Quincy Pondexter,30.0,5.0,0.0,12.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0
2019.0,27.0,0,SAS,San Antonio Spurs,Rudy Gay,32.0,7.0,0.0,179.0,28.0,70.0,0.4,8.0,19.0,0.42,20.0,51.0,0.39,0.46,14.0,17.0,0.82,13.0,37.0,50.0,12.0,3.0,5.0,10.0,13.0,78.0
