SEASON,TEAM ID,TEAM,PLAYER,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2020,2,BOS,Jayson Tatum,21,17,690,20.7,0.56,0.38,0.37,3.7,23.1,13.8,21.3,1.2,2.9,11.0,28.2,1.1,1.3,2.3,0.16,4.5,1.8,6.3,1.4
2020,2,BOS,Jaylen Brown,23,17,672,17.1,0.59,0.42,0.22,4.2,16.5,10.6,9.9,1.9,1.3,11.5,23.7,0.7,1.1,1.8,0.13,2.2,1.1,3.3,0.9
2020,2,BOS,Marcus Smart,25,17,648,11.6,0.55,0.62,0.28,1.8,13.2,7.7,18.0,1.6,1.2,16.8,18.4,0.2,1.0,1.2,0.09,-0.8,1.3,0.4,0.4
2020,2,BOS,Kemba Walker,29,17,628,16.9,0.57,0.49,0.32,1.1,10.8,6.2,22.5,1.2,1.1,9.9,23.0,1.1,0.8,1.9,0.15,2.6,0.4,3.0,0.8
2020,2,BOS,Daniel Theis,27,17,482,13.4,0.58,0.22,0.28,7.8,19.9,14.1,7.8,0.6,4.3,10.2,13.6,0.7,0.8,1.5,0.15,-1.0,1.5,0.5,0.3
2020,2,BOS,Brad Wanamaker,30,17,273,11.1,0.63,0.45,0.27,0.9,12.7,7.0,16.1,2.2,1.5,21.2,13.9,0.2,0.5,0.6,0.11,-1.7,2.9,1.2,0.2
2020,2,BOS,Grant Williams,21,17,170,10.6,0.77,0.65,0.38,4.8,12.1,8.6,5.0,0.6,2.9,11.6,9.0,0.4,0.2,0.6,0.16,-0.6,2.7,2.1,0.2
2020,2,BOS,Gordon Hayward,29,5,157,11.0,0.5,0.48,0.16,2.2,11.7,7.2,13.5,2.2,1.3,11.6,17.2,0.0,0.3,0.2,0.08,-0.5,0.3,-0.1,0.1
2020,2,BOS,Robert Williams,22,13,149,19.8,0.71,0.03,0.19,17.3,21.0,19.2,10.6,1.0,4.0,17.2,12.2,0.4,0.3,0.7,0.22,1.7,1.6,3.3,0.2
2020,2,BOS,Semi Ojeleye,25,13,122,1.6,0.36,0.82,0.07,1.9,8.8,5.5,1.1,1.2,0.0,3.3,10.9,-0.2,0.1,0.0,-0.01,-4.0,-0.1,-4.1,-0.1
2020,2,BOS,Enes Kanter,27,11,102,18.9,0.54,0.02,0.24,21.8,25.4,23.7,12.0,0.0,0.0,7.9,22.0,0.2,0.1,0.4,0.18,0.7,-1.9,-1.2,0.0
2020,2,BOS,Romeo Langford,20,7,46,2.7,0.46,0.2,0.2,0.0,7.0,3.7,6.2,1.1,0.0,15.5,12.5,-0.1,0.0,0.0,-0.01,-4.8,0.6,-4.2,0.0
2020,2,BOS,Javonte Green,26,1,6,14.1,0.75,1.0,0.0,0.0,18.0,9.4,0.0,0.0,0.0,0.0,14.9,0.0,0.0,0.0,0.18,2.5,0.2,2.7,0.0
2020,2,BOS,Carsen Edwards,21,1,3,3.8,,,,0.0,36.0,18.7,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.08,-2.9,3.0,0.1,0.0
2020,2,BOS,Tacko Fall,24,2,3,39.8,0.8,0.0,2.0,0.0,36.0,18.7,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.36,11.4,1.3,12.7,0.0
2020,2,BOS,Tremont Waters,22,1,2,0.6,0.0,1.0,0.0,0.0,54.0,28.1,63.3,0.0,0.0,0.0,22.3,0.0,0.0,0.0,-0.22,-8.7,0.4,-8.3,0.0
2020,2,BOS,Vincent Poirier,26,1,2,44.6,,,,0.0,0.0,0.0,63.3,24.9,0.0,,0.0,0.0,0.0,0.0,0.56,17.4,33.0,50.4,0.0
