Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1981,20,495,NYK,New York Knicks,Bill Cartwright,23,82,,2925,7.6,13.8,0.55,0.0,0.0,0.0,7.6,13.7,0.55,5.0,6.4,0.79,2.0,5.6,7.5,1.4,0.6,1.0,2.5,3.2,20.3
1981,20,2533,NYK,New York Knicks,Campy Russell,29,79,,2865,6.4,13.8,0.46,0.1,0.3,0.31,6.3,13.4,0.47,3.4,4.3,0.78,1.4,3.1,4.4,3.2,1.2,0.1,2.7,3.1,16.2
1981,20,2567,NYK,New York Knicks,DeWayne Scales,22,44,,484,7.0,16.7,0.42,0.1,0.4,0.17,6.9,16.3,0.42,1.9,2.9,0.67,3.5,6.3,9.8,0.7,0.9,0.3,2.2,4.0,16.0
1981,20,729,NYK,New York Knicks,Larry Demic,23,76,,964,4.8,9.5,0.5,0.0,0.1,0.0,4.8,9.4,0.51,2.2,3.4,0.63,4.3,4.8,9.1,1.0,0.4,0.5,2.2,5.7,11.7
1981,20,3058,NYK,New York Knicks,Marvin Webster,28,82,,1708,3.4,7.2,0.47,0.0,0.1,0.25,3.3,7.1,0.47,2.2,3.4,0.64,3.4,6.4,9.8,1.5,0.6,2.0,2.2,3.9,8.9
1981,20,2443,NYK,New York Knicks,Micheal Ray Richardson,25,79,,3175,5.9,12.7,0.47,0.3,1.2,0.22,5.7,11.5,0.49,2.5,3.8,0.66,2.0,4.2,6.2,7.1,2.6,0.4,3.4,2.9,14.7
1981,20,1045,NYK,New York Knicks,Mike Glenn,25,82,,1506,6.8,12.2,0.56,0.1,0.3,0.36,6.7,12.0,0.56,2.3,2.6,0.89,0.6,1.5,2.1,2.6,1.7,0.1,1.5,3.0,16.1
1981,20,3228,NYK,New York Knicks,Mike Woodson,22,81,,949,6.3,14.1,0.44,0.0,0.2,0.2,6.2,14.0,0.45,1.9,2.4,0.77,1.3,2.4,3.7,2.8,1.4,0.5,2.0,3.6,14.4
1981,20,3168,NYK,New York Knicks,Ray Williams,26,79,,2742,8.1,17.5,0.46,0.2,0.9,0.24,7.9,16.6,0.47,4.1,5.0,0.82,1.6,2.6,4.2,5.7,2.4,0.5,3.1,3.5,20.5
1981,20,490,NYK,New York Knicks,Reggie Carter,23,60,,536,4.0,12.0,0.33,0.0,0.2,0.0,4.0,11.8,0.34,3.4,4.6,0.74,2.0,2.6,4.6,5.1,1.5,0.1,2.6,4.6,11.4
1981,20,3180,NYK,New York Knicks,Sly Williams,23,67,,1976,6.4,12.9,0.49,0.0,0.1,0.25,6.3,12.8,0.5,3.4,4.9,0.69,2.9,4.7,7.6,3.3,2.1,0.3,2.6,3.6,16.1
