Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1982,9,DET,Detroit Pistons,Kelly Tripucka,22,82,82,3077,7.4,15.0,0.5,0.1,0.3,0.23,7.4,14.7,0.5,5.8,7.3,0.8,2.6,2.6,5.2,3.2,1.0,0.2,3.3,2.8,20.7
1982,9,DET,Detroit Pistons,Kent Benson,27,75,72,2467,5.9,11.7,0.5,0.0,0.2,0.27,5.9,11.5,0.51,1.9,2.3,0.8,3.2,6.3,9.5,2.3,1.0,1.4,2.3,3.1,13.7
1982,9,DET,Detroit Pistons,Isiah Thomas,20,72,72,2433,6.7,15.8,0.42,0.3,0.9,0.29,6.5,14.9,0.43,4.5,6.3,0.7,0.8,2.2,3.1,8.4,2.2,0.3,4.4,3.7,18.1
1982,9,DET,Detroit Pistons,John Long,25,69,66,2211,10.4,21.1,0.49,0.0,0.2,0.13,10.3,20.8,0.5,3.9,4.5,0.86,1.5,2.6,4.2,2.4,1.1,0.4,2.7,2.8,24.7
1982,9,DET,Detroit Pistons,Terry Tyler,25,82,0,1989,6.1,11.6,0.52,0.0,0.1,0.25,6.1,11.6,0.52,2.6,3.5,0.74,2.8,6.1,8.9,2.3,1.4,2.9,2.2,3.3,14.8
1982,9,DET,Detroit Pistons,Ron Lee,29,81,7,1467,2.2,6.0,0.36,0.4,1.4,0.3,1.7,4.6,0.37,2.1,2.9,0.71,0.9,2.9,3.8,7.7,2.8,0.5,3.0,5.4,6.8
1982,9,DET,Detroit Pistons,Vinnie Johnson,25,67,15,1191,6.3,12.8,0.49,0.1,0.3,0.27,6.2,12.4,0.5,3.0,3.9,0.75,2.3,2.1,4.4,4.8,1.5,0.7,2.8,2.8,15.6
1982,9,DET,Detroit Pistons,Phil Hubbard,25,52,38,1104,6.8,13.4,0.5,0.0,0.1,0.0,6.8,13.3,0.51,3.5,5.3,0.65,3.3,5.6,8.9,2.2,1.2,0.5,3.2,5.7,17.0
1982,9,DET,Detroit Pistons,Bill Laimbeer,24,30,30,935,5.6,10.9,0.52,0.0,0.3,0.14,5.6,10.6,0.52,3.5,4.3,0.81,4.2,8.9,13.1,2.1,0.7,1.3,2.3,4.9,14.8
1982,9,DET,Detroit Pistons,Edgar Jones,25,48,19,802,6.4,11.6,0.55,0.0,0.1,0.5,6.3,11.5,0.55,4.0,5.8,0.7,3.1,6.1,9.3,1.8,1.3,4.1,3.0,6.7,16.8
1982,9,DET,Detroit Pistons,Paul Mokeski,25,39,3,523,3.4,7.6,0.44,0.0,0.1,0.0,3.4,7.6,0.44,1.7,2.3,0.76,2.4,6.0,8.4,1.7,0.9,1.6,2.7,7.1,8.5
1982,9,DET,Detroit Pistons,Kenny Carr,26,28,6,444,6.2,13.6,0.46,0.0,0.1,0.0,6.2,13.5,0.46,4.3,6.6,0.65,4.3,6.8,11.1,1.9,0.5,0.5,3.2,5.6,16.8
1982,9,DET,Detroit Pistons,Steve Hayes,26,26,0,412,4.0,8.1,0.5,0.0,0.0,,4.0,8.1,0.5,2.2,3.6,0.61,2.8,5.9,8.7,2.1,0.3,1.6,1.5,4.7,10.2
1982,9,DET,Detroit Pistons,Alan Hardy,24,38,0,310,7.2,15.8,0.46,0.0,0.6,0.0,7.2,15.2,0.47,2.1,3.4,0.62,1.6,2.3,3.9,2.3,1.0,0.5,2.3,3.7,16.5
1982,9,DET,Detroit Pistons,Jeff Judkins,25,30,0,251,4.4,11.6,0.38,0.1,1.4,0.1,4.3,10.2,0.42,2.3,3.7,0.62,2.0,2.9,4.9,2.0,0.9,0.7,1.3,4.7,11.3
1982,9,DET,Detroit Pistons,Greg Kelser,24,11,0,183,6.9,16.9,0.41,0.0,0.6,0.0,6.9,16.3,0.42,5.3,8.1,0.66,2.6,5.1,7.7,2.4,1.0,1.4,4.3,6.3,19.1
1982,9,DET,Detroit Pistons,Glenn Hagan,26,4,0,25,4.3,10.1,0.43,0.0,0.0,,4.3,10.1,0.43,1.4,1.4,1.0,2.9,2.9,5.8,11.5,4.3,0.0,1.4,10.1,10.1
1982,9,DET,Detroit Pistons,Larry Wright,27,1,0,6,0.0,6.0,0.0,0.0,0.0,,0.0,6.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,0.0
