Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1983,1,2513,ATL,Atlanta Hawks,Dan Roundfield,29,77,76,36.5,7.3,15.5,0.47,0.1,0.4,0.18,7.2,15.1,0.48,0.47,4.4,5.8,0.75,3.4,8.1,11.4,2.9,0.8,1.5,3.2,3.1,19.0
1983,1,3119,ATL,Atlanta Hawks,Dominique Wilkins,23,82,82,32.9,7.3,14.9,0.49,0.0,0.1,0.18,7.3,14.7,0.5,0.49,2.8,4.1,0.68,2.8,3.1,5.8,1.6,1.0,0.8,2.2,2.6,17.5
1983,1,1484,ATL,Atlanta Hawks,Eddie Johnson,27,61,57,29.7,6.4,14.1,0.45,0.2,0.7,0.34,6.1,13.4,0.46,0.46,3.0,3.9,0.78,0.4,1.6,2.0,5.2,1.0,0.1,2.6,2.3,16.0
1983,1,1489,ATL,Atlanta Hawks,George Johnson,34,37,0,12.5,0.7,1.5,0.44,0.0,0.0,,0.7,1.5,0.44,0.44,0.4,0.5,0.74,1.2,2.0,3.2,0.5,0.3,1.6,0.5,1.9,1.7
1983,1,690,ATL,Atlanta Hawks,Johnny Davis,27,53,33,27.6,4.9,10.7,0.46,0.1,0.3,0.28,4.8,10.4,0.46,0.46,3.1,3.9,0.8,0.7,1.7,2.4,5.9,0.8,0.1,2.2,1.9,12.9
1983,1,823,ATL,Atlanta Hawks,Keith Edmonson,22,32,2,9.7,1.5,4.3,0.34,0.0,0.1,0.0,1.5,4.3,0.35,0.34,0.5,0.8,0.59,0.6,0.6,1.2,0.7,0.3,0.2,0.6,1.3,3.5
1983,1,1045,ATL,Atlanta Hawks,Mike Glenn,27,73,4,15.4,3.2,6.1,0.52,0.0,0.0,0.0,3.2,6.1,0.52,0.52,1.0,1.2,0.83,0.2,1.0,1.2,1.7,0.4,0.1,0.7,1.8,7.3
1983,1,2698,ATL,Atlanta Hawks,Randy Smith,34,15,0,9.5,1.9,4.4,0.44,0.0,0.1,0.0,1.9,4.3,0.45,0.44,0.9,0.9,0.93,0.1,0.4,0.5,0.9,0.1,0.0,0.6,1.1,4.7
1983,1,396,ATL,Atlanta Hawks,Rickey Brown,24,26,0,11.7,1.9,4.0,0.47,0.0,0.0,0.0,1.9,4.0,0.48,0.47,1.0,1.5,0.62,1.3,2.0,3.4,0.3,0.2,0.2,0.8,1.8,4.7
1983,1,2723,ATL,Atlanta Hawks,Rory Sparrow,24,49,49,31.6,5.4,10.4,0.52,0.1,0.3,0.2,5.3,10.1,0.52,0.52,1.7,2.3,0.74,0.8,2.1,2.9,4.9,1.4,0.0,2.6,3.3,12.6
1983,1,1802,ATL,Atlanta Hawks,Rudy Macklin,24,73,20,16.0,2.3,4.9,0.47,0.0,0.1,0.0,2.3,4.9,0.48,0.47,1.4,1.8,0.77,1.2,1.4,2.6,1.0,0.6,0.1,1.2,2.6,6.0
1983,1,2277,ATL,Atlanta Hawks,Sam Pellom,31,2,0,4.5,1.0,3.0,0.33,0.0,0.0,,1.0,3.0,0.33,0.33,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2.0
1983,1,1224,ATL,Atlanta Hawks,Scott Hastings,22,10,0,4.2,0.5,1.6,0.31,0.0,0.2,0.0,0.5,1.4,0.36,0.31,0.4,0.6,0.67,0.5,0.5,1.0,0.2,0.1,0.1,0.3,0.3,1.4
1983,1,1227,ATL,Atlanta Hawks,Steve Hawes,32,46,3,18.7,2.0,5.3,0.37,0.0,0.3,0.14,1.9,5.0,0.39,0.38,1.0,1.3,0.74,1.2,3.8,5.0,1.3,0.6,0.2,1.6,2.4,5.0
1983,1,1952,ATL,Atlanta Hawks,Tom McMillen,30,61,4,22.4,3.2,7.0,0.47,0.0,0.0,0.0,3.2,6.9,0.47,0.47,1.8,2.2,0.81,0.9,2.6,3.6,1.2,0.3,0.4,1.3,2.3,8.3
1983,1,2501,ATL,Atlanta Hawks,Tree Rollins,27,80,80,30.9,3.3,6.4,0.51,0.0,0.0,0.0,3.3,6.4,0.51,0.51,1.2,1.7,0.73,2.6,6.7,9.3,0.9,0.6,4.3,1.2,3.7,7.8
1983,1,1873,ATL,Atlanta Hawks,Wes Matthews,23,64,0,18.5,2.7,6.6,0.4,0.2,0.8,0.29,2.5,5.9,0.42,0.42,1.3,1.8,0.77,0.4,1.0,1.4,3.9,0.9,0.1,1.9,2.0,6.9
