SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1983,2,BOS,Larry Bird,26,79,79,2982,9.0,17.9,0.5,0.3,0.9,0.29,8.8,16.9,0.52,4.2,5.0,0.84,2.3,8.2,10.5,5.5,1.8,0.9,2.9,2.4,22.5
1983,2,BOS,Robert Parish,29,78,76,2459,9.1,16.5,0.55,0.0,0.0,0.0,9.1,16.5,0.55,4.0,5.7,0.7,3.8,8.3,12.1,2.1,1.2,2.2,2.7,3.3,22.1
1983,2,BOS,Kevin McHale,25,82,13,2345,7.4,13.7,0.54,0.0,0.0,0.0,7.4,13.7,0.54,3.0,4.1,0.72,3.3,5.2,8.5,1.6,0.5,2.9,2.4,3.7,17.8
1983,2,BOS,Cedric Maxwell,27,79,71,2252,5.3,10.6,0.5,0.0,0.0,0.0,5.3,10.6,0.5,4.5,5.5,0.81,3.0,3.8,6.7,3.0,1.0,0.6,2.6,3.2,15.1
1983,2,BOS,Danny Ainge,23,80,76,2048,6.3,12.7,0.5,0.1,0.5,0.17,6.2,12.1,0.51,1.3,1.7,0.74,1.5,2.3,3.8,4.4,1.9,0.1,1.7,4.6,13.9
1983,2,BOS,Tiny Archibald,34,66,19,1811,4.7,11.0,0.42,0.1,0.5,0.21,4.6,10.5,0.44,4.4,5.9,0.74,0.5,1.3,1.8,8.1,0.8,0.1,3.2,2.2,13.8
1983,2,BOS,Quinn Buckner,28,72,56,1565,5.7,12.9,0.44,0.0,0.1,0.0,5.7,12.8,0.44,1.7,2.7,0.63,1.4,2.9,4.3,6.3,2.5,0.1,3.7,4.5,13.1
1983,2,BOS,Gerald Henderson,27,82,9,1551,6.6,14.3,0.46,0.1,0.4,0.19,6.6,14.0,0.47,2.2,3.1,0.72,1.3,1.6,2.9,4.5,2.2,0.1,3.0,4.4,15.6
1983,2,BOS,M.L. Carr,32,77,0,883,5.5,12.8,0.43,0.1,0.8,0.16,5.4,12.1,0.45,2.4,3.3,0.74,2.1,3.5,5.6,2.9,2.0,0.4,3.2,5.7,13.6
1983,2,BOS,Rick Robey,27,59,6,855,4.2,9.0,0.47,0.0,0.0,,4.2,9.0,0.47,1.9,3.3,0.58,3.3,5.9,9.2,2.7,0.5,0.3,3.0,5.5,10.3
1983,2,BOS,Charles Bradley,23,51,5,532,4.7,11.9,0.39,0.0,0.2,0.0,4.7,11.7,0.4,3.1,6.1,0.51,2.0,3.2,5.3,1.9,2.2,1.8,2.8,5.7,12.5
1983,2,BOS,Scott Wedman,30,40,0,503,6.7,14.7,0.46,0.1,0.7,0.1,6.7,14.0,0.48,1.4,2.1,0.67,2.1,3.2,5.3,2.2,1.4,0.4,2.3,5.9,15.0
1983,2,BOS,Darren Tillis,22,15,0,44,5.7,18.8,0.3,0.0,0.8,0.0,5.7,18.0,0.32,1.6,4.9,0.33,3.3,4.1,7.4,1.6,0.0,1.6,3.3,6.5,13.1
