SEASON,TEAM ID,TEAM,PLAYER,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1986,2,BOS,Larry Bird,29,82,3113,25.6,0.58,0.12,0.31,7.2,20.4,14.2,26.3,2.5,0.9,12.7,27.6,9.6,6.2,15.8,0.24,6.6,2.1,8.7,8.4
1986,2,BOS,Dennis Johnson,31,78,2732,14.7,0.51,0.04,0.28,3.0,7.5,5.4,22.0,1.9,0.7,12.7,20.5,3.0,3.7,6.7,0.12,0.0,0.5,0.5,1.8
1986,2,BOS,Robert Parish,32,81,2567,18.8,0.59,0.0,0.35,11.3,21.1,16.5,7.7,1.2,2.5,14.4,20.8,4.4,4.8,9.2,0.17,1.5,0.6,2.1,2.6
1986,2,BOS,Danny Ainge,26,80,2407,13.6,0.56,0.1,0.19,2.3,8.1,5.4,21.3,1.9,0.2,14.5,15.2,3.6,3.2,6.8,0.14,-0.1,1.0,0.9,1.8
1986,2,BOS,Kevin McHale,28,68,2397,21.6,0.62,0.0,0.43,8.4,16.4,12.7,10.8,0.6,3.1,11.4,22.5,7.2,3.8,11.0,0.22,3.7,0.8,4.4,3.9
1986,2,BOS,Jerry Sichting,29,82,1596,11.9,0.61,0.04,0.16,2.0,5.0,3.6,14.9,1.5,0.0,14.2,13.2,2.4,1.8,4.2,0.13,-0.7,0.4,-0.2,0.7
1986,2,BOS,Bill Walton,33,80,1546,17.0,0.61,0.0,0.49,10.4,27.3,19.4,13.6,1.2,3.8,23.2,17.3,1.6,3.4,5.0,0.16,0.1,2.9,3.0,2.0
1986,2,BOS,Scott Wedman,33,79,1402,12.5,0.5,0.08,0.11,5.5,9.3,7.5,8.1,1.3,0.9,7.8,20.2,0.9,1.8,2.7,0.09,-1.0,-0.4,-1.4,0.2
1986,2,BOS,Rick Carlisle,26,77,760,7.9,0.5,0.05,0.12,3.4,7.5,5.6,16.8,1.2,0.3,20.1,13.5,0.0,0.9,0.9,0.06,-3.2,0.2,-3.0,-0.2
1986,2,BOS,Greg Kite,24,64,464,4.6,0.38,0.01,0.43,8.9,20.7,15.2,4.2,0.3,3.3,22.8,12.4,-0.7,0.8,0.1,0.01,-6.3,0.3,-6.0,-0.5
1986,2,BOS,Sam Vincent,22,57,432,10.0,0.48,0.02,0.43,3.0,8.9,6.1,20.0,1.9,0.5,20.3,23.0,-0.3,0.6,0.3,0.04,-4.1,-0.7,-4.8,-0.3
1986,2,BOS,David Thirdkill,25,49,385,12.1,0.55,0.01,0.8,8.3,11.5,10.0,4.9,1.4,0.4,11.3,17.9,0.5,0.5,1.0,0.13,-2.4,-0.8,-3.2,-0.1
1986,2,BOS,Sly Williams,28,6,54,-0.6,0.32,0.19,0.57,15.3,15.3,15.3,4.4,0.9,1.0,21.0,25.3,-0.2,0.1,-0.2,-0.14,-10.5,-1.7,-12.3,-0.1
