Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1986,23,PHI,Philadelphia 76Ers,Maurice Cheeks,29.0,82,82.0,3270,490,913,0.54,4,17,0.24,486,896,0.54,0.54,282,335,0.84,55,180,235,753,207,27,238,160,1266,522
1986,23,PHI,Philadelphia 76Ers,Charles Barkley,22.0,80,80.0,2952,595,1041,0.57,17,75,0.23,578,966,0.6,0.58,396,578,0.68,354,672,1026,312,173,125,350,333,1603,165
1986,23,PHI,Philadelphia 76Ers,Moses Malone,30.0,74,74.0,2706,571,1246,0.46,0,1,0.0,571,1245,0.46,0.46,617,784,0.79,339,533,872,90,67,71,261,194,1759,1823
1986,23,PHI,Philadelphia 76Ers,Julius Erving,35.0,74,74.0,2474,521,1085,0.48,9,32,0.28,512,1053,0.49,0.48,289,368,0.78,169,201,370,248,113,82,214,196,1340,869
1986,23,PHI,Philadelphia 76Ers,Sedale Threatt,24.0,70,27.0,1754,310,684,0.45,1,24,0.04,309,660,0.47,0.45,75,90,0.83,21,100,121,193,93,5,102,157,696,2882
1986,23,PHI,Philadelphia 76Ers,Bobby Jones,34.0,70,42.0,1519,189,338,0.56,0,1,0.0,189,337,0.56,0.56,114,145,0.79,49,120,169,126,48,50,90,159,492,1527
1986,23,PHI,Philadelphia 76Ers,Terry Catledge,22.0,64,7.0,1092,202,431,0.47,0,4,0.0,202,427,0.47,0.47,90,139,0.65,107,165,272,21,31,8,69,127,494,500
1986,23,PHI,Philadelphia 76Ers,Clemon Johnson,29.0,75,2.0,1069,105,223,0.47,0,0,,105,223,0.47,0.47,51,81,0.63,106,149,255,15,23,62,38,129,261,1476
1986,23,PHI,Philadelphia 76Ers,Perry Moss,27.0,60,0.0,852,95,239,0.4,5,25,0.2,90,214,0.42,0.41,54,74,0.73,25,65,90,89,50,12,61,106,249,2063
1986,23,PHI,Philadelphia 76Ers,Bob McAdoo,34.0,29,0.0,609,116,251,0.46,0,0,,116,251,0.46,0.46,62,81,0.76,25,78,103,35,10,18,49,64,294,1890
1986,23,PHI,Philadelphia 76Ers,Leon Wood,23.0,29,1.0,455,57,136,0.42,13,29,0.45,44,107,0.41,0.47,27,34,0.79,9,18,27,75,14,0,7,24,154,3223
1986,23,PHI,Philadelphia 76Ers,Paul Thompson,24.0,23,8.0,432,70,194,0.36,2,12,0.17,68,182,0.37,0.37,37,43,0.86,27,36,63,24,15,17,30,49,179,2874
1986,23,PHI,Philadelphia 76Ers,Greg Stokes,22.0,31,13.0,350,56,119,0.47,0,1,0.0,56,118,0.48,0.47,14,21,0.67,27,30,57,17,14,11,19,56,126,2763
1986,23,PHI,Philadelphia 76Ers,Kenny Green,21.0,21,0.0,232,39,91,0.43,0,0,,39,91,0.43,0.43,14,23,0.61,10,25,35,6,1,2,18,27,92,1109
1986,23,PHI,Philadelphia 76Ers,Andrew Toney,28.0,6,0.0,84,11,36,0.31,0,2,0.0,11,34,0.32,0.31,3,8,0.38,2,3,5,12,2,0,7,8,25,2893
1986,23,PHI,Philadelphia 76Ers,Butch Carter,27.0,4,0.0,36,5,16,0.31,0,0,,5,16,0.31,0.31,5,6,0.83,0,1,1,1,0,0,1,8,15,486
1986,23,PHI,Philadelphia 76Ers,Voise Winters,23.0,4,0.0,17,3,13,0.23,0,1,0.0,3,12,0.25,0.23,0,0,,1,2,3,0,1,0,2,1,6,3211
1986,23,PHI,Philadelphia 76Ers,Michael Young,25.0,2,0.0,2,0,2,0.0,0,0,,0,2,0.0,0.0,0,0,,0,0,0,0,0,0,0,0,0,3258
