SEASON,TEAM ID,TEAM,PLAYER,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1987,5,CHI,Michael Jordan,23,82,3281,29.8,0.56,0.03,0.43,5.6,9.3,7.4,22.2,3.6,2.3,9.1,38.3,11.9,5.0,16.9,0.25,8.4,2.4,10.8,10.6
1987,5,CHI,Charles Oakley,23,82,2980,14.2,0.49,0.03,0.34,11.2,30.1,20.4,14.3,1.4,0.7,19.8,21.3,-1.1,4.6,3.5,0.06,-1.7,-0.3,-2.0,0.0
1987,5,CHI,John Paxson,26,82,2689,12.8,0.55,0.18,0.16,0.9,5.0,2.9,24.5,1.2,0.2,11.0,15.0,4.4,1.6,6.0,0.11,-0.4,-1.0,-1.4,0.4
1987,5,CHI,Dave Corzine,30,82,2287,12.8,0.5,0.01,0.21,9.7,17.3,13.4,12.6,0.8,2.3,14.4,14.6,1.7,2.5,4.2,0.09,-0.6,0.3,-0.4,0.9
1987,5,CHI,Gene Banks,27,63,1822,12.6,0.58,0.01,0.32,7.0,12.3,9.6,13.0,1.4,0.6,17.7,14.8,1.9,1.7,3.6,0.1,-0.9,-0.3,-1.2,0.4
1987,5,CHI,Brad Sellers,24,80,1751,13.4,0.5,0.02,0.28,9.8,14.4,12.1,8.4,1.3,2.3,11.0,18.5,1.4,2.0,3.3,0.09,-1.4,-0.5,-1.9,0.1
1987,5,CHI,Earl Cureton,29,43,1105,10.3,0.48,0.0,0.26,11.4,11.9,11.7,8.6,0.7,1.4,12.7,13.5,0.6,0.9,1.5,0.07,-1.5,-0.7,-2.2,-0.1
1987,5,CHI,Elston Turner,27,70,936,9.4,0.47,0.03,0.12,4.0,10.0,7.0,14.9,1.6,0.3,10.5,13.4,0.4,0.8,1.2,0.06,-2.8,0.2,-2.6,-0.1
1987,5,CHI,Mike Brown,23,62,818,9.7,0.55,0.0,0.36,9.7,20.2,14.8,4.1,1.2,0.5,20.2,15.0,0.1,0.9,1.0,0.06,-4.1,-1.0,-5.1,-0.6
1987,5,CHI,Sedale Threatt,25,40,778,16.2,0.52,0.06,0.24,1.1,6.4,3.7,33.2,2.7,0.7,12.2,18.7,1.3,0.8,2.1,0.13,-0.2,0.6,0.4,0.5
1987,5,CHI,Granville Waiters,26,44,534,6.5,0.44,0.01,0.1,7.9,10.6,9.2,5.3,0.9,3.5,14.2,8.9,0.0,0.6,0.5,0.05,-4.4,1.2,-3.2,-0.2
1987,5,CHI,Steve Colter,24,27,473,9.8,0.41,0.06,0.28,2.1,8.1,5.0,26.5,2.0,0.8,16.7,17.0,-0.3,0.4,0.2,0.02,-2.8,0.1,-2.7,-0.1
1987,5,CHI,Ben Poquette,31,21,167,11.9,0.57,0.02,0.28,6.7,9.7,8.2,5.8,0.9,4.3,8.2,12.3,0.3,0.2,0.4,0.13,-1.9,0.9,-1.0,0.0
1987,5,CHI,Pete Myers,23,29,155,14.0,0.46,0.12,0.83,5.7,6.7,6.2,18.6,4.5,0.8,12.4,22.0,0.1,0.2,0.3,0.09,-1.8,2.7,0.9,0.1
1987,5,CHI,Fred Cofield,25,5,27,4.2,0.18,0.09,0.0,4.1,17.1,10.5,19.0,3.7,0.0,8.3,18.7,-0.1,0.0,-0.1,-0.12,-7.6,-0.1,-7.7,0.0
1987,5,CHI,Perry Young,23,5,20,3.8,0.51,0.0,0.5,0.0,5.8,2.8,0.0,2.5,0.0,17.0,12.4,0.0,0.0,0.0,0.0,-7.9,-0.6,-8.5,0.0
1987,5,CHI,Darren Daye,26,1,7,-5.2,,,,0.0,16.5,8.1,16.8,0.0,0.0,100.0,6.0,0.0,0.0,0.0,-0.12,-10.3,0.7,-9.6,0.0
