Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1989,25,POR,Portland Trail Blazers,Terry Porter,25,81,81,3102,6.3,13.3,0.47,0.9,2.5,0.36,5.4,10.8,0.5,3.2,3.8,0.84,1.0,3.3,4.3,8.9,1.7,0.1,2.9,2.2,16.6,2341
1989,25,POR,Portland Trail Blazers,Clyde Drexler,26,78,78,3064,9.7,19.6,0.5,0.3,1.2,0.26,9.4,18.4,0.51,5.1,6.4,0.8,3.4,3.8,7.2,5.3,2.5,0.6,2.9,3.2,24.9,786
1989,25,POR,Portland Trail Blazers,Jerome Kersey,26,76,76,2716,7.1,15.1,0.47,0.1,0.3,0.29,7.0,14.8,0.47,3.4,4.9,0.69,3.3,5.1,8.3,3.2,1.8,1.1,2.2,3.7,17.6,1599
1989,25,POR,Portland Trail Blazers,Kevin Duckworth,24,79,79,2662,7.5,15.7,0.48,0.0,0.0,0.0,7.5,15.7,0.48,4.4,5.8,0.76,3.3,5.3,8.6,0.8,0.8,0.7,2.7,4.1,19.4,791
1989,25,POR,Portland Trail Blazers,Steve Johnson,31,72,11,1477,7.2,13.8,0.52,0.0,0.0,,7.2,13.8,0.52,3.1,6.0,0.53,3.3,5.4,8.7,2.6,0.5,1.1,3.4,6.2,17.6,1513
1989,25,POR,Portland Trail Blazers,Caldwell Jones,38,72,40,1279,2.2,5.2,0.42,0.0,0.0,0.0,2.2,5.1,0.42,1.4,1.7,0.79,2.5,6.0,8.4,1.7,0.7,2.4,2.3,4.7,5.7,1528
1989,25,POR,Portland Trail Blazers,Richard Anderson,28,72,3,1082,4.8,11.6,0.42,1.6,4.7,0.35,3.2,6.9,0.46,1.1,1.3,0.84,2.1,5.6,7.7,3.3,1.5,0.4,1.8,3.3,12.3,81
1989,25,POR,Portland Trail Blazers,Danny Young,26,48,2,952,4.3,9.5,0.46,0.6,1.9,0.34,3.7,7.6,0.49,1.9,2.4,0.78,0.6,2.2,2.8,4.7,2.1,0.1,1.7,1.9,11.2,3254
1989,25,POR,Portland Trail Blazers,Adrian Branch,25,67,4,811,9.0,19.4,0.46,0.3,1.4,0.23,8.7,18.0,0.48,3.9,5.3,0.72,2.8,3.1,5.9,2.7,2.0,0.1,2.8,4.4,22.1,332
1989,25,POR,Portland Trail Blazers,Mark Bryant,23,56,32,803,5.4,11.1,0.49,0.0,0.0,,5.4,11.1,0.49,1.8,3.1,0.58,2.9,5.1,8.0,1.5,0.9,0.3,1.8,6.5,12.6,409
1989,25,POR,Portland Trail Blazers,Kiki Vandeweghe,30,18,1,432,8.6,18.1,0.48,1.3,3.2,0.42,7.2,14.9,0.49,2.4,2.7,0.88,0.9,2.0,2.9,2.8,0.6,0.3,1.5,3.3,20.9,2954
1989,25,POR,Portland Trail Blazers,Sam Bowie,27,20,0,412,6.0,13.4,0.45,0.4,0.6,0.71,5.6,12.8,0.44,2.4,4.3,0.57,3.1,6.1,9.3,3.1,0.6,2.9,2.9,3.8,14.9,312
1989,25,POR,Portland Trail Blazers,Jerry Sichting,32,25,1,390,4.2,9.6,0.44,0.3,1.1,0.25,4.0,8.5,0.47,0.6,0.7,0.88,0.8,1.8,2.7,5.4,1.4,0.0,2.3,1.6,9.4,2624
1989,25,POR,Portland Trail Blazers,Brook Steppe,29,27,2,244,4.9,11.5,0.42,0.7,1.3,0.56,4.1,10.2,0.41,4.7,5.5,0.86,1.9,2.8,4.7,2.4,1.6,0.1,1.9,4.7,15.2,2747
1989,25,POR,Portland Trail Blazers,Clinton Wheeler,29,20,0,211,3.6,7.7,0.47,0.0,0.2,0.0,3.6,7.5,0.48,1.2,1.7,0.7,2.0,1.2,3.2,5.6,3.2,0.0,3.1,2.9,8.4,3081
1989,25,POR,Portland Trail Blazers,Craig Neal,24,21,0,159,2.5,7.9,0.31,0.5,2.0,0.22,2.0,5.9,0.35,0.2,0.5,0.5,0.7,1.8,2.5,7.2,2.0,0.0,3.2,5.4,5.7,2119
1989,25,POR,Portland Trail Blazers,Rolando Ferreira,24,12,0,34,1.1,19.1,0.06,0.0,0.0,,1.1,19.1,0.06,7.4,8.5,0.88,4.2,9.5,13.8,1.1,0.0,1.1,6.4,7.4,9.5,909
