Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1990.0,27.0,1528,SAS,San Antonio Spurs,Caldwell Jones,39.0,72.0,885.0,7.2,0.52,0.04,0.38,10.0,19.1,14.6,2.9,1.1,1.9,22.2,10.1,0.0,1.3,1.3,0.07,-4.6,0.5,-4.0,-0.5
1990.0,27.0,3064,SAS,San Antonio Spurs,Chris Welp,26.0,13.0,56.0,-1.9,0.31,0.0,0.09,14.5,9.8,12.1,12.2,0.9,0.0,20.1,22.1,-0.2,0.1,-0.1,-0.12,-13.1,-2.9,-16.0,-0.2
1990.0,27.0,2471,SAS,San Antonio Spurs,David Robinson,24.0,82.0,3002.0,26.3,0.6,0.0,0.64,11.7,24.8,18.5,8.7,2.2,6.5,13.3,26.6,7.9,7.2,15.1,0.24,4.0,2.9,6.9,6.8
1990.0,27.0,3204,SAS,San Antonio Spurs,David Wingate,26.0,78.0,1856.0,9.4,0.49,0.03,0.23,3.9,7.9,5.9,15.1,2.3,0.6,19.0,14.9,-0.4,2.3,1.9,0.05,-2.8,1.0,-1.7,0.1
1990.0,27.0,348,SAS,San Antonio Spurs,Frank Brickowski,30.0,78.0,1438.0,13.3,0.58,0.0,0.36,7.2,18.1,12.8,10.3,2.2,1.6,17.2,15.6,1.3,2.5,3.8,0.13,-1.7,1.9,0.2,0.8
1990.0,27.0,1713,SAS,San Antonio Spurs,Jeff Lebo,23.0,4.0,32.0,5.8,0.38,0.0,0.29,7.2,6.9,7.0,11.8,3.0,0.0,11.3,11.5,0.0,0.0,0.0,0.06,-4.9,3.0,-1.9,0.0
1990.0,27.0,2038,SAS,San Antonio Spurs,Johnny Moore,31.0,53.0,516.0,8.1,0.43,0.27,0.21,3.6,7.6,5.7,20.7,3.0,0.4,22.0,14.2,-0.4,0.7,0.3,0.03,-3.8,1.1,-2.7,-0.1
1990.0,27.0,522,SAS,San Antonio Spurs,Maurice Cheeks,33.0,50.0,1766.0,13.9,0.53,0.02,0.3,2.6,7.9,5.3,23.2,2.3,0.2,14.3,14.0,2.3,2.1,4.4,0.12,0.3,1.0,1.3,1.5
1990.0,27.0,3170,SAS,San Antonio Spurs,Reggie Williams,25.0,10.0,68.0,12.1,0.47,0.12,0.14,5.1,8.1,6.6,12.7,0.7,2.7,8.2,29.7,0.0,0.1,0.1,0.04,-4.6,-1.2,-5.9,-0.1
1990.0,27.0,2774,SAS,San Antonio Spurs,Rod Strickland,23.0,31.0,1121.0,15.4,0.5,0.02,0.4,4.9,8.4,6.7,31.5,2.5,0.3,16.3,19.2,1.0,1.5,2.5,0.11,0.7,0.6,1.2,0.9
1990.0,27.0,847,SAS,San Antonio Spurs,Sean Elliott,21.0,81.0,2032.0,12.5,0.55,0.01,0.33,7.2,9.2,8.2,10.7,1.1,0.4,13.1,17.4,2.6,2.0,4.6,0.11,-0.4,-0.7,-1.1,0.4
1990.0,27.0,644,SAS,San Antonio Spurs,Terry Cummings,28.0,81.0,2821.0,19.6,0.53,0.04,0.29,9.3,17.5,13.5,12.9,1.9,1.1,10.5,28.3,4.3,4.4,8.7,0.15,1.8,-0.1,1.7,2.7
1990.0,27.0,251,SAS,San Antonio Spurs,Uwe Blab,27.0,7.0,50.0,3.1,0.55,0.0,0.55,2.3,17.5,10.1,2.7,0.0,0.0,26.8,15.5,-0.1,0.1,0.0,-0.02,-8.1,-1.6,-9.7,-0.1
1990.0,27.0,1879,SAS,San Antonio Spurs,Vernon Maxwell,24.0,49.0,1118.0,10.3,0.49,0.17,0.31,3.6,10.4,7.1,17.7,1.8,0.3,17.0,15.5,0.1,1.3,1.4,0.06,-1.8,0.5,-1.3,0.2
1990.0,27.0,85,SAS,San Antonio Spurs,Willie Anderson,23.0,82.0,2788.0,15.2,0.53,0.02,0.27,4.8,10.1,7.5,19.6,1.9,1.3,14.1,20.9,2.8,3.7,6.5,0.11,0.5,0.9,1.3,2.4
1990.0,27.0,2253,SAS,San Antonio Spurs,Zarko Paspalj,23.0,28.0,181.0,4.3,0.41,0.01,0.28,9.6,9.1,9.3,7.8,0.8,2.4,19.1,25.1,-0.5,0.2,-0.3,-0.07,-8.2,-2.2,-10.4,-0.4
