Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1991,2,BOS,Boston Celtics,Reggie Lewis,25,79,2878,16.2,0.54,0.01,0.28,5.0,10.3,7.9,9.6,1.7,1.7,9.7,22.2,4.5,3.0,7.5,0.12,0.6,0.1,0.7,1.9,1748
1991,2,BOS,Boston Celtics,Brian Shaw,24,79,2772,15.5,0.52,0.03,0.26,4.5,9.8,7.4,28.1,1.8,0.7,17.5,19.3,3.2,2.7,5.9,0.1,1.0,0.1,1.1,2.2,2608
1991,2,BOS,Boston Celtics,Kevin Gamble,25,82,2706,16.3,0.62,0.01,0.24,3.8,6.9,5.4,13.0,1.8,0.7,12.5,18.4,6.0,2.3,8.3,0.15,0.9,0.3,1.2,2.2,985
1991,2,BOS,Boston Celtics,Robert Parish,37,81,2441,20.6,0.64,0.0,0.38,13.4,24.4,19.3,3.7,1.3,2.4,13.9,19.0,6.1,3.9,10.0,0.2,2.4,-0.3,2.2,2.6,2243
1991,2,BOS,Boston Celtics,Larry Bird,34,60,2277,19.7,0.53,0.2,0.18,2.8,20.4,12.3,25.9,2.3,1.5,14.6,23.7,3.0,3.6,6.6,0.14,2.9,1.7,4.6,3.8,246
1991,2,BOS,Boston Celtics,Kevin McHale,33,68,2067,21.2,0.61,0.04,0.3,8.4,16.5,12.8,8.8,0.6,4.0,11.9,23.9,5.3,2.6,7.9,0.18,2.6,0.5,3.1,2.7,1936
1991,2,BOS,Boston Celtics,Dee Brown,22,82,1945,13.2,0.52,0.06,0.26,2.5,7.4,5.2,22.5,2.1,0.4,16.7,17.7,1.8,1.8,3.5,0.09,-0.9,0.0,-0.9,0.5,375
1991,2,BOS,Boston Celtics,Ed Pinckney,27,70,1165,16.6,0.62,0.0,0.48,16.0,16.3,16.1,4.7,2.6,2.1,13.3,12.2,2.9,1.8,4.7,0.2,1.0,1.1,2.1,1.2,2308
1991,2,BOS,Boston Celtics,Joe Kleine,29,72,850,9.9,0.52,0.01,0.32,10.1,20.7,15.8,3.0,0.9,0.9,17.6,14.9,0.2,1.0,1.2,0.07,-3.2,-1.1,-4.3,-0.5,1632
1991,2,BOS,Boston Celtics,Michael Smith,25,47,389,14.3,0.51,0.12,0.14,6.5,9.2,7.9,16.1,0.8,0.3,14.9,26.9,0.1,0.2,0.3,0.04,-0.7,-3.0,-3.7,-0.2,2693
1991,2,BOS,Boston Celtics,Stojko Vrankovic,27,31,166,8.8,0.48,0.0,0.35,10.9,22.1,16.9,3.1,0.3,10.0,28.6,21.3,-0.4,0.3,-0.1,-0.03,-9.5,1.9,-7.6,-0.2,2982
1991,2,BOS,Boston Celtics,Dave Popson,26,19,64,11.6,0.48,0.0,0.31,13.2,11.1,12.1,4.3,0.8,1.8,14.2,27.9,0.0,0.1,0.0,0.04,-5.6,-3.3,-8.8,-0.1,2334
1991,2,BOS,Boston Celtics,A.J. Wynder,26,6,39,7.6,0.39,0.08,0.67,3.1,5.2,4.2,24.0,1.3,0.0,20.5,21.1,-0.1,0.0,0.0,-0.05,-2.6,-2.7,-5.3,0.0,3250
1991,2,BOS,Boston Celtics,Charles Smith,23,5,30,6.3,0.49,0.0,0.71,0.0,6.8,3.7,24.0,1.6,0.0,24.6,17.1,0.0,0.0,0.0,0.01,-7.3,-1.5,-8.8,-0.1,2668
1991,2,BOS,Boston Celtics,Derek Smith,29,2,16,13.7,0.43,0.25,1.0,0.0,0.0,0.0,35.9,3.0,3.6,14.8,17.8,0.0,0.0,0.0,0.1,-1.1,3.1,2.1,0.0,2674
