Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1991,30,862,WSB,Washington Bullets,A.J. English,23,70,12,20.6,3.6,8.2,0.44,0.0,0.4,0.1,3.5,7.7,0.46,0.44,1.6,2.2,0.71,0.9,1.2,2.1,2.5,0.4,0.2,1.6,1.8,8.8
1991,30,1615,WSB,Washington Bullets,Bernard King,34,64,64,37.5,11.1,23.6,0.47,0.1,0.6,0.22,11.0,23.0,0.48,0.48,6.0,7.6,0.79,1.8,3.2,5.0,4.6,0.9,0.3,4.0,2.9,28.4
1991,30,1385,WSB,Washington Bullets,Byron Irvin,24,33,4,9.6,1.8,3.9,0.46,0.0,0.2,0.2,1.8,3.8,0.48,0.47,1.5,1.8,0.82,0.7,0.6,1.4,0.7,0.5,0.1,0.5,1.0,5.2
1991,30,1531,WSB,Washington Bullets,Charles Jones,33,62,54,24.2,1.1,2.0,0.54,0.0,0.0,,1.1,2.0,0.54,0.54,0.5,0.8,0.58,1.9,3.9,5.8,0.8,0.8,2.0,0.7,3.2,2.6
1991,30,2671,WSB,Washington Bullets,Clinton Smith,27,5,0,9.0,0.4,0.8,0.5,0.0,0.0,,0.4,0.8,0.5,0.5,0.6,1.2,0.5,0.4,0.4,0.8,0.8,0.2,0.0,0.2,0.6,1.4
1991,30,2999,WSB,Washington Bullets,Darrell Walker,29,71,65,32.5,3.2,7.5,0.43,0.0,0.1,0.0,3.2,7.4,0.44,0.43,1.3,2.2,0.6,2.0,5.0,7.0,6.5,1.1,0.5,2.2,2.8,7.8
1991,30,944,WSB,Washington Bullets,Greg Foster,22,54,3,11.2,1.8,3.9,0.46,0.0,0.1,0.0,1.8,3.8,0.47,0.46,0.8,1.1,0.69,1.0,1.8,2.8,0.7,0.2,0.4,0.8,2.1,4.4
1991,30,1082,WSB,Washington Bullets,Harvey Grant,25,77,76,36.9,7.9,15.9,0.5,0.0,0.2,0.13,7.9,15.7,0.5,0.5,2.4,3.2,0.74,2.3,4.9,7.2,2.6,1.2,0.8,1.6,3.0,18.2
1991,30,3230,WSB,Washington Bullets,Haywoode Workman,25,73,56,27.9,3.2,7.1,0.45,0.2,0.7,0.24,3.0,6.4,0.48,0.47,1.4,1.8,0.76,0.7,2.6,3.3,4.8,1.2,0.1,1.8,2.2,8.0
1991,30,3149,WSB,Washington Bullets,John Williams,24,33,11,28.5,5.0,11.9,0.42,0.3,1.2,0.24,4.7,10.7,0.44,0.43,2.2,2.9,0.75,1.3,4.1,5.4,4.0,1.2,0.2,2.1,1.9,12.5
1991,30,2482,WSB,Washington Bullets,Larry Robinson,23,12,10,21.3,3.2,7.6,0.42,0.0,0.1,0.0,3.2,7.5,0.42,0.42,0.6,1.0,0.58,1.2,1.2,2.3,2.0,0.6,0.0,0.9,2.2,6.9
1991,30,813,WSB,Washington Bullets,Ledell Eackles,24,67,17,24.1,5.1,11.4,0.45,0.2,0.9,0.24,4.9,10.5,0.47,0.46,2.4,3.3,0.74,0.7,1.2,1.9,2.0,0.7,0.1,1.7,1.8,13.0
1991,30,31,WSB,Washington Bullets,Mark Alarie,27,42,1,14.0,2.4,5.4,0.44,0.1,0.5,0.24,2.2,4.9,0.46,0.45,1.0,1.1,0.85,1.0,1.8,2.8,1.1,0.4,0.2,1.0,2.1,5.8
1991,30,854,WSB,Washington Bullets,Pervis Ellison,23,76,30,25.6,4.3,8.4,0.51,0.0,0.1,0.0,4.3,8.3,0.52,0.51,1.8,2.8,0.65,2.9,4.8,7.7,1.3,0.6,2.1,1.9,3.5,10.4
1991,30,1166,WSB,Washington Bullets,Tom Hammonds,23,70,7,14.6,2.2,4.8,0.46,0.0,0.1,0.0,2.2,4.7,0.47,0.46,0.8,1.1,0.72,0.8,2.1,2.9,0.6,0.2,0.1,0.8,1.5,5.2
