Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1991,21,SEA,Seattle Supersonics,Derrick McKey,24,73,55,2503,6.3,12.2,0.52,0.1,0.3,0.21,6.2,11.9,0.52,3.4,4.0,0.84,2.5,3.6,6.1,2.4,1.3,0.8,2.3,3.2,16.0
1991,21,SEA,Seattle Supersonics,Shawn Kemp,21,81,66,2442,6.8,13.4,0.51,0.0,0.2,0.17,6.8,13.2,0.51,4.2,6.4,0.66,3.9,6.1,10.0,2.1,1.1,1.8,3.0,4.7,17.9
1991,21,SEA,Seattle Supersonics,Gary Payton,22,82,82,2244,4.2,9.2,0.45,0.0,0.2,0.08,4.1,9.0,0.46,1.1,1.6,0.71,1.7,2.2,3.9,8.5,2.6,0.2,2.9,4.0,9.4
1991,21,SEA,Seattle Supersonics,Michael Cage,29,82,55,2141,3.8,7.5,0.51,0.0,0.1,0.0,3.8,7.4,0.51,1.2,1.9,0.62,3.0,6.4,9.4,1.5,1.4,1.0,1.4,3.3,8.8
1991,21,SEA,Seattle Supersonics,Sedale Threatt,29,80,57,2066,7.5,14.5,0.52,0.2,0.6,0.29,7.4,13.9,0.53,2.4,3.0,0.79,0.4,1.3,1.7,4.8,2.0,0.1,2.4,3.3,17.7
1991,21,SEA,Seattle Supersonics,Eddie Johnson,31,66,27,1773,9.2,19.0,0.49,0.7,2.0,0.33,8.6,17.0,0.5,4.2,4.6,0.91,1.8,2.7,4.6,1.9,1.0,0.1,2.0,2.9,23.4
1991,21,SEA,Seattle Supersonics,Nate McMillan,26,78,0,1434,3.3,7.7,0.43,0.4,1.2,0.35,2.9,6.5,0.45,1.4,2.3,0.61,1.8,4.5,6.3,9.3,2.6,0.5,3.1,5.3,8.5
1991,21,SEA,Seattle Supersonics,Olden Polynice,26,48,0,960,6.2,11.4,0.55,0.0,0.0,,6.2,11.4,0.55,2.5,4.3,0.59,4.3,5.9,10.1,0.6,1.0,0.7,2.0,3.5,14.9
1991,21,SEA,Seattle Supersonics,Benoit Benjamin,26,31,27,899,6.3,12.5,0.5,0.0,0.0,,6.3,12.5,0.5,3.5,5.0,0.69,2.5,7.7,10.2,1.8,1.1,2.2,3.9,3.0,16.1
1991,21,SEA,Seattle Supersonics,Ricky Pierce,31,32,2,840,8.7,18.7,0.46,0.4,1.0,0.39,8.3,17.7,0.47,6.3,6.9,0.92,1.3,1.9,3.2,3.1,0.9,0.1,2.3,3.4,24.0
1991,21,SEA,Seattle Supersonics,Dale Ellis,30,30,24,800,8.1,17.6,0.46,1.2,4.0,0.3,6.9,13.6,0.51,2.8,3.8,0.74,1.3,2.9,4.1,2.9,1.5,0.1,2.2,2.7,20.3
1991,21,SEA,Seattle Supersonics,Dana Barros,23,66,0,750,7.4,14.9,0.5,1.5,3.9,0.4,5.9,11.0,0.53,3.7,4.1,0.92,0.8,2.6,3.4,5.3,1.1,0.0,2.6,1.9,20.1
1991,21,SEA,Seattle Supersonics,Xavier McDaniel,27,15,15,529,9.5,19.7,0.48,0.0,0.2,0.0,9.5,19.5,0.48,3.3,4.7,0.71,2.4,3.1,5.5,2.6,1.8,0.3,2.7,3.4,22.3
1991,21,SEA,Seattle Supersonics,Quintin Dailey,30,30,0,299,8.8,18.7,0.47,0.0,0.1,0.0,8.8,18.5,0.47,4.6,7.5,0.61,1.3,2.5,3.9,1.9,0.8,0.1,2.3,3.0,22.2
1991,21,SEA,Seattle Supersonics,Dave Corzine,34,28,0,147,4.2,9.3,0.45,0.0,0.0,,4.2,9.3,0.45,3.2,5.4,0.59,2.4,5.6,8.1,1.0,1.2,1.2,0.5,4.4,11.5
1991,21,SEA,Seattle Supersonics,Scott Meents,27,13,0,53,4.8,19.0,0.25,0.7,0.7,1.0,4.1,18.3,0.22,1.4,2.7,0.5,2.0,4.8,6.8,5.4,4.8,2.7,4.1,3.4,11.5
