Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1991,25,786,POR,Portland Trail Blazers,Clyde Drexler,28.0,82,82.0,2852,645,1338,0.48,61,191,0.32,584,1147,0.51,0.5,416,524,0.79,212,334,546,493,144,60,232,226,1767
1991,25,2341,POR,Portland Trail Blazers,Terry Porter,27.0,81,81.0,2665,486,944,0.52,130,313,0.42,356,631,0.56,0.58,279,339,0.82,52,230,282,649,158,12,189,151,1381
1991,25,3129,POR,Portland Trail Blazers,Buck Williams,30.0,80,80.0,2582,358,595,0.6,0,0,,358,595,0.6,0.6,217,308,0.7,227,524,751,97,47,47,137,247,933
1991,25,791,POR,Portland Trail Blazers,Kevin Duckworth,26.0,81,81.0,2511,521,1084,0.48,0,2,0.0,521,1082,0.48,0.48,240,311,0.77,177,354,531,89,33,34,186,251,1282
1991,25,1599,POR,Portland Trail Blazers,Jerome Kersey,28.0,73,72.0,2359,424,887,0.48,4,13,0.31,420,874,0.48,0.48,232,327,0.71,169,312,481,227,101,76,149,251,1084
1991,25,2470,POR,Portland Trail Blazers,Clifford Robinson,24.0,82,11.0,1940,373,806,0.46,6,19,0.32,367,787,0.47,0.47,205,314,0.65,123,226,349,151,78,76,133,263,957
1991,25,26,POR,Portland Trail Blazers,Danny Ainge,31.0,80,0.0,1710,337,714,0.47,102,251,0.41,235,463,0.51,0.54,114,138,0.83,45,160,205,285,63,13,100,195,890
1991,25,3254,POR,Portland Trail Blazers,Danny Young,28.0,75,1.0,897,103,271,0.38,36,104,0.35,67,167,0.4,0.45,41,45,0.91,22,53,75,141,50,7,50,49,283
1991,25,409,POR,Portland Trail Blazers,Mark Bryant,25.0,53,0.0,781,99,203,0.49,0,1,0.0,99,202,0.49,0.49,74,101,0.73,65,125,190,27,15,12,33,120,272
1991,25,604,POR,Portland Trail Blazers,Wayne Cooper,34.0,67,1.0,746,57,145,0.39,0,1,0.0,57,144,0.4,0.39,33,42,0.79,54,134,188,22,7,61,22,120,147
1991,25,702,POR,Portland Trail Blazers,Walter Davis,36.0,32,1.0,439,87,195,0.45,1,3,0.33,86,192,0.45,0.45,21,23,0.91,19,39,58,41,18,0,25,42,196
1991,25,1,POR,Portland Trail Blazers,Alaa Abdelnaby,22.0,43,0.0,290,55,116,0.47,0,0,,55,116,0.47,0.47,25,44,0.57,27,62,89,12,4,12,22,39,135
1991,25,2296,POR,Portland Trail Blazers,Drazen Petrovic,26.0,18,0.0,133,32,71,0.45,1,6,0.17,31,65,0.48,0.46,15,22,0.68,10,8,18,20,6,0,12,21,80
