Season,Team ID,Team ABV,Team,PLAYER,AGE,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
1992,27,SAS,San Antonio Spurs,David Robinson,26.0,68.0,2564.0,0.55,0.55,0.12,0.55,0.7,0.6,0.52,0.01,117.0,114.0,38.0,113.0,92.0,112.0,171.0,9.0,139.1,174.2
1992,27,SAS,San Antonio Spurs,Sean Elliott,23.0,82.0,3120.0,0.49,0.51,0.3,0.51,0.86,0.56,0.32,0.08,105.0,105.0,92.0,104.0,113.0,106.0,104.0,90.0,40.2,77.9
1992,27,SAS,San Antonio Spurs,Terry Cummings,30.0,70.0,2149.0,0.49,0.49,0.38,0.49,0.71,0.52,0.24,0.01,103.0,101.0,116.0,101.0,94.0,98.0,77.0,14.0,7.6,-25.5
1992,27,SAS,San Antonio Spurs,Antoine Carr,30.0,81.0,1867.0,0.49,0.49,0.2,0.49,0.76,0.53,0.29,0.01,104.0,101.0,60.0,101.0,101.0,100.0,95.0,8.0,6.2,3.9
1992,27,SAS,San Antonio Spurs,Rod Strickland,25.0,57.0,2053.0,0.46,0.46,0.33,0.46,0.69,0.51,0.4,0.02,96.0,94.0,101.0,94.0,91.0,95.0,132.0,26.0,-36.8,-37.3
1992,27,SAS,San Antonio Spurs,Willie Anderson,25.0,57.0,1889.0,0.46,0.48,0.23,0.46,0.78,0.5,0.2,0.08,96.0,98.0,70.0,95.0,102.0,94.0,66.0,94.0,-30.1,-48.5
1992,27,SAS,San Antonio Spurs,Vinnie Johnson,35.0,60.0,1350.0,0.4,0.42,0.32,0.42,0.65,0.45,0.17,0.12,86.0,86.0,96.0,87.0,85.0,84.0,56.0,138.0,-62.9,-92.1
1992,27,SAS,San Antonio Spurs,Sidney Green,31.0,80.0,1127.0,0.43,0.43,,0.43,0.82,0.48,0.26,0.0,90.0,88.0,,88.0,108.0,90.0,85.0,,-41.0,-40.2
1992,27,SAS,San Antonio Spurs,Donald Royal,25.0,60.0,718.0,0.45,0.45,,0.45,0.69,0.53,0.75,0.0,95.0,92.0,,92.0,91.0,100.0,245.0,,-13.3,0.6
1992,27,SAS,San Antonio Spurs,Greg Sutton,24.0,67.0,601.0,0.39,0.44,0.29,0.44,0.76,0.47,0.19,0.37,82.0,91.0,88.0,91.0,100.0,89.0,61.0,424.0,-21.7,-30.1
1992,27,SAS,San Antonio Spurs,Trent Tucker,32.0,24.0,415.0,0.46,0.51,0.4,0.54,0.8,0.56,0.16,0.37,98.0,104.0,120.0,111.0,105.0,106.0,51.0,426.0,13.4,8.6
1992,27,SAS,San Antonio Spurs,Paul Pressey,33.0,56.0,759.0,0.37,0.41,0.14,0.38,0.68,0.42,0.26,0.13,79.0,84.0,43.0,78.0,90.0,79.0,83.0,149.0,-33.8,-39.3
1992,27,SAS,San Antonio Spurs,Avery Johnson,26.0,20.0,463.0,0.51,0.52,0.2,0.51,0.75,0.55,0.3,0.05,108.0,108.0,60.0,106.0,99.0,104.0,97.0,53.0,5.8,5.3
1992,27,SAS,San Antonio Spurs,Tom Garrick,25.0,19.0,374.0,0.47,0.48,0.0,0.47,0.62,0.49,0.17,0.01,100.0,98.0,,97.0,82.0,92.0,56.0,12.0,-2.6,-8.3
1992,27,SAS,San Antonio Spurs,Tom Copa,27.0,33.0,132.0,0.55,0.55,,0.55,0.31,0.52,0.32,0.0,116.0,113.0,,113.0,41.0,99.0,106.0,,5.0,-0.6
1992,27,SAS,San Antonio Spurs,Jud Buechler,23.0,11.0,140.0,0.5,0.5,,0.5,0.33,0.49,0.3,0.0,106.0,103.0,,103.0,44.0,91.0,98.0,,0.8,-3.1
1992,27,SAS,San Antonio Spurs,Sean Higgins,23.0,6.0,36.0,0.27,0.29,0.0,0.27,1.0,0.42,0.47,0.07,56.0,59.0,,55.0,132.0,78.0,153.0,76.0,-6.6,-4.2
1992,27,SAS,San Antonio Spurs,Morlon Wiley,25.0,3.0,13.0,0.6,0.6,,0.6,,0.6,0.0,0.0,127.0,123.0,,123.0,,113.0,,,1.1,0.7
1992,27,SAS,San Antonio Spurs,Tony Massenburg,24.0,1.0,9.0,0.2,0.2,,0.2,,0.2,0.0,0.0,42.0,41.0,,41.0,,38.0,,,-2.9,-3.3
1992,27,SAS,San Antonio Spurs,Steve Bardo,23.0,1.0,1.0,,,,,,,,,,,,,,,,,0.0,0.0
1992,27,SAS,San Antonio Spurs,Team,,,,0.48,0.49,0.3,0.48,0.74,0.53,0.32,0.06,101.0,100.0,89.0,100.0,97.0,99.0,105.0,66.0,-28.1,-48.3
1992,27,SAS,San Antonio Spurs,League Average,,,,0.47,0.49,0.33,0.49,0.76,0.53,0.3,0.09,,,,,,,,,,
