Season,Team ID,Team ABV,Team,PLAYER,AGE,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
1993,6,CLE,Cleveland Cavaliers,Brad Daugherty,27.0,71.0,2691.0,0.57,0.57,0.5,0.57,0.8,0.64,0.54,0.0,121.0,117.0,149.0,116.0,105.0,118.0,167.0,2.0,146.8,222.7
1993,6,CLE,Cleveland Cavaliers,Mark Price,28.0,75.0,2380.0,0.48,0.51,0.42,0.55,0.95,0.61,0.31,0.3,102.0,105.0,124.0,111.0,126.0,114.0,96.0,285.0,108.2,163.5
1993,6,CLE,Cleveland Cavaliers,Larry Nance,33.0,77.0,2753.0,0.55,0.55,0.0,0.55,0.82,0.59,0.25,0.0,116.0,113.0,,112.0,108.0,109.0,79.0,4.0,112.9,109.9
1993,6,CLE,Cleveland Cavaliers,Craig Ehlo,31.0,82.0,2559.0,0.49,0.54,0.38,0.55,0.72,0.57,0.15,0.31,104.0,110.0,113.0,112.0,95.0,106.0,47.0,298.0,92.5,50.4
1993,6,CLE,Cleveland Cavaliers,Gerald Wilkins,29.0,80.0,2079.0,0.45,0.47,0.28,0.46,0.84,0.51,0.23,0.07,96.0,95.0,82.0,94.0,111.0,95.0,70.0,70.0,-44.3,-50.3
1993,6,CLE,Cleveland Cavaliers,Hot Rod Williams,30.0,67.0,2055.0,0.47,0.47,,0.47,0.72,0.54,0.53,0.0,99.0,96.0,,96.0,95.0,100.0,164.0,,-23.7,-2.3
1993,6,CLE,Cleveland Cavaliers,Terrell Brandon,22.0,82.0,1622.0,0.48,0.49,0.31,0.49,0.82,0.53,0.23,0.07,101.0,100.0,92.0,100.0,109.0,99.0,71.0,65.0,-2.5,-8.6
1993,6,CLE,Cleveland Cavaliers,Danny Ferry,26.0,76.0,1461.0,0.48,0.49,0.42,0.52,0.88,0.56,0.25,0.18,101.0,101.0,123.0,105.0,116.0,105.0,76.0,171.0,23.5,27.4
1993,6,CLE,Cleveland Cavaliers,Mike Sanders,32.0,53.0,1189.0,0.5,0.5,0.25,0.5,0.76,0.53,0.2,0.01,105.0,102.0,74.0,102.0,100.0,98.0,61.0,10.0,6.3,-7.6
1993,6,CLE,Cleveland Cavaliers,John Battle,30.0,41.0,497.0,0.42,0.42,0.17,0.42,0.78,0.48,0.36,0.03,88.0,86.0,50.0,85.0,103.0,90.0,112.0,29.0,-29.3,-25.5
1993,6,CLE,Cleveland Cavaliers,Bobby Phills,23.0,31.0,139.0,0.46,0.47,0.4,0.48,0.6,0.5,0.3,0.06,98.0,96.0,119.0,97.0,80.0,93.0,95.0,59.0,-2.5,-6.8
1993,6,CLE,Cleveland Cavaliers,Jerome Lane,26.0,21.0,149.0,0.5,0.5,,0.5,0.25,0.47,0.37,0.0,106.0,102.0,,102.0,33.0,88.0,115.0,,1.0,-8.4
1993,6,CLE,Cleveland Cavaliers,Jay Guidinger,23.0,32.0,215.0,0.34,0.34,,0.34,0.52,0.39,0.46,0.0,73.0,71.0,,70.0,69.0,72.0,141.0,,-16.0,-19.8
1993,6,CLE,Cleveland Cavaliers,Steve Kerr,27.0,5.0,41.0,0.5,0.62,0.0,0.5,1.0,0.55,0.2,0.2,106.0,128.0,,102.0,133.0,103.0,62.0,192.0,0.2,0.3
1993,6,CLE,Cleveland Cavaliers,Team,,,,0.5,0.51,0.38,0.52,0.8,0.56,0.31,0.11,105.0,104.0,114.0,106.0,106.0,105.0,95.0,103.0,373.0,444.7
1993,6,CLE,Cleveland Cavaliers,League Average,,,,0.47,0.49,0.34,0.49,0.75,0.54,0.32,0.1,,,,,,,,,,
