Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1994,8,1563,DEN,Denver Nuggets,Adonis Jordan,23,6,79,5.6,0.33,0.44,0.0,4.4,4.1,4.2,33.3,0.0,0.8,20.7,15.6,-0.1,0.0,-0.1,-0.04,-2.2,-3.0,-5.3,-0.1
1994,8,723,DEN,Denver Nuggets,Bison Dele,24,80,1507,16.5,0.57,0.01,0.46,10.5,22.0,16.4,5.2,1.6,3.6,15.7,18.7,1.8,2.9,4.7,0.15,-0.9,1.3,0.4,0.9
1994,8,2757,DEN,Denver Nuggets,Bryant Stith,23,82,2853,12.7,0.53,0.01,0.43,4.8,8.7,6.8,10.4,2.0,0.4,11.9,16.4,3.4,3.4,6.8,0.11,-0.8,0.8,0.0,1.4
1994,8,1961,DEN,Denver Nuggets,Darnell Mee,22,38,285,6.3,0.36,0.27,0.31,6.9,6.8,6.8,8.0,2.6,2.9,15.3,17.6,-0.6,0.4,-0.1,-0.02,-4.3,1.4,-3.0,-0.1
1994,8,2097,DEN,Denver Nuggets,Dikembe Mutombo,27,82,2853,17.9,0.59,0.0,0.68,11.5,25.8,18.9,6.6,1.0,7.4,19.8,15.6,2.9,6.4,9.4,0.16,0.1,3.0,3.2,3.7
1994,8,892,DEN,Denver Nuggets,Jim Farmer,29,4,29,-3.7,0.33,0.33,0.0,0.0,7.4,3.8,18.9,0.0,0.0,45.5,16.2,-0.1,0.0,-0.1,-0.21,-10.1,-4.4,-14.5,-0.1
1994,8,363,DEN,Denver Nuggets,Kevin Brooks,24,34,190,5.3,0.41,0.23,0.1,3.0,9.1,6.1,2.6,0.0,0.7,10.4,25.9,-0.4,0.1,-0.2,-0.06,-6.0,-3.7,-9.6,-0.4
1994,8,851,DEN,Denver Nuggets,LaPhonso Ellis,23,79,2699,15.9,0.54,0.02,0.37,9.4,18.4,14.0,10.0,1.2,1.9,13.3,20.4,3.5,4.1,7.6,0.14,0.2,0.4,0.6,1.8
1994,8,3,DEN,Denver Nuggets,Mahmoud Abdul-Rauf,24,80,2617,16.7,0.52,0.1,0.18,1.2,5.8,3.6,24.1,1.6,0.2,9.9,24.9,4.4,2.4,6.8,0.12,1.5,-0.7,0.8,1.9
1994,8,1749,DEN,Denver Nuggets,Marcus Liberty,25,3,11,18.7,0.57,0.14,0.29,0.0,48.9,25.3,41.8,0.0,0.0,20.2,38.3,0.0,0.0,0.0,0.11,-5.3,5.4,0.1,0.0
1994,8,1805,DEN,Denver Nuggets,Mark Macon,24,7,126,2.1,0.36,0.07,0.22,2.7,3.4,3.1,12.7,2.4,0.5,22.1,21.4,-0.4,0.1,-0.3,-0.11,-8.0,-0.6,-8.7,-0.2
1994,8,2390,DEN,Denver Nuggets,Mark Randall,26,28,155,11.2,0.46,0.28,0.56,6.7,9.0,7.9,10.3,2.6,1.2,13.8,19.9,0.0,0.2,0.2,0.07,-2.6,0.4,-2.2,0.0
1994,8,3170,DEN,Denver Nuggets,Reggie Williams,29,82,2654,13.1,0.48,0.23,0.22,4.2,11.9,8.2,17.6,2.2,1.6,12.8,20.5,0.9,3.9,4.8,0.09,-0.8,1.3,0.6,1.7
1994,8,2232,DEN,Denver Nuggets,Robert Pack,24,66,1382,15.0,0.52,0.06,0.47,2.1,7.6,4.9,40.4,2.9,0.4,25.2,25.0,-0.3,1.9,1.7,0.06,-0.2,-0.1,-0.2,0.6
1994,8,2499,DEN,Denver Nuggets,Rodney Rogers,22,79,1406,12.9,0.51,0.17,0.35,7.4,10.4,8.9,11.4,2.2,2.1,17.3,23.0,-0.1,2.1,2.0,0.07,-1.3,0.7,-0.6,0.5
1994,8,1834,DEN,Denver Nuggets,Roy Marble,27,5,32,-3.5,0.15,0.0,0.25,10.8,16.8,13.9,4.2,0.0,3.9,18.4,21.7,-0.2,0.0,-0.2,-0.28,-10.4,-5.3,-15.7,-0.1
1994,8,1166,DEN,Denver Nuggets,Tom Hammonds,26,74,877,12.4,0.55,0.0,0.45,8.1,16.8,12.6,5.8,1.1,0.9,12.9,15.4,1.0,1.2,2.2,0.12,-1.4,0.1,-1.3,0.2
