SEASON,TEAM ID,TEAM,PLAYER,AGE,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
1996,11,HOU,Hakeem Olajuwon,33.0,72.0,2797.0,0.51,0.52,0.21,0.52,0.72,0.56,0.37,0.01,111.0,106.0,58.0,103.0,98.0,103.0,111.0,5.0,48.8,55.2
1996,11,HOU,Clyde Drexler,33.0,52.0,1997.0,0.43,0.48,0.33,0.48,0.78,0.55,0.44,0.31,94.0,98.0,90.0,97.0,106.0,102.0,134.0,154.0,-22.1,15.6
1996,11,HOU,Sam Cassell,26.0,61.0,1682.0,0.44,0.48,0.35,0.5,0.82,0.57,0.43,0.32,95.0,99.0,95.0,99.0,111.0,104.0,132.0,159.0,-5.3,36.8
1996,11,HOU,Robert Horry,25.0,71.0,2634.0,0.41,0.46,0.37,0.51,0.78,0.54,0.2,0.53,89.0,95.0,100.0,102.0,105.0,99.0,59.0,265.0,11.9,-8.7
1996,11,HOU,Chucky Brown,27.0,82.0,2019.0,0.54,0.55,0.12,0.54,0.69,0.57,0.27,0.01,117.0,113.0,34.0,109.0,94.0,105.0,82.0,7.0,47.4,31.9
1996,11,HOU,Mark Bryant,30.0,71.0,1587.0,0.54,0.55,0.0,0.54,0.72,0.58,0.4,0.0,117.0,112.0,,109.0,97.0,108.0,121.0,2.0,39.1,43.1
1996,11,HOU,Kenny Smith,30.0,68.0,1617.0,0.43,0.49,0.38,0.53,0.82,0.57,0.23,0.51,94.0,100.0,104.0,107.0,111.0,105.0,69.0,256.0,30.2,26.5
1996,11,HOU,Mario Elie,32.0,45.0,1385.0,0.5,0.6,0.32,0.56,0.85,0.61,0.32,0.36,109.0,124.0,88.0,113.0,115.0,113.0,98.0,178.0,44.9,57.2
1996,11,HOU,Eldridge Recasner,28.0,63.0,1275.0,0.42,0.4,0.42,0.53,0.86,0.56,0.18,0.53,90.0,83.0,116.0,106.0,117.0,104.0,56.0,266.0,20.9,15.4
1996,11,HOU,Sam Mack,25.0,31.0,868.0,0.42,0.44,0.4,0.52,0.85,0.55,0.16,0.47,91.0,91.0,109.0,103.0,115.0,101.0,49.0,235.0,9.7,2.0
1996,11,HOU,Pete Chilcutt,27.0,74.0,651.0,0.41,0.44,0.38,0.51,0.65,0.52,0.14,0.55,88.0,91.0,103.0,102.0,88.0,97.0,44.0,274.0,4.5,-6.4
1996,11,HOU,Tim Breaux,25.0,54.0,570.0,0.37,0.38,0.33,0.41,0.62,0.44,0.28,0.29,79.0,79.0,89.0,83.0,84.0,82.0,85.0,143.0,-27.6,-35.0
1996,11,HOU,Tracy Moore,30.0,8.0,190.0,0.4,0.37,0.43,0.48,0.95,0.54,0.25,0.4,85.0,76.0,118.0,96.0,128.0,100.0,76.0,197.0,-2.8,-0.4
1996,11,HOU,Melvin Booker,23.0,11.0,131.0,0.32,0.42,0.16,0.35,0.82,0.4,0.22,0.38,69.0,86.0,43.0,70.0,111.0,74.0,67.0,190.0,-14.9,-15.4
1996,11,HOU,Henry James,30.0,7.0,58.0,0.42,0.56,0.33,0.52,1.0,0.57,0.21,0.62,90.0,114.0,91.0,104.0,135.0,106.0,63.0,312.0,1.1,1.6
1996,11,HOU,Charles Jones,38.0,46.0,297.0,0.32,0.32,,0.32,0.31,0.32,0.68,0.0,68.0,65.0,,63.0,42.0,60.0,208.0,,-7.0,-10.8
1996,11,HOU,Alvin Heggs,28.0,4.0,14.0,0.6,0.6,,0.6,0.67,0.63,0.6,0.0,130.0,123.0,,120.0,90.0,117.0,182.0,,1.0,1.1
1996,11,HOU,Jaren Jackson,28.0,4.0,33.0,0.0,0.0,0.0,0.0,0.8,0.32,1.25,0.62,,,,,108.0,60.0,380.0,312.0,-8.0,-5.4
1996,11,HOU,Team,,,,0.46,0.5,0.36,0.51,0.76,0.56,0.32,0.26,100.0,103.0,99.0,103.0,103.0,102.0,96.0,133.0,171.8,204.2
1996,11,HOU,League Average,,,,0.46,0.49,0.37,0.5,0.74,0.54,0.33,0.2,,,,,,,,,,
