Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1996,24,PHO,Phoenix Suns,Michael Finley,22,82,72,39.2,5.7,11.9,0.48,0.7,2.3,0.33,4.9,9.6,0.51,0.51,3.0,3.9,0.75,1.7,2.9,4.6,3.5,1.0,0.4,1.6,2.4,15.0
1996,24,PHO,Phoenix Suns,Charles Barkley,32,71,71,37.1,8.2,16.3,0.5,0.7,2.5,0.28,7.5,13.9,0.54,0.52,6.2,8.0,0.78,3.4,8.1,11.6,3.7,1.6,0.8,3.1,2.9,23.2
1996,24,PHO,Phoenix Suns,Kevin Johnson,29,56,55,35.8,6.1,12.0,0.51,0.4,1.0,0.37,5.7,11.0,0.52,0.52,6.1,7.1,0.86,0.8,3.2,3.9,9.2,1.5,0.2,3.0,2.6,18.7
1996,24,PHO,Phoenix Suns,Wesley Person,24,82,47,31.8,4.8,10.7,0.44,1.4,3.8,0.37,3.3,6.9,0.48,0.51,1.8,2.3,0.77,0.7,3.2,3.9,1.7,0.7,0.3,1.1,1.8,12.7
1996,24,PHO,Phoenix Suns,Hot Rod Williams,33,62,58,26.6,2.9,6.4,0.45,0.0,0.0,0.0,2.9,6.4,0.46,0.45,1.5,2.1,0.73,2.1,3.9,6.0,1.0,0.7,1.5,1.0,2.7,7.3
1996,24,PHO,Phoenix Suns,A.C. Green,32,82,36,25.8,2.6,5.4,0.48,0.2,0.6,0.27,2.5,4.8,0.51,0.5,2.0,2.9,0.71,2.0,4.7,6.8,0.9,0.5,0.3,1.0,1.7,7.5
1996,24,PHO,Phoenix Suns,Danny Manning,29,33,4,24.7,5.4,11.8,0.46,0.1,0.4,0.21,5.3,11.3,0.47,0.46,2.5,3.3,0.75,0.9,3.4,4.3,2.0,1.2,0.7,2.3,3.7,13.4
1996,24,PHO,Phoenix Suns,Elliot Perry,26,81,26,20.6,3.2,6.8,0.48,0.3,0.7,0.41,2.9,6.0,0.48,0.5,1.9,2.4,0.78,0.4,1.3,1.7,4.4,1.1,0.1,1.8,1.7,8.6
1996,24,PHO,Phoenix Suns,Wayman Tisdale,31,63,6,18.3,4.4,9.0,0.5,0.0,0.0,,4.4,9.0,0.5,0.5,1.8,2.4,0.76,0.9,2.5,3.4,0.9,0.2,0.6,1.0,3.0,10.7
1996,24,PHO,Phoenix Suns,Tony Smith,27,34,2,15.5,2.1,5.1,0.4,0.7,2.3,0.32,1.3,2.8,0.47,0.48,0.7,1.1,0.65,0.7,0.9,1.6,2.5,0.6,0.1,1.2,1.8,5.6
1996,24,PHO,Phoenix Suns,Mario Bennett,22,19,14,12.1,1.5,3.4,0.45,0.0,0.1,0.0,1.5,3.3,0.46,0.45,1.4,2.2,0.64,1.1,1.5,2.6,0.3,0.6,0.6,0.6,2.4,4.5
1996,24,PHO,Phoenix Suns,Joe Kleine,34,56,9,11.8,1.3,3.0,0.42,0.0,0.1,0.29,1.2,2.9,0.43,0.43,0.4,0.4,0.8,0.6,1.7,2.4,0.8,0.2,0.1,0.7,2.0,2.9
1996,24,PHO,Phoenix Suns,Chris Carr,21,60,10,9.8,1.5,3.6,0.42,0.2,0.7,0.26,1.3,2.9,0.45,0.44,0.8,1.0,0.82,0.5,1.3,1.7,0.7,0.2,0.1,0.7,1.3,4.0
1996,24,PHO,Phoenix Suns,David Wood,31,4,0,8.5,0.3,1.5,0.17,0.0,0.0,,0.3,1.5,0.17,0.17,0.5,0.5,1.0,0.5,0.8,1.3,0.5,0.3,0.0,0.5,2.3,1.0
1996,24,PHO,Phoenix Suns,Stefano Rusconi,27,7,0,4.3,0.4,1.3,0.33,0.0,0.0,,0.4,1.3,0.33,0.33,0.3,0.7,0.4,0.4,0.4,0.9,0.4,0.0,0.3,0.4,1.4,1.1
1996,24,PHO,Phoenix Suns,Terrence Rencher,22,2,0,4.0,0.5,0.5,1.0,0.0,0.0,,0.5,0.5,1.0,1.0,0.5,1.5,0.33,0.0,1.0,1.0,0.0,0.0,0.5,1.0,0.5,1.5
1996,24,PHO,Phoenix Suns,John Coker,24,5,0,2.2,0.8,1.0,0.8,0.0,0.0,,0.8,1.0,0.8,0.8,0.0,0.0,,0.4,0.0,0.4,0.2,0.0,0.2,0.0,0.2,1.6
