Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1996,2,BOS,Boston Celtics,Rick Fox,26.0,81,81.0,2588,421,928,0.45,99,272,0.36,322,656,0.49,0.51,196,254,0.77,158,292,450,369,113,41,216,290,1137,951
1996,2,BOS,Boston Celtics,Dana Barros,28.0,80,25.0,2328,379,806,0.47,150,368,0.41,229,438,0.52,0.56,130,147,0.88,21,171,192,306,58,3,120,116,1038,173
1996,2,BOS,Boston Celtics,David Wesley,25.0,82,53.0,2104,338,736,0.46,116,272,0.43,222,464,0.48,0.54,217,288,0.75,68,196,264,390,100,11,159,207,1009,3070
1996,2,BOS,Boston Celtics,Dino Radja,28.0,53,52.0,1984,426,852,0.5,0,0,,426,852,0.5,0.5,191,275,0.7,113,409,522,83,48,81,117,161,1043,2381
1996,2,BOS,Boston Celtics,Greg Minor,24.0,78,47.0,1761,320,640,0.5,7,27,0.26,313,613,0.51,0.5,99,130,0.76,93,164,257,146,36,11,78,161,746,2007
1996,2,BOS,Boston Celtics,Todd Day,26.0,71,12.0,1636,277,746,0.37,95,277,0.34,182,469,0.39,0.44,200,261,0.77,62,140,202,102,77,48,98,198,849,710
1996,2,BOS,Boston Celtics,Dee Brown,27.0,65,23.0,1591,246,616,0.4,68,220,0.31,178,396,0.45,0.46,135,158,0.85,36,100,136,146,80,12,74,119,695,375
1996,2,BOS,Boston Celtics,Eric Williams,23.0,64,6.0,1470,241,546,0.44,3,10,0.3,238,536,0.44,0.44,200,298,0.67,92,125,217,70,56,11,88,147,685,3136
1996,2,BOS,Boston Celtics,Eric Montross,24.0,61,59.0,1432,196,346,0.57,0,0,,196,346,0.57,0.57,50,133,0.38,119,233,352,43,19,29,83,181,442,2032
1996,2,BOS,Boston Celtics,Pervis Ellison,28.0,69,29.0,1431,145,295,0.49,0,0,,145,295,0.49,0.49,75,117,0.64,151,300,451,62,39,99,84,207,365,854
1996,2,BOS,Boston Celtics,Alton Lister,37.0,57,14.0,647,47,96,0.49,0,0,,47,96,0.49,0.49,39,62,0.63,60,191,251,15,6,39,44,121,133,1755
1996,2,BOS,Boston Celtics,Junior Burrough,23.0,61,3.0,495,64,170,0.38,0,0,,64,170,0.38,0.38,61,93,0.66,45,64,109,15,15,10,40,74,189,431
1996,2,BOS,Boston Celtics,Sherman Douglas,29.0,10,4.0,234,36,84,0.43,1,7,0.14,35,77,0.46,0.44,25,40,0.62,6,17,23,39,2,0,29,16,98,771
1996,2,BOS,Boston Celtics,Doug Smith,26.0,17,2.0,92,14,39,0.36,0,0,,14,39,0.36,0.36,5,8,0.62,12,10,22,4,3,0,11,21,33,2676
1996,2,BOS,Boston Celtics,Thomas Hamilton,20.0,11,0.0,70,9,31,0.29,0,0,,9,31,0.29,0.29,7,18,0.39,10,12,22,1,0,9,9,12,25,1163
1996,2,BOS,Boston Celtics,Todd Mundt,25.0,9,0.0,33,3,9,0.33,0,0,,3,9,0.33,0.33,0,0,,1,2,3,1,1,1,0,6,6,2076
1996,2,BOS,Boston Celtics,Charles Claxton,25.0,3,0.0,7,1,2,0.5,0,0,,1,2,0.5,0.5,0,2,0.0,2,0,2,0,0,1,1,4,2,549
1996,2,BOS,Boston Celtics,Larry Sykes,22.0,1,0.0,2,0,0,,0,0,,0,0,,,0,0,,1,1,2,0,0,0,1,0,0,2796
