Season,Team ID,Team ABV,Team,PLAYER,AGE,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
1997,11,HOU,Houston Rockets,Hakeem Olajuwon,34.0,78.0,2852.0,0.51,0.51,0.31,0.51,0.79,0.56,0.31,0.01,112.0,107.0,87.0,104.0,107.0,104.0,98.0,5.0,53.1,72.2
1997,11,HOU,Houston Rockets,Clyde Drexler,34.0,62.0,2271.0,0.44,0.49,0.36,0.51,0.75,0.55,0.3,0.37,97.0,103.0,99.0,103.0,102.0,102.0,93.0,176.0,26.7,24.7
1997,11,HOU,Houston Rockets,Charles Barkley,33.0,53.0,2009.0,0.48,0.57,0.28,0.53,0.69,0.58,0.6,0.3,106.0,118.0,79.0,107.0,94.0,108.0,188.0,140.0,45.7,79.1
1997,11,HOU,Houston Rockets,Mario Elie,33.0,78.0,2687.0,0.5,0.57,0.42,0.6,0.9,0.66,0.4,0.49,109.0,119.0,117.0,122.0,121.0,124.0,124.0,231.0,125.2,173.5
1997,11,HOU,Houston Rockets,Kevin Willis,34.0,75.0,1964.0,0.48,0.49,0.14,0.48,0.69,0.52,0.28,0.02,106.0,101.0,40.0,98.0,94.0,96.0,87.0,9.0,-15.7,-33.1
1997,11,HOU,Houston Rockets,Matt Maloney,25.0,82.0,2386.0,0.44,0.5,0.4,0.57,0.76,0.58,0.15,0.62,97.0,104.0,112.0,115.0,103.0,109.0,47.0,293.0,89.7,64.4
1997,11,HOU,Houston Rockets,Matt Bullard,29.0,71.0,1025.0,0.4,0.46,0.37,0.52,0.74,0.54,0.12,0.64,88.0,97.0,102.0,105.0,100.0,100.0,37.0,304.0,15.0,-0.3
1997,11,HOU,Houston Rockets,Sam Mack,26.0,52.0,904.0,0.4,0.48,0.33,0.49,0.83,0.52,0.16,0.54,88.0,101.0,92.0,99.0,113.0,97.0,50.0,256.0,-1.3,-8.5
1997,11,HOU,Houston Rockets,Eddie Johnson,37.0,24.0,607.0,0.45,0.5,0.39,0.54,0.85,0.57,0.18,0.46,98.0,103.0,108.0,109.0,116.0,106.0,57.0,215.0,19.2,15.6
1997,11,HOU,Houston Rockets,Othella Harrington,23.0,57.0,860.0,0.55,0.56,0.0,0.55,0.6,0.57,0.4,0.02,121.0,116.0,,111.0,82.0,106.0,124.0,7.0,22.9,16.3
1997,11,HOU,Houston Rockets,Randy Livingston,21.0,64.0,981.0,0.44,0.44,0.41,0.46,0.65,0.49,0.28,0.1,96.0,92.0,114.0,93.0,88.0,91.0,89.0,45.0,-16.8,-24.9
1997,11,HOU,Houston Rockets,Brent Price,28.0,25.0,390.0,0.42,0.52,0.32,0.5,1.0,0.55,0.2,0.5,92.0,108.0,89.0,101.0,135.0,103.0,63.0,238.0,1.5,3.6
1997,11,HOU,Houston Rockets,Tracy Moore,31.0,27.0,237.0,0.39,0.52,0.26,0.45,0.71,0.5,0.36,0.51,85.0,109.0,71.0,92.0,96.0,94.0,114.0,239.0,-6.8,-6.7
1997,11,HOU,Houston Rockets,Sedale Threatt,35.0,21.0,334.0,0.38,0.37,0.4,0.43,0.75,0.45,0.11,0.27,83.0,77.0,111.0,88.0,102.0,84.0,34.0,128.0,-9.0,-13.0
1997,11,HOU,Houston Rockets,Emanual Davis,28.0,13.0,230.0,0.44,0.44,0.44,0.56,0.62,0.56,0.15,0.5,98.0,93.0,123.0,113.0,85.0,105.0,46.0,236.0,6.8,3.4
1997,11,HOU,Houston Rockets,Elmer Bennett,26.0,4.0,16.0,0.33,0.33,0.33,0.42,0.83,0.58,1.0,0.5,73.0,69.0,93.0,85.0,113.0,108.0,313.0,236.0,-0.9,0.7
1997,11,HOU,Houston Rockets,Charles Jones,39.0,12.0,93.0,0.4,0.4,,0.4,,0.4,0.0,0.0,88.0,83.0,,81.0,,75.0,,,-0.9,-1.4
1997,11,HOU,Houston Rockets,Joe Stephens,24.0,2.0,9.0,0.2,0.0,0.33,0.3,,0.3,0.0,0.6,44.0,,93.0,61.0,,56.0,,283.0,-1.9,-2.4
1997,11,HOU,Houston Rockets,Team,,,,0.47,0.51,0.36,0.52,0.75,0.56,0.31,0.28,103.0,106.0,101.0,105.0,102.0,105.0,97.0,131.0,334.1,347.0
1997,11,HOU,Houston Rockets,League Average,,,,0.46,0.48,0.36,0.49,0.74,0.54,0.32,0.21,,,,,,,,,,
