Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1997,24,PHO,Phoenix Suns,Kevin Johnson,30,70,70,2658,6.0,12.1,0.5,1.2,2.7,0.44,4.8,9.3,0.51,5.9,7.0,0.85,0.7,2.7,3.4,8.8,1.4,0.2,2.9,1.9,19.1
1997,24,PHO,Phoenix Suns,Wesley Person,25,80,42,2326,6.3,14.0,0.45,2.6,6.4,0.41,3.7,7.6,0.49,1.4,1.8,0.8,1.1,3.5,4.5,1.9,1.3,0.3,1.2,1.6,16.7
1997,24,PHO,Phoenix Suns,Hot Rod Williams,34,68,66,2137,3.4,7.0,0.49,0.0,0.0,0.0,3.4,7.0,0.49,2.2,3.3,0.67,3.0,6.5,9.5,1.7,1.1,1.5,1.1,3.0,9.1
1997,24,PHO,Phoenix Suns,Danny Manning,30,77,17,2134,7.2,13.4,0.54,0.1,0.6,0.19,7.1,12.8,0.55,3.1,4.2,0.72,2.3,5.6,7.9,2.9,1.4,1.2,2.7,4.5,17.5
1997,24,PHO,Phoenix Suns,Rex Chapman,29,65,33,1833,6.5,14.7,0.44,2.2,6.2,0.35,4.4,8.5,0.51,2.4,2.9,0.83,0.5,3.1,3.6,3.6,1.0,0.1,1.9,2.1,17.6
1997,24,PHO,Phoenix Suns,Jason Kidd,23,33,23,1173,4.2,10.0,0.42,1.2,3.1,0.4,3.0,6.9,0.43,2.0,2.9,0.69,1.0,3.8,4.9,9.1,2.4,0.4,2.3,2.2,11.7
1997,24,PHO,Phoenix Suns,Cedric Ceballos,27,42,32,1147,7.8,16.8,0.46,0.7,2.5,0.26,7.1,14.2,0.5,4.0,5.4,0.74,2.9,5.8,8.7,1.5,0.9,0.5,2.1,3.0,20.2
1997,24,PHO,Phoenix Suns,Mark Bryant,31,41,18,1018,5.4,9.7,0.55,0.0,0.0,,5.4,9.7,0.55,2.7,3.8,0.7,2.4,5.1,7.5,1.7,0.8,0.2,1.6,4.8,13.4
1997,24,PHO,Phoenix Suns,Michael Finley,23,27,18,796,6.4,13.4,0.48,0.6,2.5,0.26,5.7,10.9,0.52,2.5,3.1,0.81,1.5,3.9,5.4,3.1,0.8,0.2,2.0,1.9,15.9
1997,24,PHO,Phoenix Suns,Wayman Tisdale,32,53,15,778,7.3,17.2,0.43,0.0,0.0,,7.3,17.2,0.43,1.4,2.2,0.62,1.6,3.9,5.6,0.9,0.4,1.0,1.7,5.1,16.0
1997,24,PHO,Phoenix Suns,Robert Horry,26,32,15,719,4.1,9.8,0.42,1.2,3.9,0.31,2.9,5.9,0.5,1.6,2.5,0.64,2.0,4.0,6.0,2.7,1.4,1.3,2.3,4.1,11.0
1997,24,PHO,Phoenix Suns,Steve Nash,22,65,2,684,3.9,9.2,0.42,1.2,2.9,0.42,2.7,6.3,0.42,2.2,2.7,0.82,0.8,2.5,3.3,7.3,1.1,0.0,3.3,4.8,11.2
1997,24,PHO,Phoenix Suns,A.C. Green,33,27,19,548,4.0,8.4,0.48,0.0,0.2,0.0,4.0,8.2,0.49,2.0,3.2,0.65,2.2,6.9,9.1,1.1,1.2,0.1,1.3,2.2,10.1
1997,24,PHO,Phoenix Suns,Sam Cassell,27,22,9,539,6.7,16.1,0.42,1.3,4.1,0.31,5.4,12.0,0.45,7.1,8.3,0.86,0.8,2.5,3.3,6.6,1.5,0.4,4.0,4.4,21.7
1997,24,PHO,Phoenix Suns,Loren Meyer,24,35,17,449,5.9,13.3,0.45,0.2,0.4,0.6,5.7,12.9,0.44,3.0,4.2,0.71,3.1,4.6,7.7,1.0,0.4,1.0,2.8,5.9,15.1
1997,24,PHO,Phoenix Suns,Joe Kleine,35,23,10,365,3.2,7.9,0.4,0.1,0.1,1.0,3.1,7.8,0.39,1.3,1.8,0.72,2.1,5.8,7.9,1.2,0.9,0.6,2.0,4.6,7.7
1997,24,PHO,Phoenix Suns,Horacio Llamas Grey,23,20,2,101,5.3,10.0,0.54,0.0,0.0,,5.3,10.0,0.54,1.4,2.9,0.5,1.4,5.0,6.4,1.4,3.6,1.8,3.9,8.9,12.1
1997,24,PHO,Phoenix Suns,Ben Davis,24,20,0,98,3.7,9.6,0.38,0.0,0.0,,3.7,9.6,0.38,3.3,7.3,0.45,4.4,5.5,9.9,0.0,1.5,0.4,1.1,5.9,10.7
1997,24,PHO,Phoenix Suns,Rumeal Robinson,30,12,0,87,6.6,14.1,0.47,1.2,4.1,0.3,5.4,9.9,0.54,0.4,1.7,0.25,0.4,2.5,2.9,3.3,0.4,0.0,2.1,3.3,14.9
1997,24,PHO,Phoenix Suns,Mike Brown,33,6,1,83,2.2,5.2,0.42,0.0,0.0,,2.2,5.2,0.42,2.6,4.3,0.6,3.9,6.9,10.8,2.2,0.4,0.4,0.9,3.9,6.9
1997,24,PHO,Phoenix Suns,Chucky Brown,28,10,0,83,5.6,11.3,0.5,0.0,0.0,,5.6,11.3,0.5,3.5,4.8,0.73,1.3,5.6,6.9,1.7,0.0,0.9,1.7,6.1,14.7
1997,24,PHO,Phoenix Suns,Tony Dumas,24,6,1,51,4.2,13.4,0.32,0.7,2.8,0.25,3.5,10.6,0.33,0.7,1.4,0.5,0.0,1.4,1.4,2.1,0.0,0.7,0.7,6.4,9.9
1997,24,PHO,Phoenix Suns,Dexter Boney,26,8,0,48,4.5,14.2,0.32,0.7,4.5,0.17,3.7,9.7,0.38,4.5,6.0,0.75,2.3,2.3,4.5,0.0,1.5,0.7,0.7,2.3,14.2
