Season,Team ID,Team ABV,Team,PLAYER,AGE,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
2002,2,BOS,Boston Celtics,Paul Pierce,24.0,82.0,3302.0,0.44,0.46,0.4,0.51,0.81,0.57,0.4,0.32,99.0,99.0,114.0,106.0,107.0,110.0,137.0,179.0,99.1,186.8
2002,2,BOS,Boston Celtics,Antoine Walker,25.0,81.0,3406.0,0.39,0.42,0.34,0.46,0.74,0.49,0.19,0.38,89.0,91.0,97.0,96.0,98.0,94.0,65.0,210.0,-57.8,-111.9
2002,2,BOS,Boston Celtics,Kenny Anderson,31.0,76.0,2430.0,0.44,0.44,0.27,0.44,0.74,0.47,0.18,0.05,98.0,95.0,77.0,93.0,99.0,91.0,63.0,25.0,-50.3,-74.5
2002,2,BOS,Boston Celtics,Erick Strickland,28.0,79.0,1643.0,0.39,0.39,0.38,0.49,0.84,0.55,0.32,0.51,87.0,85.0,109.0,102.0,112.0,105.0,108.0,279.0,9.3,27.2
2002,2,BOS,Boston Celtics,Tony Battie,25.0,74.0,1819.0,0.54,0.54,0.0,0.54,0.68,0.57,0.33,0.0,122.0,117.0,,113.0,90.0,110.0,114.0,3.0,49.8,44.7
2002,2,BOS,Boston Celtics,Eric Williams,29.0,74.0,1747.0,0.37,0.4,0.28,0.4,0.73,0.49,0.57,0.22,84.0,86.0,79.0,85.0,97.0,94.0,194.0,123.0,-55.4,-28.9
2002,2,BOS,Boston Celtics,Vitaly Potapenko,26.0,79.0,1343.0,0.46,0.46,,0.46,0.74,0.51,0.4,0.0,102.0,98.0,,95.0,99.0,99.0,136.0,,-13.2,-5.2
2002,2,BOS,Boston Celtics,Joe Johnson,20.0,48.0,1003.0,0.44,0.51,0.27,0.48,0.77,0.49,0.09,0.3,99.0,110.0,77.0,101.0,102.0,95.0,30.0,164.0,1.5,-15.9
2002,2,BOS,Boston Celtics,Rodney Rogers,30.0,27.0,626.0,0.48,0.54,0.41,0.57,0.7,0.59,0.22,0.43,108.0,115.0,116.0,119.0,93.0,113.0,77.0,236.0,41.2,34.1
2002,2,BOS,Boston Celtics,Walter McCarty,27.0,56.0,718.0,0.44,0.51,0.39,0.55,0.68,0.56,0.11,0.55,100.0,109.0,111.0,116.0,91.0,108.0,36.0,303.0,27.2,16.0
2002,2,BOS,Boston Celtics,Tony Delk,28.0,22.0,570.0,0.35,0.38,0.3,0.41,0.73,0.44,0.17,0.39,78.0,82.0,84.0,85.0,97.0,84.0,60.0,215.0,-24.1,-30.7
2002,2,BOS,Boston Celtics,Milt Palacio,23.0,41.0,518.0,0.38,0.4,0.35,0.43,0.71,0.48,0.38,0.25,87.0,85.0,100.0,90.0,94.0,93.0,129.0,139.0,-12.8,-11.8
2002,2,BOS,Boston Celtics,Mark Blount,26.0,44.0,415.0,0.42,0.42,,0.42,0.81,0.51,0.49,0.0,95.0,90.0,,88.0,108.0,98.0,166.0,,-8.5,-2.0
2002,2,BOS,Boston Celtics,Kedrick Brown,20.0,29.0,245.0,0.33,0.42,0.18,0.36,0.6,0.4,0.29,0.39,74.0,90.0,52.0,76.0,80.0,77.0,97.0,213.0,-15.8,-19.0
2002,2,BOS,Boston Celtics,Joseph Forte,20.0,8.0,39.0,0.08,0.11,0.0,0.08,1.0,0.22,0.33,0.25,19.0,24.0,,17.0,133.0,42.0,114.0,138.0,-9.5,-8.3
2002,2,BOS,Boston Celtics,Randy Brown,33.0,1.0,6.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,,,,,,-1.0,-1.0
2002,2,BOS,Boston Celtics,Team,,,,0.42,0.45,0.36,0.48,0.77,0.52,0.3,0.28,95.0,96.0,103.0,100.0,102.0,100.0,104.0,155.0,-25.9,23.8
2002,2,BOS,Boston Celtics,League Average,,,,0.44,0.46,0.35,0.48,0.75,0.52,0.29,0.18,,,,,,,,,,
