Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Ortg,Drtg
2002,3,1604,NJN,New Jersey Nets,Jason Kidd,28,82,82,3056,7.6,19.5,0.39,2.0,6.2,0.32,5.6,13.2,0.42,3.4,4.2,0.81,2.2,8.0,10.2,13.8,3.0,0.3,4.9,2.3,20.7,103,98
2002,3,1630,NJN,New Jersey Nets,Kerry Kittles,27,82,82,2601,8.8,18.9,0.47,2.0,4.9,0.4,6.8,14.0,0.49,2.6,3.5,0.74,1.4,4.2,5.5,4.3,2.6,0.6,2.2,2.2,22.2,109,101
2002,3,1859,NJN,New Jersey Nets,Kenyon Martin,24,73,73,2504,9.3,20.1,0.46,0.3,1.4,0.22,9.0,18.7,0.48,3.8,5.6,0.68,2.4,5.7,8.1,4.0,1.9,2.5,3.6,5.5,22.7,98,99
2002,3,2950,NJN,New Jersey Nets,Keith Van Horn,26,81,81,2465,10.0,23.1,0.43,2.1,6.2,0.34,7.8,16.9,0.46,3.3,4.1,0.8,2.9,10.0,12.9,3.5,1.3,0.9,3.1,4.7,25.4,102,99
2002,3,1444,NJN,New Jersey Nets,Richard Jefferson,21,79,9,1917,7.4,16.1,0.46,0.4,1.5,0.23,7.0,14.6,0.48,5.2,7.2,0.71,2.3,5.7,8.0,3.8,1.7,1.3,2.9,5.8,20.2,104,101
2002,3,1204,NJN,New Jersey Nets,Lucious Harris,31,74,0,1553,8.4,18.1,0.46,1.5,4.0,0.37,6.9,14.1,0.49,4.5,5.3,0.84,1.6,5.3,7.0,3.9,1.8,0.2,2.1,3.3,22.7,113,102
2002,3,3125,NJN,New Jersey Nets,Aaron Williams,30,82,13,1546,7.8,14.8,0.53,0.0,0.1,0.0,7.8,14.8,0.53,4.4,6.3,0.7,3.9,7.6,11.5,2.6,1.0,2.6,2.7,7.2,20.0,111,100
2002,3,1794,NJN,New Jersey Nets,Todd MacCulloch,26,62,61,1502,8.6,16.2,0.53,0.0,0.0,,8.6,16.2,0.53,3.8,5.7,0.67,5.5,7.7,13.2,2.7,0.8,3.1,2.3,6.3,21.0,114,99
2002,3,572,NJN,New Jersey Nets,Jason Collins,23,77,9,1407,4.3,10.3,0.42,0.0,0.1,0.5,4.3,10.3,0.42,4.3,6.1,0.7,4.9,6.3,11.2,3.0,1.1,1.7,2.7,6.4,13.0,104,101
2002,3,1464,NJN,New Jersey Nets,Anthony Johnson,27,34,0,366,5.3,12.9,0.41,0.6,1.7,0.33,4.7,11.1,0.42,2.3,3.6,0.64,1.4,2.7,4.1,6.9,4.4,0.1,2.9,4.3,13.4,97,98
2002,3,2565,NJN,New Jersey Nets,Brian Scalabrine,23,28,0,290,4.1,12.1,0.34,0.5,1.8,0.3,3.6,10.3,0.35,2.0,2.7,0.73,2.2,7.0,9.2,3.8,1.6,0.4,4.3,7.0,10.8,77,101
2002,3,736,NJN,New Jersey Nets,Derrick Dial,26,25,0,249,6.3,19.7,0.32,0.0,1.5,0.0,6.3,18.3,0.34,2.7,3.8,0.72,2.5,6.9,9.4,6.5,1.7,0.8,2.7,2.5,15.3,85,101
2002,3,108,NJN,New Jersey Nets,Brandon Armstrong,21,35,0,196,7.2,22.7,0.32,1.3,4.5,0.29,5.9,18.1,0.32,1.3,2.7,0.5,2.7,1.6,4.3,2.1,1.9,0.3,2.1,6.9,17.1,79,104
2002,3,1842,NJN,New Jersey Nets,Donny Marshall,29,20,0,118,3.5,12.9,0.28,0.9,1.8,0.5,2.7,11.1,0.24,5.3,8.0,0.67,3.5,5.8,9.3,2.2,1.3,0.0,0.9,6.2,13.3,100,103
2002,3,1057,NJN,New Jersey Nets,Steve Goodrich,25,9,0,50,2.1,10.5,0.2,0.0,0.0,,2.1,10.5,0.2,1.0,2.1,0.5,1.0,4.2,5.2,5.2,1.0,2.1,3.1,10.5,5.2,59,102
2002,3,2656,NJN,New Jersey Nets,Reggie Slater,31,4,0,10,10.5,10.5,1.0,0.0,0.0,,10.5,10.5,1.0,5.2,5.2,1.0,0.0,10.5,10.5,0.0,0.0,0.0,5.2,5.2,26.1,124,102
