Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
2004,20,NYK,New York Knicks,Stephon Marbury,26,47,47,39.1,7.1,16.6,0.43,1.1,3.3,0.32,6.1,13.3,0.46,0.46,4.4,5.3,0.83,0.8,2.3,3.1,9.3,1.4,0.1,3.2,2.1,19.8
2004,20,NYK,New York Knicks,Allan Houston,32,50,50,36.0,6.8,15.6,0.44,1.7,4.0,0.43,5.1,11.6,0.44,0.49,3.1,3.4,0.91,0.4,2.0,2.4,2.0,0.8,0.0,2.0,2.1,18.5
2004,20,NYK,New York Knicks,Keith Van Horn,28,47,47,33.5,5.8,13.0,0.44,1.3,3.4,0.37,4.5,9.6,0.47,0.49,3.5,4.2,0.82,2.1,5.2,7.3,1.8,1.1,0.4,2.5,3.2,16.4
2004,20,NYK,New York Knicks,Kurt Thomas,31,80,75,31.9,4.9,10.4,0.47,0.0,0.0,0.0,4.9,10.3,0.48,0.47,1.3,1.6,0.84,1.8,6.5,8.3,1.9,0.7,1.0,1.7,3.7,11.1
2004,20,NYK,New York Knicks,Tim Thomas,26,24,23,31.1,5.7,12.6,0.45,1.1,2.7,0.41,4.6,10.0,0.46,0.5,3.3,4.0,0.81,1.1,3.7,4.8,1.4,1.0,0.2,1.8,2.9,15.8
2004,20,NYK,New York Knicks,Anfernee Hardaway,32,42,4,29.0,3.8,9.7,0.39,0.4,1.0,0.36,3.4,8.7,0.39,0.41,1.6,2.1,0.78,1.0,3.5,4.5,1.9,1.0,0.3,1.5,1.9,9.6
2004,20,NYK,New York Knicks,Nazr Mohammed,26,27,23,24.9,4.0,7.1,0.56,0.0,0.0,,4.0,7.1,0.56,0.56,1.1,2.2,0.52,2.9,4.8,7.7,0.6,1.2,0.9,1.5,3.0,9.1
2004,20,NYK,New York Knicks,Shandon Anderson,30,80,37,24.7,3.0,7.1,0.42,0.5,1.6,0.28,2.5,5.5,0.46,0.45,1.5,2.0,0.76,0.7,2.1,2.8,1.5,0.9,0.2,1.5,2.3,7.9
2004,20,NYK,New York Knicks,Charlie Ward,33,35,10,23.6,3.3,7.4,0.44,1.7,3.9,0.43,1.6,3.5,0.46,0.56,0.5,0.6,0.76,0.3,2.5,2.7,4.9,1.3,0.2,2.0,2.1,8.7
2004,20,NYK,New York Knicks,Antonio McDyess,29,18,6,23.4,3.6,7.9,0.46,0.0,0.0,,3.6,7.9,0.46,0.46,1.2,2.1,0.58,1.7,4.9,6.6,1.1,0.7,0.6,1.5,2.6,8.4
2004,20,NYK,New York Knicks,Dikembe Mutombo,37,65,56,23.0,2.2,4.5,0.48,0.0,0.0,,2.2,4.5,0.48,0.48,1.2,1.8,0.68,2.2,4.5,6.7,0.4,0.3,1.9,0.8,2.2,5.6
2004,20,NYK,New York Knicks,Howard Eisley,31,33,23,22.1,2.4,6.1,0.4,0.8,2.6,0.33,1.6,3.5,0.44,0.46,1.0,1.1,0.89,0.2,1.8,2.0,4.7,0.9,0.1,1.5,2.6,6.7
2004,20,NYK,New York Knicks,Vin Baker,32,17,0,18.4,2.4,5.8,0.4,0.1,0.1,0.5,2.3,5.7,0.4,0.41,1.9,2.6,0.71,2.1,2.0,4.1,0.7,0.4,0.5,1.5,3.6,6.6
2004,20,NYK,New York Knicks,Othella Harrington,30,56,3,15.6,1.8,3.6,0.5,0.0,0.0,,1.8,3.6,0.5,0.5,1.0,1.4,0.74,1.0,2.1,3.2,0.5,0.2,0.3,1.2,2.4,4.6
2004,20,NYK,New York Knicks,Michael Doleac,26,46,0,14.9,2.2,4.9,0.44,0.0,0.0,,2.2,4.9,0.44,0.44,0.7,0.8,0.86,1.3,2.8,4.1,0.7,0.4,0.7,0.8,1.8,5.0
2004,20,NYK,New York Knicks,Clarence Weatherspoon,33,15,1,14.4,1.2,2.7,0.45,0.0,0.0,,1.2,2.7,0.45,0.45,1.2,1.3,0.95,0.9,2.4,3.3,0.9,0.5,0.1,0.6,1.3,3.6
2004,20,NYK,New York Knicks,DerMarr Johnson,23,21,1,13.7,1.7,4.6,0.37,0.6,1.7,0.36,1.1,2.9,0.38,0.44,1.3,1.5,0.9,0.2,1.6,1.9,0.5,0.4,0.3,0.8,1.5,5.4
2004,20,NYK,New York Knicks,Frank Williams,23,56,3,12.8,1.4,3.7,0.38,0.3,1.1,0.3,1.1,2.6,0.42,0.43,0.7,0.9,0.85,0.1,0.8,0.9,2.2,0.4,0.1,1.1,1.0,3.9
2004,20,NYK,New York Knicks,Moochie Norris,30,36,0,12.4,1.5,3.6,0.41,0.3,1.0,0.34,1.1,2.6,0.43,0.45,1.0,1.3,0.77,0.2,0.8,1.0,2.0,0.8,0.1,0.9,1.0,4.3
2004,20,NYK,New York Knicks,Mike Sweetney,21,42,1,11.8,1.6,3.3,0.49,0.0,0.0,0.0,1.6,3.3,0.5,0.49,1.0,1.4,0.72,1.6,2.1,3.7,0.3,0.4,0.3,0.8,1.4,4.3
2004,20,NYK,New York Knicks,Bruno Sundov,23,1,0,4.0,1.0,1.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0
2004,20,NYK,New York Knicks,Cezary Trybanski,24,3,0,1.7,0.0,0.7,0.0,0.0,0.0,,0.0,0.7,0.0,0.0,0.3,0.7,0.5,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.7,0.3
