Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2005,16,2069,MIA,Miami Heat,Alonzo Mourning,34,19,245,18.9,0.55,0.0,0.89,10.9,22.4,16.9,2.5,0.6,9.9,12.2,18.7,0.3,0.5,0.9,0.17,-0.5,3.2,2.7,0.3
2005,16,1676,MIA,Miami Heat,Christian Laettner,35,49,739,16.3,0.62,0.04,0.32,5.9,14.4,10.3,8.8,2.3,1.5,12.1,15.1,1.5,1.2,2.7,0.17,0.1,1.9,1.9,0.7
2005,16,1534,MIA,Miami Heat,Damon Jones,28,82,2576,15.5,0.62,0.72,0.12,0.7,9.5,5.2,21.0,0.9,0.1,11.4,15.6,6.5,2.3,8.7,0.16,3.3,-0.3,3.0,3.2
2005,16,3241,MIA,Miami Heat,Dorell Wright,19,3,27,5.2,0.31,0.36,0.09,0.0,4.2,2.2,16.7,7.8,0.0,20.8,24.9,-0.1,0.1,-0.1,-0.13,-9.0,1.7,-7.2,0.0
2005,16,2989,MIA,Miami Heat,Dwyane Wade,23,77,2974,23.1,0.56,0.03,0.58,4.5,10.8,7.8,31.0,2.2,2.0,16.3,30.9,6.7,4.3,11.0,0.18,3.9,0.7,4.6,4.9
2005,16,1542,MIA,Miami Heat,Eddie Jones,33,80,2839,13.6,0.56,0.47,0.26,1.6,14.5,8.3,11.5,1.6,1.0,9.8,16.6,4.2,3.8,8.0,0.14,0.1,1.1,1.2,2.3
2005,16,759,MIA,Miami Heat,Keyon Dooling,24,74,1184,10.1,0.49,0.22,0.32,1.1,7.5,4.4,17.0,1.7,0.7,14.2,18.0,0.2,1.3,1.5,0.06,-3.0,0.4,-2.7,-0.2
2005,16,52,MIA,Miami Heat,Malik Allen,26,14,248,13.6,0.5,0.0,0.18,11.8,12.7,12.2,7.0,0.9,3.3,11.8,17.5,0.3,0.3,0.6,0.11,-1.3,-0.3,-1.6,0.0
2005,16,755,MIA,Miami Heat,Michael Doleac,27,80,1175,9.7,0.46,0.01,0.12,7.7,17.7,12.9,6.2,1.0,1.4,9.3,15.3,0.2,1.6,1.9,0.08,-3.5,0.1,-3.4,-0.4
2005,16,3226,MIA,Miami Heat,Qyntel Woods,23,3,40,7.7,0.42,0.0,0.0,6.1,11.2,8.8,0.0,5.3,0.0,14.3,16.3,-0.1,0.1,0.0,0.02,-6.9,1.3,-5.6,0.0
2005,16,441,MIA,Miami Heat,Rasual Butler,25,65,1203,10.3,0.49,0.37,0.12,1.5,12.7,7.3,8.1,0.8,1.8,7.9,18.1,0.3,1.4,1.7,0.07,-1.3,-0.2,-1.5,0.1
2005,16,84,MIA,Miami Heat,Shandon Anderson,31,65,1151,9.2,0.52,0.13,0.31,4.2,14.6,9.6,8.8,1.8,0.9,16.7,11.9,0.5,1.6,2.2,0.09,-3.0,1.6,-1.4,0.2
2005,16,2177,MIA,Miami Heat,Shaquille O'Neal,32,73,2492,27.0,0.58,0.0,0.7,12.4,22.8,17.8,15.7,0.8,5.0,12.4,30.5,6.4,4.6,11.0,0.21,4.1,1.2,5.3,4.6
2005,16,2703,MIA,Miami Heat,Steve Smith,35,13,114,7.0,0.37,0.5,0.1,2.1,13.8,8.2,17.6,0.9,0.0,8.7,14.0,-0.1,0.1,0.1,0.03,-3.6,-0.3,-3.9,-0.1
2005,16,1221,MIA,Miami Heat,Udonis Haslem,24,80,2675,15.5,0.59,0.01,0.35,10.9,20.4,15.8,6.3,1.2,1.1,13.2,14.9,5.2,4.0,9.2,0.16,0.2,0.3,0.4,1.6
2005,16,3271,MIA,Miami Heat,Wang Zhizhi,27,20,92,16.3,0.52,0.08,0.33,7.9,14.6,11.4,9.2,1.7,1.6,10.8,23.4,0.1,0.1,0.2,0.11,-0.3,-0.1,-0.4,0.0
2005,16,2291,MIA,Miami Heat,Wesley Person,33,16,206,10.5,0.53,0.37,0.07,0.6,11.4,6.2,8.2,1.5,0.0,10.6,14.9,0.1,0.2,0.3,0.08,-0.9,0.5,-0.4,0.1
