SEASON,TEAM ID,TEAM,PLAYER,AGE,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
2006,17,MIL,Michael Redd,26.0,80.0,3130.0,0.45,0.47,0.4,0.5,0.88,0.57,0.38,0.27,99.0,98.0,110.0,103.0,118.0,107.0,113.0,135.0,41.4,135.0
2006,17,MIL,Bobby Simmons,25.0,75.0,2538.0,0.45,0.47,0.42,0.52,0.82,0.56,0.25,0.31,100.0,98.0,117.0,106.0,111.0,104.0,74.0,153.0,45.2,42.2
2006,17,MIL,T.J. Ford,22.0,72.0,2557.0,0.42,0.43,0.34,0.44,0.75,0.49,0.31,0.13,92.0,89.0,94.0,89.0,101.0,91.0,94.0,65.0,-82.2,-84.0
2006,17,MIL,Andrew Bogut,21.0,82.0,2348.0,0.53,0.54,0.0,0.53,0.63,0.56,0.32,0.0,117.0,112.0,,109.0,84.0,104.0,96.0,2.0,52.2,27.4
2006,17,MIL,Jamaal Magloire,27.0,82.0,2465.0,0.47,0.47,,0.47,0.53,0.49,0.54,0.0,103.0,98.0,,95.0,72.0,92.0,163.0,,-28.7,-63.7
2006,17,MIL,Mo Williams,23.0,58.0,1531.0,0.42,0.44,0.38,0.48,0.85,0.52,0.18,0.3,94.0,93.0,107.0,98.0,114.0,97.0,54.0,150.0,-9.4,-24.0
2006,17,MIL,Charlie Bell,26.0,59.0,1283.0,0.44,0.45,0.42,0.53,0.71,0.55,0.22,0.41,97.0,94.0,118.0,107.0,95.0,103.0,65.0,203.0,29.2,12.9
2006,17,MIL,Dan Gadzuric,27.0,74.0,885.0,0.55,0.56,0.0,0.55,0.46,0.55,0.29,0.0,122.0,116.0,,113.0,62.0,103.0,87.0,2.0,39.2,10.1
2006,17,MIL,Joe Smith,30.0,44.0,887.0,0.48,0.48,0.0,0.48,0.77,0.53,0.38,0.01,105.0,100.0,,97.0,104.0,99.0,113.0,3.0,-8.9,-1.9
2006,17,MIL,Toni Kukoc,37.0,65.0,1018.0,0.39,0.47,0.31,0.46,0.71,0.49,0.19,0.49,86.0,98.0,85.0,95.0,96.0,92.0,56.0,244.0,-15.0,-28.6
2006,17,MIL,Jiri Welsch,26.0,58.0,866.0,0.39,0.42,0.29,0.42,0.75,0.48,0.39,0.22,85.0,87.0,80.0,85.0,100.0,90.0,118.0,109.0,-31.5,-27.8
2006,17,MIL,Jermaine Jackson,29.0,30.0,202.0,0.42,0.46,0.25,0.44,0.86,0.54,0.54,0.15,93.0,95.0,70.0,90.0,115.0,102.0,162.0,76.0,-2.5,0.6
2006,17,MIL,Ervin Johnson,38.0,18.0,81.0,0.41,0.41,,0.41,0.5,0.42,0.12,0.0,91.0,86.0,,84.0,67.0,78.0,35.0,,-2.7,-4.2
2006,17,MIL,Reece Gaines,25.0,12.0,54.0,0.5,0.6,0.0,0.5,0.25,0.47,0.33,0.17,110.0,126.0,,102.0,34.0,88.0,100.0,82.0,0.2,-1.7
2006,17,MIL,Josh Davis,25.0,4.0,12.0,0.25,0.33,0.0,0.25,,0.25,0.0,0.25,55.0,70.0,,51.0,,47.0,,124.0,-1.9,-2.3
2006,17,MIL,Team,,,,0.45,0.47,0.38,0.49,0.74,0.54,0.32,0.2,100.0,99.0,106.0,100.0,99.0,100.0,97.0,100.0,26.6,-7.9
2006,17,MIL,League Average,,,,0.45,0.48,0.36,0.49,0.74,0.54,0.33,0.2,,,,,,,,,,
