Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2006,3,NJN,New Jersey Nets,Richard Jefferson,25,78,3059,18.9,0.6,0.19,0.58,3.6,17.1,10.2,18.0,1.0,0.5,12.1,22.1,7.6,4.1,11.7,0.18,2.6,0.5,3.1,3.9,1444
2006,3,NJN,New Jersey Nets,Jason Kidd,32,80,2975,19.2,0.53,0.44,0.27,3.3,19.8,11.4,39.0,2.7,0.8,15.9,19.1,4.5,5.6,10.1,0.16,2.8,2.6,5.4,5.5,1604
2006,3,NJN,New Jersey Nets,Vince Carter,29,79,2906,21.6,0.54,0.24,0.4,5.4,13.4,9.3,24.4,1.7,1.5,10.7,32.3,4.9,4.4,9.3,0.15,4.5,0.5,5.1,5.2,492
2006,3,NJN,New Jersey Nets,Nenad Krstic,22,80,2469,14.4,0.54,0.0,0.3,8.5,15.9,12.2,6.8,0.7,2.1,11.8,21.6,2.0,3.4,5.4,0.1,-1.9,-0.4,-2.2,-0.1,1657
2006,3,NJN,New Jersey Nets,Jason Collins,27,71,1895,5.5,0.42,0.05,0.33,5.7,15.6,10.6,5.7,1.3,1.7,16.9,9.0,-0.9,2.9,2.0,0.05,-5.3,1.5,-3.8,-0.9,572
2006,3,NJN,New Jersey Nets,Clifford Robinson,39,80,1863,9.6,0.5,0.34,0.15,3.4,13.5,8.4,8.2,1.3,1.7,10.2,15.4,0.2,2.7,2.8,0.07,-2.7,0.7,-1.9,0.1,2470
2006,3,NJN,New Jersey Nets,Jacque Vaughn,30,80,1234,7.5,0.49,0.02,0.33,1.5,7.2,4.3,16.2,1.8,0.1,15.6,12.7,0.0,1.5,1.5,0.06,-5.3,1.1,-4.1,-0.7,2963
2006,3,NJN,New Jersey Nets,Scott Padgett,29,62,718,12.5,0.49,0.6,0.17,9.0,18.1,13.5,9.5,2.1,1.4,8.9,15.5,0.6,1.3,1.8,0.12,-0.9,0.8,-0.2,0.3,2234
2006,3,NJN,New Jersey Nets,Zoran Planinic,23,56,596,6.9,0.45,0.31,0.36,2.7,12.0,7.3,15.0,1.8,0.5,16.9,20.2,-0.8,0.8,0.1,0.0,-6.1,0.4,-5.7,-0.6,2316
2006,3,NJN,New Jersey Nets,Lamond Murray,32,57,576,10.8,0.49,0.43,0.22,5.8,21.3,13.4,3.9,1.6,1.0,10.0,18.0,-0.1,1.0,0.9,0.08,-2.8,-0.2,-3.0,-0.1,2090
2006,3,NJN,New Jersey Nets,Jeff McInnis,31,28,486,9.2,0.48,0.11,0.2,2.6,9.5,6.0,18.7,1.2,0.3,15.7,17.9,-0.2,0.6,0.3,0.03,-2.9,-0.3,-3.3,-0.2,1938
2006,3,NJN,New Jersey Nets,Marc Jackson,31,37,433,10.7,0.5,0.0,0.32,8.0,16.2,12.1,9.2,0.6,1.1,14.2,21.4,0.0,0.6,0.6,0.06,-4.0,-0.7,-4.6,-0.3,1407
2006,3,NJN,New Jersey Nets,Antoine Wright,21,39,370,0.7,0.39,0.18,0.27,2.5,7.1,4.8,5.2,0.6,0.7,18.8,14.2,-0.8,0.3,-0.5,-0.06,-7.9,-0.9,-8.8,-0.6,3234
2006,3,NJN,New Jersey Nets,Bostjan Nachbar,25,11,97,6.9,0.44,0.44,0.25,4.8,8.6,6.6,8.9,1.7,0.0,10.1,19.2,-0.1,0.1,0.0,0.02,-6.4,-1.7,-8.1,-0.1,2105
2006,3,NJN,New Jersey Nets,John Thomas,30,2,36,3.5,0.17,0.0,0.0,22.5,9.9,16.3,0.0,1.5,2.2,25.0,10.5,-0.1,0.1,0.0,-0.03,-9.2,-4.9,-14.1,-0.1,2851
2006,3,NJN,New Jersey Nets,Linton Johnson,25,9,35,4.4,0.47,0.0,0.4,0.0,23.8,11.7,10.2,3.1,0.0,25.4,21.2,-0.1,0.1,0.0,-0.06,-9.0,1.8,-7.2,0.0,1502
2006,3,NJN,New Jersey Nets,Derrick Zimmerman,24,2,32,5.5,0.67,0.0,0.0,3.6,11.2,7.3,34.2,0.0,0.0,57.1,10.3,0.0,0.0,0.0,0.0,-7.7,-2.7,-10.4,-0.1,3273
