Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
2006,27,SAS,San Antonio Spurs,Tim Duncan,29,80,80,34.8,7.2,14.8,0.48,0.0,0.1,0.4,7.2,14.8,0.48,0.48,4.2,6.7,0.63,2.9,8.1,11.0,3.2,0.9,2.0,2.5,2.7,18.6
2006,27,SAS,San Antonio Spurs,Tony Parker,23,80,80,33.9,7.8,14.2,0.55,0.1,0.5,0.31,7.7,13.8,0.56,0.55,3.2,4.5,0.71,0.5,2.8,3.3,5.8,1.0,0.1,3.1,2.0,18.9
2006,27,SAS,San Antonio Spurs,Bruce Bowen,34,82,82,33.6,2.8,6.5,0.43,1.3,3.0,0.42,1.6,3.5,0.44,0.53,0.6,1.0,0.61,0.4,3.5,3.9,1.5,1.0,0.4,0.8,2.3,7.5
2006,27,SAS,San Antonio Spurs,Manu Ginobili,28,65,56,27.9,4.8,10.3,0.46,1.3,3.3,0.38,3.5,7.0,0.5,0.52,4.3,5.5,0.78,0.6,2.9,3.5,3.6,1.6,0.4,1.9,2.4,15.1
2006,27,SAS,San Antonio Spurs,Michael Finley,32,77,18,26.5,3.7,9.0,0.41,1.4,3.6,0.39,2.3,5.4,0.42,0.49,1.3,1.5,0.85,0.4,2.8,3.2,1.5,0.5,0.1,0.8,1.3,10.1
2006,27,SAS,San Antonio Spurs,Rasho Nesterovic,29,80,51,18.9,2.2,4.2,0.52,0.0,0.0,0.0,2.2,4.2,0.52,0.52,0.2,0.4,0.6,1.4,2.4,3.9,0.4,0.3,1.1,0.7,2.6,4.5
2006,27,SAS,San Antonio Spurs,Robert Horry,35,63,3,18.8,1.8,4.6,0.38,0.8,2.3,0.37,0.9,2.3,0.4,0.47,0.7,1.1,0.65,1.1,2.7,3.8,1.3,0.7,0.8,0.7,1.8,5.1
2006,27,SAS,San Antonio Spurs,Nazr Mohammed,28,80,30,17.4,2.4,4.7,0.5,0.0,0.0,,2.4,4.7,0.5,0.5,1.4,1.8,0.78,2.0,3.2,5.2,0.5,0.3,0.6,1.1,2.8,6.2
2006,27,SAS,San Antonio Spurs,Brent Barry,34,74,5,17.0,2.1,4.7,0.45,1.1,2.7,0.4,1.0,1.9,0.53,0.57,0.5,0.8,0.66,0.4,1.8,2.1,1.7,0.5,0.4,0.7,1.3,5.8
2006,27,SAS,San Antonio Spurs,Nick Van Exel,34,65,2,15.2,2.1,5.3,0.4,0.8,2.4,0.36,1.2,2.9,0.43,0.48,0.4,0.6,0.68,0.1,1.3,1.4,1.9,0.2,0.0,0.9,0.9,5.5
2006,27,SAS,San Antonio Spurs,Beno Udrih,23,54,3,10.9,2.0,4.3,0.46,0.4,1.3,0.34,1.5,3.0,0.5,0.51,0.7,0.9,0.78,0.3,0.6,1.0,1.7,0.3,0.0,1.0,1.0,5.1
2006,27,SAS,San Antonio Spurs,Fabricio Oberto,30,59,0,8.3,0.7,1.6,0.47,0.0,0.0,0.0,0.7,1.5,0.48,0.47,0.3,0.5,0.56,1.0,1.1,2.1,0.5,0.2,0.2,0.5,1.5,1.7
2006,27,SAS,San Antonio Spurs,Sean Marks,30,25,0,7.2,1.5,2.8,0.52,0.0,0.1,0.0,1.5,2.7,0.54,0.52,0.3,0.5,0.58,0.5,1.2,1.7,0.3,0.2,0.3,0.3,0.8,3.2
2006,27,SAS,San Antonio Spurs,Melvin Sanders,25,16,0,7.1,1.0,2.1,0.48,0.1,0.2,0.67,0.9,1.9,0.47,0.52,0.4,0.6,0.7,0.3,1.2,1.4,0.2,0.3,0.0,0.5,1.3,2.6
2006,27,SAS,San Antonio Spurs,Alex Scales,27,1,0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
