Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2006,6,CLE,Cleveland Cavaliers,LeBron James,21,79,79,3361,9.4,19.5,0.48,1.4,4.1,0.34,8.0,15.5,0.52,6.4,8.7,0.74,0.8,5.2,6.0,5.6,1.3,0.7,2.8,1.9,26.5,1428
2006,6,CLE,Cleveland Cavaliers,Eric Snow,32,82,82,2351,2.5,6.1,0.41,0.0,0.2,0.1,2.5,6.0,0.42,1.0,1.4,0.69,0.6,2.5,3.0,5.3,1.2,0.3,1.8,3.3,6.0,2713
2006,6,CLE,Cleveland Cavaliers,Zydrunas Ilgauskas,30,78,78,2283,7.1,14.0,0.51,0.0,0.1,0.0,7.1,13.9,0.51,5.0,6.0,0.83,3.9,5.5,9.3,1.4,0.6,2.1,2.4,4.4,19.2,1377
2006,6,CLE,Cleveland Cavaliers,Drew Gooden,24,79,79,2174,5.5,10.8,0.51,0.0,0.0,0.33,5.5,10.7,0.51,2.9,4.3,0.68,3.9,7.1,11.0,0.9,0.9,0.8,1.8,3.1,14.0,1056
2006,6,CLE,Cleveland Cavaliers,Damon Jones,29,82,7,2089,3.3,8.5,0.39,2.4,6.4,0.38,0.9,2.1,0.42,0.6,0.9,0.64,0.2,2.1,2.3,2.9,0.6,0.0,0.9,1.9,9.5,1534
2006,6,CLE,Cleveland Cavaliers,Donyell Marshall,32,81,0,2077,4.6,11.6,0.4,2.2,6.8,0.32,2.4,4.8,0.5,1.6,2.1,0.75,1.8,6.7,8.5,1.0,1.0,0.7,1.6,2.8,13.0,1843
2006,6,CLE,Cleveland Cavaliers,Larry Hughes,27,36,31,1281,5.4,13.2,0.41,0.8,2.1,0.37,4.6,11.0,0.42,4.1,5.4,0.76,0.7,3.8,4.5,3.7,1.5,0.6,2.8,3.3,15.7,1355
2006,6,CLE,Cleveland Cavaliers,Ronald Murray,26,28,25,1027,5.0,11.1,0.45,0.7,2.3,0.31,4.3,8.8,0.48,2.6,3.6,0.7,0.5,1.8,2.3,2.7,1.3,0.2,2.0,2.2,13.2,2091
2006,6,CLE,Cleveland Cavaliers,Sasha Pavlovic,22,53,19,813,3.9,9.4,0.41,1.5,4.3,0.36,2.3,5.1,0.45,1.4,2.2,0.65,0.7,2.8,3.5,1.1,0.8,0.3,1.9,4.6,10.7,2263
2006,6,CLE,Cleveland Cavaliers,Anderson Varejao,23,48,4,760,3.7,7.1,0.53,0.0,0.0,0.0,3.7,7.1,0.53,2.9,5.6,0.51,3.6,7.5,11.1,0.9,1.5,0.9,1.3,5.6,10.4,2958
2006,6,CLE,Cleveland Cavaliers,Alan Henderson,33,51,3,531,3.2,6.2,0.52,0.0,0.0,,3.2,6.2,0.52,2.2,3.3,0.67,4.1,5.2,9.3,0.7,0.6,0.8,1.5,3.9,8.6,1247
2006,6,CLE,Cleveland Cavaliers,Ira Newble,31,36,3,353,1.7,5.8,0.3,0.3,1.3,0.23,1.4,4.5,0.32,1.1,1.6,0.69,2.1,3.6,5.7,0.9,0.5,1.0,1.2,4.8,4.9,2134
2006,6,CLE,Cleveland Cavaliers,Luke Jackson,24,36,0,315,3.3,9.7,0.34,1.4,4.1,0.33,1.9,5.6,0.35,3.0,3.8,0.79,1.8,2.7,4.6,2.9,1.3,0.2,3.5,3.4,11.0,1406
2006,6,CLE,Cleveland Cavaliers,Mike Wilks,26,37,0,243,2.5,8.7,0.29,0.3,2.1,0.14,2.2,6.7,0.33,0.9,1.8,0.5,0.9,3.1,4.0,2.7,1.2,0.1,2.2,4.0,6.2,3124
2006,6,CLE,Cleveland Cavaliers,Stephen Graham,23,13,0,117,4.3,10.2,0.42,0.0,0.3,0.0,4.3,9.8,0.44,2.5,2.8,0.89,1.2,4.0,5.2,0.9,0.9,0.6,2.2,7.1,11.1,1073
2006,6,CLE,Cleveland Cavaliers,Zendon Hamilton,30,11,0,46,5.5,10.2,0.54,0.0,0.0,,5.5,10.2,0.54,8.6,12.5,0.69,2.3,6.3,8.6,0.0,2.3,0.0,4.7,3.1,19.6,1164
2006,6,CLE,Cleveland Cavaliers,Martynas Andriuskevicius,19,6,0,9,0.0,4.0,0.0,0.0,0.0,,0.0,4.0,0.0,0.0,0.0,,4.0,12.0,16.0,0.0,8.0,0.0,0.0,4.0,0.0,86
