Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2007,13,LAC,Los Angeles Clippers,Elton Brand,27,80,80,3077,7.5,14.2,0.53,0.0,0.0,1.0,7.5,14.2,0.53,4.1,5.4,0.76,3.1,5.6,8.7,2.7,0.9,2.1,2.4,2.8,19.2,333
2007,13,LAC,Los Angeles Clippers,Cuttino Mobley,31,78,73,2841,4.9,11.2,0.44,1.3,3.1,0.41,3.6,8.1,0.45,2.5,3.0,0.84,0.7,2.7,3.4,2.5,1.2,0.3,1.8,2.4,13.6,2018
2007,13,LAC,Los Angeles Clippers,Corey Maggette,27,75,31,2291,5.8,12.7,0.45,0.2,1.0,0.2,5.6,11.7,0.48,8.2,9.9,0.82,1.4,5.5,6.9,3.3,1.0,0.2,3.2,3.8,19.9,1812
2007,13,LAC,Los Angeles Clippers,Chris Kaman,24,75,66,2176,4.9,10.8,0.45,0.0,0.0,0.0,4.9,10.8,0.45,2.7,3.7,0.74,2.6,7.1,9.7,1.3,0.7,1.9,2.4,4.2,12.5,1577
2007,13,LAC,Los Angeles Clippers,Tim Thomas,29,76,24,2054,5.2,12.7,0.41,2.4,6.2,0.38,2.9,6.4,0.44,1.8,2.5,0.71,1.1,5.5,6.6,3.0,1.0,0.5,1.9,4.0,14.7,2858
2007,13,LAC,Los Angeles Clippers,Quinton Ross,25,81,43,1700,3.7,8.0,0.47,0.0,0.2,0.2,3.7,7.8,0.47,1.4,1.8,0.78,1.3,2.8,4.0,1.8,1.5,0.7,0.7,3.8,9.0,2509
2007,13,LAC,Los Angeles Clippers,Shaun Livingston,21,54,31,1611,4.6,10.0,0.46,0.1,0.4,0.31,4.5,9.7,0.47,1.8,2.6,0.71,1.3,2.9,4.1,6.1,1.3,0.6,2.4,3.0,11.2,1758
2007,13,LAC,Los Angeles Clippers,Sam Cassell,37,58,30,1407,6.7,16.0,0.42,0.8,2.8,0.29,5.9,13.2,0.44,4.1,4.7,0.88,0.7,3.6,4.3,6.9,0.7,0.2,2.6,3.2,18.3,497
2007,13,LAC,Los Angeles Clippers,Jason Hart,28,23,22,746,4.1,9.4,0.44,0.2,1.1,0.17,3.9,8.3,0.47,1.5,1.7,0.89,0.6,3.4,4.0,4.5,2.0,0.0,1.6,2.9,9.9,1215
2007,13,LAC,Los Angeles Clippers,Daniel Ewing,23,61,3,712,3.3,8.1,0.4,0.7,2.2,0.32,2.6,5.9,0.44,1.8,2.3,0.78,0.5,3.2,3.7,4.6,1.6,0.2,2.5,3.1,9.1,882
2007,13,LAC,Los Angeles Clippers,James Singleton,25,53,0,376,2.9,7.9,0.37,0.3,1.3,0.21,2.6,6.5,0.4,2.1,2.8,0.76,3.4,6.7,10.1,1.6,1.4,1.6,1.6,4.3,8.1,2648
2007,13,LAC,Los Angeles Clippers,Aaron Williams,35,38,7,374,2.8,5.1,0.55,0.0,0.1,0.0,2.8,5.0,0.56,1.7,2.1,0.82,2.6,5.6,8.2,0.7,0.7,1.3,1.7,5.4,7.3,3125
2007,13,LAC,Los Angeles Clippers,Paul Davis,22,31,0,180,4.4,10.4,0.42,0.0,0.0,,4.4,10.4,0.42,1.4,2.0,0.7,4.2,4.6,8.8,1.4,1.2,1.0,1.6,5.6,10.2,696
2007,13,LAC,Los Angeles Clippers,Doug Christie,36,7,0,82,2.2,7.5,0.29,0.4,2.6,0.17,1.8,4.8,0.36,0.9,1.3,0.67,1.3,3.5,4.8,3.5,1.3,0.4,2.2,4.8,5.7,533
2007,13,LAC,Los Angeles Clippers,Yaroslav Korolev,19,10,0,41,3.5,14.0,0.25,0.9,4.4,0.2,2.6,9.7,0.27,2.6,5.3,0.5,0.9,1.8,2.6,3.5,2.6,0.0,0.9,0.0,10.5,1650
2007,13,LAC,Los Angeles Clippers,Will Conroy,24,4,0,35,0.0,3.1,0.0,0.0,0.0,,0.0,3.1,0.0,0.0,4.1,0.0,2.1,3.1,5.1,8.2,0.0,0.0,2.1,6.2,0.0,589
2007,13,LAC,Los Angeles Clippers,Luke Jackson,25,3,0,16,2.3,18.0,0.12,2.3,9.0,0.25,0.0,9.0,0.0,0.0,0.0,,0.0,2.3,2.3,9.0,0.0,0.0,2.3,6.8,6.8,1406
2007,13,LAC,Los Angeles Clippers,Alvin Williams,32,2,0,10,0.0,7.2,0.0,0.0,3.6,0.0,0.0,3.6,0.0,7.2,14.4,0.5,3.6,0.0,3.6,10.8,7.2,0.0,10.8,0.0,7.2,3127
2007,13,LAC,Los Angeles Clippers,Von Wafer,21,1,0,1,0.0,36.0,0.0,0.0,36.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2991
