Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Ortg,Drtg
2008,20,625,NYK,New York Knicks,Jamal Crawford,27,80,80,3190,9.4,22.8,0.41,2.9,8.1,0.36,6.5,14.7,0.44,5.4,6.3,0.86,0.6,2.8,3.4,6.5,1.3,0.3,3.2,2.4,27.0,109,115
2008,20,1720,NYK,New York Knicks,David Lee,24,81,29,2356,7.6,13.7,0.55,0.0,0.0,0.0,7.6,13.7,0.55,4.3,5.3,0.82,5.4,10.7,16.1,2.1,1.2,0.6,2.2,4.7,19.5,123,110
2008,20,2395,NYK,New York Knicks,Zach Randolph,26,69,68,2244,11.3,24.7,0.46,0.5,1.9,0.28,10.8,22.8,0.47,5.2,6.7,0.77,4.3,12.3,16.6,3.3,1.4,0.4,4.3,4.5,28.4,101,109
2008,20,2484,NYK,New York Knicks,Nate Robinson,23,72,17,1883,9.2,21.8,0.42,2.7,8.1,0.33,6.5,13.6,0.48,4.3,5.5,0.79,1.4,4.8,6.2,5.9,1.7,0.0,2.9,5.2,25.4,109,113
2008,20,2446,NYK,New York Knicks,Quentin Richardson,27,65,65,1841,5.7,15.8,0.36,2.0,6.1,0.32,3.7,9.7,0.38,1.7,2.5,0.68,1.6,7.4,9.0,3.3,1.3,0.4,2.0,4.4,15.0,95,112
2008,20,1544,NYK,New York Knicks,Fred Jones,28,70,26,1757,5.4,12.9,0.42,2.2,5.7,0.38,3.2,7.2,0.45,2.8,3.8,0.75,0.9,4.2,5.1,4.9,1.4,0.5,2.3,4.2,15.9,110,113
2008,20,653,NYK,New York Knicks,Eddy Curry,25,59,58,1530,10.2,18.6,0.55,0.0,0.0,,10.2,18.6,0.55,6.4,10.3,0.62,3.8,5.6,9.4,1.1,0.5,1.0,4.3,5.4,26.7,105,114
2008,20,1446,NYK,New York Knicks,Jared Jeffries,26,73,19,1325,4.3,10.7,0.4,0.2,1.0,0.16,4.1,9.7,0.42,1.9,3.7,0.53,4.7,4.9,9.6,2.6,1.4,0.9,2.5,5.2,10.6,94,112
2008,20,150,NYK,New York Knicks,Renaldo Balkman,23,65,0,952,5.0,10.2,0.49,0.1,0.7,0.08,5.0,9.6,0.52,2.3,5.2,0.43,4.6,7.3,11.9,2.2,2.4,1.7,2.0,7.3,12.3,104,108
2008,20,1835,NYK,New York Knicks,Stephon Marbury,30,24,19,805,7.2,17.2,0.42,1.8,4.8,0.38,5.4,12.4,0.44,5.4,7.5,0.72,1.1,2.7,3.8,7.4,1.4,0.1,3.1,3.7,21.7,109,115
2008,20,515,NYK,New York Knicks,Wilson Chandler,20,35,16,685,8.1,18.5,0.44,0.7,2.3,0.3,7.4,16.2,0.46,2.6,4.1,0.63,2.9,6.8,9.7,2.5,1.1,1.2,2.1,6.3,19.5,101,111
2008,20,574,NYK,New York Knicks,Mardy Collins,23,46,8,634,4.7,14.5,0.33,0.7,2.6,0.25,4.0,11.8,0.34,1.9,3.1,0.6,1.6,4.6,6.2,7.4,2.0,0.7,4.6,4.6,12.0,80,112
2008,20,2507,NYK,New York Knicks,Malik Rose,33,49,3,494,7.0,19.1,0.37,0.2,0.7,0.29,6.8,18.3,0.37,3.9,5.4,0.72,3.3,7.6,10.9,3.0,1.7,0.7,4.2,8.5,18.1,85,110
2008,20,2055,NYK,New York Knicks,Randolph Morris,22,18,2,181,6.1,16.8,0.36,0.0,0.0,,6.1,16.8,0.36,4.1,8.4,0.48,3.5,7.2,10.7,0.6,1.2,0.6,2.6,10.7,16.2,83,112
2008,20,1426,NYK,New York Knicks,Jerome James,32,2,0,5,10.5,10.5,1.0,0.0,0.0,,10.5,10.5,1.0,21.0,21.0,1.0,0.0,31.4,31.4,0.0,0.0,0.0,0.0,0.0,41.9,228,100
