Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2009,25,POR,Portland Trail Blazers,LaMarcus Aldridge,23,81,3004,19.1,0.53,0.02,0.27,9.5,15.6,12.5,9.3,1.4,2.0,8.0,23.7,6.1,3.3,9.5,0.15,1.7,-0.4,1.3,2.5,34
2009,25,POR,Portland Trail Blazers,Brandon Roy,24,78,2903,24.0,0.57,0.17,0.38,4.4,11.6,7.9,25.4,1.7,0.6,9.0,27.4,10.9,2.6,13.5,0.22,6.0,0.1,6.2,6.0,2518
2009,25,POR,Portland Trail Blazers,Travis Outlaw,24,81,2246,15.1,0.54,0.28,0.28,3.8,14.6,9.1,6.3,1.2,2.0,8.9,22.0,3.0,2.3,5.3,0.11,0.6,-0.4,0.2,1.2,2220
2009,25,POR,Portland Trail Blazers,Steve Blake,28,69,2188,14.4,0.56,0.51,0.12,1.6,8.4,4.9,25.1,1.7,0.1,13.7,17.0,4.1,1.7,5.8,0.13,1.7,-0.2,1.5,1.9,260
2009,25,POR,Portland Trail Blazers,Rudy Fernandez,23,78,1993,15.5,0.59,0.63,0.23,2.9,10.1,6.4,12.7,1.9,0.5,11.0,18.4,4.3,1.8,6.1,0.15,2.6,0.4,3.0,2.5,906
2009,25,POR,Portland Trail Blazers,Joel Przybilla,29,82,1952,15.4,0.65,0.0,0.63,12.8,33.1,22.8,2.0,1.0,3.9,18.5,10.2,3.2,3.4,6.6,0.16,-0.3,1.2,0.9,1.4,2370
2009,25,POR,Portland Trail Blazers,Nicolas Batum,20,79,1454,12.9,0.56,0.46,0.14,7.0,11.8,9.4,7.8,1.9,2.2,11.5,14.0,2.1,1.6,3.7,0.12,0.4,1.0,1.4,1.2,193
2009,25,POR,Portland Trail Blazers,Greg Oden,21,61,1314,18.1,0.6,0.0,0.64,15.7,24.5,20.0,3.9,1.1,4.2,16.2,19.3,2.6,2.0,4.6,0.17,-1.4,0.3,-1.1,0.3,2184
2009,25,POR,Portland Trail Blazers,Sergio Rodriguez,22,80,1225,12.5,0.49,0.35,0.23,4.3,9.0,6.6,35.6,2.4,0.1,24.7,18.5,0.5,1.2,1.7,0.07,-0.9,-0.5,-1.4,0.2,2495
2009,25,POR,Portland Trail Blazers,Channing Frye,25,63,746,10.0,0.46,0.12,0.14,6.7,16.7,11.6,5.3,1.3,1.7,9.3,19.7,0.0,0.8,0.8,0.05,-3.9,-0.3,-4.2,-0.4,967
2009,25,POR,Portland Trail Blazers,Jerryd Bayless,20,53,655,8.2,0.49,0.14,0.55,1.5,9.4,5.4,18.2,1.4,0.2,19.3,20.9,-0.2,0.5,0.3,0.02,-4.3,-0.7,-5.0,-0.5,195
2009,25,POR,Portland Trail Blazers,Ike Diogu,25,19,73,11.4,0.49,0.0,1.05,20.1,8.6,14.4,0.0,0.8,2.2,17.8,21.8,0.0,0.1,0.1,0.06,-4.1,-3.3,-7.3,-0.1,751
2009,25,POR,Portland Trail Blazers,Shavlik Randolph,25,10,37,19.4,0.61,0.08,0.31,33.0,27.3,30.2,0.0,0.0,2.1,28.9,26.4,0.0,0.0,0.0,0.04,-0.1,-3.6,-3.8,0.0,2394
2009,25,POR,Portland Trail Blazers,Michael Ruffin,32,11,35,10.3,0.38,0.0,0.29,20.9,18.0,19.5,0.0,4.7,2.3,20.2,13.3,0.0,0.1,0.1,0.08,-4.9,1.9,-3.0,0.0,2526
2009,25,POR,Portland Trail Blazers,Martell Webster,22,1,5,-8.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,0.0,0.0,0.0,-0.2,-9.4,-4.8,-14.2,0.0,3057
