Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009,3,2633,NJN,New Jersey Nets,Bobby Simmons,28.0,71,44.0,1729,198,441,0.45,117,262,0.45,81,179,0.45,0.58,43,58,0.74,72,205,277,92,50,10,62,186,556
2009,3,1774,NJN,New Jersey Nets,Brook Lopez,20.0,82,75.0,2501,448,844,0.53,0,2,0.0,448,842,0.53,0.53,172,217,0.79,225,440,665,86,44,151,147,257,1068
2009,3,773,NJN,New Jersey Nets,Chris Douglas-Roberts,22.0,44,3.0,585,81,176,0.46,3,12,0.25,78,164,0.48,0.47,51,62,0.82,14,36,50,52,12,7,31,34,216
2009,3,1199,NJN,New Jersey Nets,Devin Harris,25.0,69,69.0,2494,455,1039,0.44,64,220,0.29,391,819,0.48,0.47,496,605,0.82,30,201,231,476,114,13,212,164,1470
2009,3,2108,NJN,New Jersey Nets,Eduardo Najera,32.0,27,0.0,319,33,74,0.45,5,25,0.2,28,49,0.57,0.48,8,22,0.36,17,50,67,19,10,4,18,50,79
2009,3,1233,NJN,New Jersey Nets,Jarvis Hayes,27.0,74,1.0,1832,257,577,0.44,94,244,0.38,163,333,0.49,0.53,36,52,0.69,27,240,267,54,52,7,49,162,644
2009,3,295,NJN,New Jersey Nets,Josh Boone,24.0,62,7.0,995,113,214,0.53,0,0,,113,214,0.53,0.53,32,85,0.38,104,154,258,31,22,48,31,106,258
2009,3,759,NJN,New Jersey Nets,Keyon Dooling,28.0,77,18.0,2074,261,598,0.44,99,235,0.42,162,363,0.45,0.52,127,154,0.82,24,131,155,270,71,8,105,135,748
2009,3,23,NJN,New Jersey Nets,Maurice Ager,24.0,20,0.0,97,15,43,0.35,0,6,0.0,15,37,0.4,0.35,4,8,0.5,3,7,10,3,1,2,4,17,34
2009,3,83,NJN,New Jersey Nets,Ryan Anderson,20.0,66,30.0,1312,160,407,0.39,69,189,0.36,91,218,0.42,0.48,98,116,0.84,104,207,311,52,44,20,63,157,487
2009,3,3176,NJN,New Jersey Nets,Sean Williams,22.0,33,0.0,366,30,72,0.42,0,0,,30,72,0.42,0.42,20,32,0.62,34,45,79,13,7,29,20,72,80
2009,3,2793,NJN,New Jersey Nets,Stromile Swift,29.0,6,0.0,64,9,15,0.6,0,0,,9,15,0.6,0.6,5,11,0.46,5,8,13,1,0,2,7,15,23
2009,3,1222,NJN,New Jersey Nets,Trenton Hassell,29.0,53,31.0,1094,86,191,0.45,2,8,0.25,84,183,0.46,0.46,20,25,0.8,50,96,146,51,21,16,30,92,194
2009,3,492,NJN,New Jersey Nets,Vince Carter,32.0,80,80.0,2946,588,1345,0.44,151,392,0.38,437,953,0.46,0.49,335,410,0.82,74,336,410,376,82,38,166,234,1662
2009,3,1458,NJN,New Jersey Nets,Yi Jianlian,21.0,61,52.0,1421,191,500,0.38,48,140,0.34,143,360,0.4,0.43,95,123,0.77,67,259,326,60,29,36,70,157,525
