Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2011,26,2938,SAC,Sacramento Kings,Beno Udrih,28,79,2734,15.7,0.59,0.22,0.28,1.7,9.6,5.5,22.1,1.7,0.2,13.2,16.9,5.6,1.6,7.2,0.13,0.5,0.0,0.5,1.7
2011,26,618,SAC,Sacramento Kings,DeMarcus Cousins,20,81,2309,14.6,0.48,0.02,0.4,10.4,24.4,17.2,14.7,1.9,2.1,18.5,27.2,-1.9,2.9,1.1,0.02,-2.7,0.1,-2.6,-0.4
2011,26,881,SAC,Sacramento Kings,Tyreke Evans,21,57,2107,14.4,0.48,0.16,0.28,2.4,12.7,7.4,24.9,2.0,1.0,14.9,25.3,-0.1,1.7,1.6,0.04,-0.1,0.2,0.0,1.1
2011,26,660,SAC,Sacramento Kings,Samuel Dalembert,29,80,1938,14.1,0.51,0.0,0.26,12.1,26.9,19.3,5.3,0.9,4.3,17.3,17.1,0.4,2.5,2.9,0.07,-2.4,0.2,-2.2,-0.1
2011,26,2868,SAC,Sacramento Kings,Jason Thompson,24,75,1748,13.6,0.53,0.01,0.38,9.1,20.7,14.8,7.9,0.8,1.8,13.7,17.9,1.4,1.5,2.9,0.08,-1.7,-0.5,-2.2,-0.1
2011,26,498,SAC,Sacramento Kings,Omri Casspi,22,71,1702,11.7,0.52,0.45,0.18,4.8,16.0,10.3,6.6,1.6,0.6,10.3,16.7,1.1,1.3,2.5,0.07,-0.1,-0.4,-0.6,0.6
2011,26,1686,SAC,Sacramento Kings,Carl Landry,27,53,1406,14.7,0.55,0.01,0.44,10.0,10.5,10.2,5.7,1.1,1.0,12.4,20.3,1.8,0.7,2.5,0.09,-0.4,-1.4,-1.8,0.1
2011,26,989,SAC,Sacramento Kings,Francisco Garcia,29,58,1386,13.5,0.55,0.47,0.16,1.9,9.2,5.5,8.0,1.9,2.6,8.1,17.3,1.9,1.1,3.0,0.1,0.4,0.6,1.0,1.0
2011,26,1117,SAC,Sacramento Kings,Donte Greene,22,69,1127,9.7,0.48,0.4,0.17,4.8,10.2,7.4,6.5,1.6,1.3,12.6,18.2,-0.2,0.8,0.5,0.02,-1.8,-0.4,-2.2,-0.1
2011,26,2879,SAC,Sacramento Kings,Marcus Thornton,23,27,1030,18.2,0.55,0.31,0.25,3.9,10.3,7.0,15.3,2.2,0.4,9.6,24.4,1.9,0.8,2.6,0.12,2.3,-0.4,1.9,1.0
2011,26,1457,SAC,Sacramento Kings,Eugene Jeter,27,62,858,11.1,0.46,0.12,0.16,1.2,8.3,4.6,28.4,1.7,0.2,15.5,16.5,0.2,0.5,0.7,0.04,-2.2,-1.1,-3.3,-0.3
2011,26,1242,SAC,Sacramento Kings,Luther Head,28,36,586,11.7,0.54,0.39,0.3,3.0,8.8,5.8,17.7,0.9,1.1,14.7,16.1,0.6,0.2,0.9,0.07,0.0,-0.7,-0.7,0.2
2011,26,1397,SAC,Sacramento Kings,Darnell Jackson,25,59,486,12.3,0.52,0.07,0.31,11.2,10.8,11.0,4.6,1.2,0.4,11.4,18.0,0.4,0.3,0.7,0.07,-1.9,-1.6,-3.5,-0.2
2011,26,2815,SAC,Sacramento Kings,Jermaine Taylor,24,26,406,12.0,0.53,0.24,0.13,6.8,8.1,7.4,12.4,1.5,0.5,18.7,22.8,-0.1,0.2,0.1,0.01,-1.5,-2.4,-3.9,-0.2
2011,26,3234,SAC,Sacramento Kings,Antoine Wright,26,7,31,-4.8,0.12,0.5,0.0,7.2,3.8,5.5,0.0,1.6,0.0,11.1,12.6,-0.1,0.0,-0.1,-0.18,-11.2,-3.2,-14.3,-0.1
2011,26,3102,SAC,Sacramento Kings,Hassan Whiteside,21,1,2,-17.9,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.01,-27.9,0.0,-27.9,0.0
