Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Ortg,Drtg
2011,1,1325,ATL,Atlanta Hawks,Al Horford,24,77,77,2704,10.2,18.3,0.56,0.0,0.1,0.5,10.2,18.2,0.56,3.0,3.7,0.8,3.6,10.7,14.3,5.3,1.2,1.6,2.4,3.8,23.4,118,105
2011,1,2686,ATL,Atlanta Hawks,Josh Smith,25,77,77,2645,10.1,21.1,0.48,1.0,3.1,0.33,9.1,18.0,0.5,4.7,6.4,0.72,2.7,10.6,13.3,5.2,2.0,2.4,4.0,4.4,25.9,104,102
2011,1,1493,ATL,Atlanta Hawks,Joe Johnson,29,72,72,2554,10.8,24.4,0.44,1.9,6.3,0.3,8.9,18.1,0.49,4.1,5.1,0.8,1.2,4.9,6.1,7.1,1.0,0.1,3.1,2.8,27.6,105,110
2011,1,625,ATL,Atlanta Hawks,Jamal Crawford,30,76,0,2297,8.6,20.4,0.42,2.8,8.2,0.34,5.8,12.3,0.47,5.2,6.1,0.85,0.5,2.5,3.0,5.6,1.3,0.3,3.4,2.3,25.2,105,111
2011,1,3160,ATL,Atlanta Hawks,Marvin Williams,24,65,52,1865,7.1,15.5,0.46,1.1,3.2,0.34,6.0,12.3,0.49,4.2,5.0,0.84,2.0,7.1,9.0,2.5,1.0,0.7,1.8,3.0,19.5,111,108
2011,1,240,ATL,Atlanta Hawks,Mike Bibby,32,56,56,1674,6.2,14.2,0.44,3.6,8.2,0.44,2.5,5.9,0.43,0.9,1.5,0.63,0.5,4.1,4.6,6.5,1.2,0.2,2.2,4.0,16.9,111,110
2011,1,2231,ATL,Atlanta Hawks,Zaza Pachulia,26,79,7,1244,4.6,10.0,0.46,0.0,0.0,,4.6,10.0,0.46,5.8,7.7,0.75,5.1,9.2,14.4,2.5,1.5,1.0,3.0,7.9,15.1,111,105
2011,1,2823,ATL,Atlanta Hawks,Jeff Teague,22,70,7,963,7.4,17.0,0.44,1.0,2.7,0.38,6.4,14.3,0.45,4.3,5.4,0.79,0.6,5.1,5.7,7.7,2.5,1.4,3.6,4.6,20.1,102,105
2011,1,878,ATL,Atlanta Hawks,Maurice Evans,32,47,12,837,5.1,12.9,0.39,1.8,5.7,0.32,3.3,7.2,0.46,1.5,1.8,0.86,1.5,3.9,5.4,1.9,1.0,0.3,1.0,4.8,13.5,104,110
2011,1,1296,ATL,Atlanta Hawks,Kirk Hinrich,30,24,22,686,6.3,14.5,0.43,2.5,6.0,0.42,3.8,8.5,0.44,1.1,1.6,0.67,0.5,3.6,4.2,6.1,1.5,0.5,2.9,5.2,16.1,101,109
2011,1,3118,ATL,Atlanta Hawks,Damien Wilkins,31,52,0,676,5.5,10.9,0.5,0.2,0.8,0.2,5.3,10.1,0.53,3.2,4.5,0.71,1.8,5.3,7.2,3.3,2.1,0.7,1.7,5.7,14.3,112,107
2011,1,2349,ATL,Atlanta Hawks,Josh Powell,28,54,0,653,7.7,17.1,0.45,0.0,0.1,0.0,7.7,17.0,0.45,3.0,3.7,0.8,4.0,7.1,11.1,1.8,0.4,0.4,4.4,6.4,18.4,90,110
2011,1,572,ATL,Atlanta Hawks,Jason Collins,32,49,28,593,3.1,6.4,0.48,0.1,0.1,1.0,3.0,6.3,0.47,2.4,3.7,0.66,2.7,6.5,9.2,2.0,0.8,0.8,2.4,8.8,8.7,101,108
2011,1,627,ATL,Atlanta Hawks,Jordan Crawford,22,16,0,160,9.1,25.9,0.35,3.0,9.1,0.33,6.0,16.8,0.36,1.3,2.0,0.67,3.0,6.4,9.4,5.0,1.0,0.0,5.0,4.4,22.5,83,109
2011,1,2844,ATL,Atlanta Hawks,Etan Thomas,32,13,0,82,6.6,13.8,0.48,0.0,0.0,,6.6,13.8,0.48,7.9,9.8,0.8,3.9,11.1,15.1,1.3,0.7,2.6,3.3,7.2,21.0,110,104
2011,1,110,ATL,Atlanta Hawks,Hilton Armstrong,26,12,0,76,4.2,8.5,0.5,0.7,0.7,1.0,3.5,7.8,0.46,1.4,7.1,0.2,2.1,9.9,12.0,2.8,2.1,3.5,2.1,6.4,10.6,90,101
2011,1,2795,ATL,Atlanta Hawks,Pape Sy,22,3,0,21,5.1,15.4,0.33,0.0,2.6,0.0,5.1,12.8,0.4,7.7,7.7,1.0,5.1,2.6,7.7,5.1,2.6,0.0,7.7,2.6,17.9,86,108
