Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
2012,29,UTA,Utah Jazz,Al Jefferson,27,61,61,34.0,8.5,17.2,0.49,0.0,0.1,0.25,8.4,17.1,0.49,0.49,2.2,2.9,0.77,2.2,7.4,9.6,2.2,0.8,1.7,1.0,2.5,19.2
2012,29,UTA,Utah Jazz,Paul Millsap,26,64,62,32.8,6.7,13.5,0.5,0.1,0.5,0.23,6.5,13.0,0.5,0.5,3.2,4.0,0.79,2.8,6.0,8.8,2.3,1.8,0.8,1.8,3.5,16.6
2012,29,UTA,Utah Jazz,Gordon Hayward,21,66,58,30.5,4.0,8.9,0.46,0.8,2.4,0.35,3.2,6.5,0.5,0.5,2.9,3.5,0.83,0.9,2.6,3.5,3.1,0.8,0.6,1.7,1.6,11.8
2012,29,UTA,Utah Jazz,Devin Harris,28,63,63,27.6,3.8,8.6,0.44,1.2,3.4,0.36,2.6,5.2,0.5,0.52,2.5,3.3,0.75,0.2,1.6,1.8,5.0,1.0,0.2,1.9,2.2,11.3
2012,29,UTA,Utah Jazz,Raja Bell,35,34,33,23.4,2.4,5.1,0.47,1.0,2.6,0.39,1.4,2.6,0.54,0.56,0.6,0.7,0.84,0.2,1.3,1.4,1.1,0.4,0.1,0.6,2.3,6.4
2012,29,UTA,Utah Jazz,Josh Howard,31,43,18,23.0,3.3,8.4,0.4,0.2,0.9,0.24,3.1,7.5,0.42,0.41,1.7,2.3,0.77,0.9,2.8,3.7,1.2,0.7,0.2,1.2,2.1,8.7
2012,29,UTA,Utah Jazz,Derrick Favors,20,65,9,21.2,3.4,6.8,0.5,0.0,0.0,,3.4,6.8,0.5,0.5,1.9,3.0,0.65,2.4,4.1,6.5,0.7,0.6,1.0,1.6,2.2,8.8
2012,29,UTA,Utah Jazz,Earl Watson,32,50,2,20.7,1.1,3.2,0.34,0.2,1.0,0.19,0.9,2.2,0.41,0.37,0.6,0.9,0.67,0.6,1.8,2.4,4.3,1.1,0.4,1.7,2.1,3.0
2012,29,UTA,Utah Jazz,C.J. Miles,24,56,14,20.4,3.2,8.3,0.38,0.8,2.7,0.31,2.3,5.6,0.42,0.43,1.9,2.4,0.79,0.5,1.6,2.1,1.2,0.8,0.3,0.9,2.2,9.1
2012,29,UTA,Utah Jazz,DeMarre Carroll,25,20,9,16.4,1.9,5.0,0.37,0.4,1.0,0.37,1.5,4.0,0.38,0.41,0.7,0.8,0.88,1.4,1.1,2.5,0.8,0.6,0.1,0.5,1.8,4.8
2012,29,UTA,Utah Jazz,Alec Burks,20,59,0,15.9,2.6,6.1,0.43,0.3,0.8,0.33,2.3,5.3,0.44,0.45,1.8,2.4,0.73,1.0,1.3,2.2,0.9,0.5,0.1,0.9,1.4,7.2
2012,29,UTA,Utah Jazz,Jamaal Tinsley,33,37,1,13.7,1.5,3.8,0.4,0.3,1.0,0.27,1.3,2.8,0.45,0.44,0.4,0.5,0.76,0.2,1.1,1.2,3.3,0.5,0.2,1.4,1.3,3.7
2012,29,UTA,Utah Jazz,Enes Kanter,19,66,0,13.2,1.8,3.6,0.5,0.0,0.0,0.0,1.8,3.6,0.5,0.5,1.1,1.6,0.67,1.6,2.6,4.2,0.1,0.3,0.3,0.8,1.3,4.6
2012,29,UTA,Utah Jazz,Blake Ahearn,27,4,0,7.5,1.0,3.5,0.29,0.5,2.3,0.22,0.5,1.3,0.4,0.36,0.0,0.0,,0.0,0.5,0.5,0.3,0.0,0.0,1.3,1.0,2.5
2012,29,UTA,Utah Jazz,Jeremy Evans,24,29,0,7.5,0.9,1.4,0.64,0.0,0.0,0.0,0.9,1.4,0.66,0.64,0.3,0.6,0.5,0.7,1.1,1.7,0.4,0.2,0.8,0.2,0.8,2.1
